Contre l’Indifference des Athées	Contre l’Indifférence des Athées
§ Cette Religion qui conſiſte à croire que l’homme eſt tombé d’un eſtat de gloire & de communication avec Dieu en un eſtat de triſteſſe, de pénitence, & d’éloignement de Dieu, mais qu’enfin il ſeroit rétably par un Meſſie qui devoit venir, a toûjours eſté ſur la terre.	§ Cette Religion qui consiste à croire que l’homme est tombé d’un état de gloire et de communication avec Dieu en un état de tristesse, de pénitence, et d’éloignement de Dieu, mais qu’enfin il serait rétabli par un Messie qui devait venir, a toujours été sur la terre.
Toutes choſes ont paſſé, et celle là a ſubſiſté pour laquelle ſont toutes choſes.	Toutes choses ont passé, et celle-là a subsisté pour laquelle sont toutes choses.
Car Dieu voulant ſe former un peuple ſaint qu’il ſépareroit de toutes les autres nations, qu’il délivreroit de ſes ennemis, qu’il mettroit dans un lieu de repos, a promis de le faire, & de venir au monde pour cela;	Car Dieu voulant se former un peuple saint qu’il séparerait de toutes les autres nations, qu’il délivrerait de ses ennemis, qu’il mettrait dans un lieu de repos, a promis de le faire, et de venir au monde pour cela;
Et cependant pour affermir l’eſperance de ſes élûs dans tous les temps, il leur en a toujours fait voir des images & des figures, & il ne les a jamais laiſſez ſans des aſſurances de ſa puiſſance & de ſa volonté pour leur ſalut.	Et cependant pour affermir l’espérance de ses élus dans tous les temps, il leur en a toujours fait voir des images et des figures, et il ne les a jamais laissés sans des assurances de sa puissance et de sa volonté pour leur salut.
Car dans la creation de l’homme, Adam en eſtoit le témoin, & le dépoſitaire de la promeſſe du Sauveur qui devoit naiſtre de la femme.	Car dans la création de l’homme, Adam en était le témoin, et le dépositaire de la promesse du Sauveur qui devait naître de la femme.
Enſuite Dieu a envoyé Noé, qui a veu la malice des hommes au plus haut degré;	Ensuite Dieu a envoyé Noé, qui a vu la malice des hommes au plus haut degré;
& il l’a ſauvé en noyant toute la terre par un miracle qui marquoit aſſez, & le pouvoir qu’il avoit de ſauver le monde, & la volonté qu’il avoit de le faire, & de faire naiſtre de la femme celuy qu’il avoit promis.	et il l’a sauvé en noyant toute la terre par un miracle qui marquait assez, et le pouvoir qu’il avait de sauver le monde, et la volonté qu’il avait de le faire, et de faire naître de la femme celui qu’il avait promis.
Ce miracle ſuffiſoit pour affermir l’eſperance des hommes;	Ce miracle suffisait pour affermir l’espérance des hommes;
& la memoire en eſtant encore aſſez fraiche parmy eux, Dieu fit ſes promeſſes à Abraham qui eſtoit tout environné d’Idolâtres, & il luy fit connoiſtre le myſtere du Meſſie qu’il devoit envoyer.	et la mémoire en étant encore assez fraiche parmi eux, Dieu fit ses promesses à Abraham qui était tout environné d’Idolâtres, et il lui fit connaître le mystère du Messie qu’il devait envoyer.
Au temps d’Iſaac & de Jacob l’abomination eſtoit reſpanduë ſur toute la terre;	Au temps d’Isaac et de Jacob l’abomination était répandue sur toute la terre;
mais ces Saints vivoient en la foy;	mais ces Saints vivaient en la foi;
J’attens, ô mon Dieu, le Sauveur que vous avez promis, ſalutare tuum expectabo Domine.	J’attends, ô mon Dieu, le Sauveur que vous avez promis, salutare tuum expectabo Domine.
Les Egyptiens eſtoient infectez & d’idolatrie & de magie;	Les Egyptiens étaient infectés et d’idolâtrie et de magie;
Mais cependant Moyſe & d’autres voyoient celuy qu’ils ne voyoient pas, & l’adoroient en regardant les biens eternels qu’il leur preparoit.	Mais cependant Moïse et d’autres voyaient celui qu’ils ne voyaient pas, et l’adoraient en regardant les biens éternels qu’il leur préparait.
Les Grecs et les Latins enſuitte ont fait regner les fauſſes divinitez;	Les Grecs et les Latins ensuite ont fait régner les fausses divinités;
les Poëtes ont fait diverſes theologies;	les Poètes ont fait diverses théologies;
les Philoſophes ſe ſont ſeparez en mille ſectes differentes:	les Philosophes se sont séparés en mille sectes différentes:
& cependant il y avoit toûjours au cœur de la Judée des hommes choiſis qui prédiſoient la venuë de ce Meſſie qui n’eſtoit connu que d’eux.	et cependant il y avait toujours au cœur de la Judée des hommes choisis qui prédisaient la venue de ce Messie qui n’était connu que d’eux.
Il est venu enfin en la conſommation des temps:	Il est venu enfin en la consommation des temps:
cette Egliſe qui adore celuy qui a toûjours eſté adoré à ſubſiſté ſans interruption.	cette Eglise qui adore celui qui a toujours été adoré à subsisté sans interruption.
Et ce qui eſt admirable, incomparable, & tout à fait divin, c’eſt que cette Religion qui a toûjours duré a toûjours eſté combattüe.	Et ce qui est admirable, incomparable, et tout à fait divin, c’est que cette Religion qui a toujours duré a toujours été combattue.
& toutes les fois qu’elle a eſté en ce eſtat Dieu l’a relevée par des coups extraordinaires de ſa puiſſance.	et toutes les fois qu’elle a été en ce état Dieu l’a relevée par des coups extraordinaires de sa puissance.
C’eſt ce qui eſt eſtonnant, & qu’elle s’eſt maintenuë ſans flechir & plier ſous la volonté des tyrans.	C’est ce qui est étonnant, et qu’elle s’est maintenue sans fléchir et plier sous la volonté des tyrans.
§ Les Eſtats periroient ſi on ne faiſoit plier ſouvent les loix à la neceſſité.	§ Les États périraient si on ne faisait plier souvent les lois à la nécessité.
Mais jamais la Religion n’a ſouffert cela, & n’en a uſé.	Mais jamais la Religion n’a souffert cela, et n’en a usé.
Auſſi il faut ces accomodemens, ou des miracles.	Aussi il faut ces accommodements, ou des miracles.
Il n’eſt pas eſtrange qu’on ſe conſerve en pliant, & ce n’eſt pas proprement ſe maintenir;	Il n’est pas étrange qu’on se conserve en pliant, et ce n’est pas proprement se maintenir;
il n’y en a point qui ait duré quinze cens ans.	il n’y en a point qui ait duré quinze cens ans.
Mais que cette Religion ſe ſoit toûjours maintenüe, & inflexible;	Mais que cette Religion se soit toujours maintenue, et inflexible;
§ Ainſi le Meſſie a toûjours eſté crû.	§ Ainsi le Messie a toujours été crû.
La tradition d’Adam eſtoit encore nouvelles en Noé & en Moyſe.	La tradition d’Adam était encore nouvelles en Noé et en Moïse.
Les Prophetes l’ont predit depuis, en prédiſant toujours d’autres choſes dont les evenemens qui arrivoient de temps en temps à la veuë des hommes marquoient la verité de leur miſſion, & par conſequent celle de leurs promeſſes touchant le Meſſie.	Les Prophètes l’ont prédit depuis, en prédisant toujours d’autres choses dont les événements qui arrivaient de temps en temps à la vue des hommes marquaient la vérité de leur mission, et par conséquent celle de leurs promesses touchant le Messie.
Ils ont tous dit que la loy qu’ils avoient n’eſtoit qu’en attendant celle du Meſſie;	Ils ont tous dit que la loi qu’ils avoient n’était qu’en attendant celle du Messie;
que juſque là elle ſeroit perpétuelle, mais que l’autre dureroit éternellement;	que jusque là elle serait perpétuelle, mais que l’autre durerait éternellement;
qu’ainſi leur loy ou celle du Meſſie dont elle eſtoit la promeſſe ſeroient toujours ſur la terre.	qu’ainsi leur loi ou celle du Messie dont elle était la promesse seraient toujours sur la terre.
& Jesus-Christ eſt venu dans toutes les circonſtances prédites.	et Jésus-Christ est venu dans toutes les circonstances prédites.
Il a fait des miracles & les Apoſtres auſſi qui ont converti les Payens;	Il a fait des miracles et les Apôtres aussi qui ont converti les Païens;
§ La ſeule Religion contre la nature, contre le ſens commun, contre nos plaiſirs eſt la ſeule qui ait toûjours eſté.	§ La seule Religion contre la nature, contre le sens commun, contre nos plaisirs est la seule qui ait toujours été.
§ Toute la conduite des choſes doit avoir pour objet l’eſtabliſſement & la grandeur de la Religion:	§ Toute la conduite des choses doit avoir pour objet l’établissement et la grandeur de la Religion:
les hommes doivent avoir en eux-meſmes des ſentimens conformes à ce qu’elle nous enſeigne:	les hommes doivent avoir en eux-mêmes des sentiments conformes à ce qu’elle nous enseigne:
& enfin elle doit eſtre tellement l’objet & le centre où toutes choſes tendent, que qui en ſçaura les principes puiſſe rendre raiſon & de toute la nature de l’homme en particulier, & de toute la conduite du monde en general.	et enfin elle doit être tellement l’objet et le centre où toutes choses tendent, que qui en saura les principes puisse rendre raison et de toute la nature de l’homme en particulier, et de toute la conduite du monde en général.
Sur ce fondement les impies prennent lieu de blaſphemer la Religion Chreſtienne, parce qu’ils la connoiſſent mal.	Sur ce fondement les impies prennent lieu de blasphémer la Religion Chrétienne, parce qu’ils la connaissent mal.
Ils s’imaginent qu’elle conſiſte ſimplement en l’adoration d’un Dieu conſideré comme grand, puiſſant, & eternel;	Ils s’imaginent qu’elle consiste simplement en l’adoration d’un Dieu considéré comme grand, puissant, et éternel;
Et delà ils concluent que cette Religion n’eſt pas veritable;	Et delà ils concluent que cette Religion n’est pas véritable;
parce que ſi elle l’eſtoit il faudroit que Dieu ſe manifeſtaſt aux hommes par des preuves ſi ſenſibles qu’il fuſt impoſſible que perſonne le meſconnût.	parce que si elle l’était il faudrait que Dieu se manifestât aux hommes par des preuves si sensibles qu’il fût impossible que personne le méconnût.
Elle enſeigne donc aux hommes ces deux veritez, & qu’il y a un Dieu dont ils ſont capables, & qu’il y a une corruption dans la nature qui les en rend indignes.	Elle enseigne donc aux hommes ces deux vérités, et qu’il y a un Dieu dont ils sont capables, et qu’il y a une corruption dans la nature qui les en rend indignes.
Il importe également aux hommes de connoiſtre l’un & l’autre de ces points;	Il importe également aux hommes de connaître l’un et l’autre de ces points;
& il eſt également dangereux à l’homme de connoiſtre Dieu ſans connoiſtre ſa miſere, & de connoiſtre ſa miſere ſans connoiſtre le Redempteur qui l’en peut guerir.	et il est également dangereux à l’homme de connaître Dieu sans connaître sa misère, et de connaître sa misère sans connaître le Rédempteur qui l’en peut guérir.
Une ſeule de ces connoiſſances fait ou l’orgueil des Philoſophes qui ont connû Dieu & non leur miſere, ou le deſeſpoir des Athées qui connoiſſent leur miſere ſans Redempteur.	Une seule de ces connaissances fait ou l’orgueil des Philosophes qui ont connu Dieu et non leur misère, ou le désespoir des Athées qui connaissent leur misère sans Rédempteur.
Et ainſi comme il eſt également de la neceſſité de l’homme de connoiſtre ces deux points, il eſt auſſi également de la miſericorde de Dieu de nous les avoir fait connoiſtre.	Et ainsi comme il est également de la nécessité de l’homme de connaître ces deux points, il est aussi également de la miséricorde de Dieu de nous les avoir fait connaître.
La Religion Chreſtienne le fait;	La Religion Chrétienne le fait;
Qu’on examine l’ordre du monde ſur cela, & qu’on voye ſi toutes choses ne tendent pas à l’établiſſement des deux chefs de cette Religion.	Qu’on examine l’ordre du monde sur cela, et qu’on voie si toutes choses ne tendent pas à l’établissement des deux chefs de cette Religion.
§ Si l’on ne ſe connoiſt plein d’orgueil, d’ambition, de concupiſcence, de foibleſſe, de miſere, & d’injuſtice, on eſt bien aveugle.	§ Si l’on ne se connaît plein d’orgueil, d’ambition, de concupiscence, de faiblesse, de misère, et d’injustice, on est bien aveugle.
Que peut-on donc avoir que de l’eſtime pour une Religion qui connoiſt ſi bien les defauts de l’homme;	Que peut-on donc avoir que de l’estime pour une Religion qui connaît si bien les défauts de l’homme;
& que du deſir pour la verité d’une Religion qui y promet des remedes ſi ſouhaitables?	et que du désir pour la vérité d’une Religion qui y promet des remèdes si souhaitables?
Veritable Religion prouvée par les contrarietez qui ſont dans l’homme, & par le peché originel.	Véritable Religion prouvée par les contrariétés qui sont dans l’homme, et par le péché originel.
Les grandeurs & les miſeres de l’homme ſont tellement viſibles, qu’il faut neceſſairement que la veritable Religion nous enſeigne qu’il y a en luy quelque grand principe de grandeur, & en meſme temps quelque grand principe de miſere.	Les grandeurs et les misères de l’homme sont tellement visibles, qu’il faut nécessairement que la véritable Religion nous enseigne qu’il y a en lui quelque grand principe de grandeur, et en même temps quelque grand principe de misère.
Car il faut que la veritable Religion connoiſſe à fond noſtre nature, c’eſt-à-dire qu’elle connoiſſe tout ce qu’elle a de grand, & tout ce qu’elle a de miſerable, & la raiſon de l’un & de l’autre.	Car il faut que la véritable Religion connaisse à fond notre nature, c’est-à-dire qu’elle connaisse tout ce qu’elle a de grand, et tout ce qu’elle a de misérable, et la raison de l’un et de l’autre.
Il faut encore qu’elle nous rende raiſon des étonnantes contrarietez, qui s’y rencontrent.	Il faut encore qu’elle nous rende raison des étonnantes contrariétés, qui s’y rencontrent.
Mais comme nous nous trouvons dans l’impuiſſance d’adorer ce que nous ne connoiſſons pas, & d’aymer autre choſe que nous, il faut que la Religion qui inſtruit de ces devoirs nous inſtruiſe auſſi de cette impuiſſance, & qu’elle nous en apprenne les remedes.	Mais comme nous nous trouvons dans l’impuissance d’adorer ce que nous ne connaissons pas, et d’aimer autre chose que nous, il faut que la Religion qui instruit de ces devoirs nous instruise aussi de cette impuissance, et qu’elle nous en apprenne les remèdes.
Il faut pour rendre l’homme heureux qu’elle luy monſtre qu’il y a un Dieu, qu’on eſt obligé de l’aymer, que noſtre veritable felicité eſt d’eſtre à luy, & noſtre unique mal d’eſtre ſeparé de luy;	Il faut pour rendre l’homme heureux qu’elle lui montre qu’il y a un Dieu, qu’on est obligé de l’aimer, que notre véritable félicité est d’être à lui, et notre unique mal d’être séparé de lui;
Il faut qu’elle nous rende raiſon de l’oppoſition que nous avons à Dieu & à noſtre propre bien.	Il faut qu’elle nous rende raison de l’opposition que nous avons à Dieu et à notre propre bien.
Il faut qu’elle nous en enſeigne les remedes, & les moyens d’obtenir ces remedes.	Il faut qu’elle nous en enseigne les remèdes, et les moyens d’obtenir ces remèdes.
Qu’on examine ſur cela toutes les Religions du monde, & qu’on voye s’il y en a une autre que la Chreſtienne qui y ſatisfaſſe.	Qu’on examine sur cela toutes les Religions du monde, et qu’on voie s’il y en a une autre que la Chrétienne qui y satisfasse.
Sera-ce celle qu’enſeignoient les Philoſophes qui nous propoſent pour tout bien un bien qui eſt en nous?	Sera-ce celle qu’enseignaient les Philosophes qui nous proposent pour tout bien un bien qui est en nous?
Eſt-ce là le vray bien?	Est-ce là le vrai bien?
Ont-ils trouvé le remede à nos maux?	Ont-ils trouvé le remède à nos maux?
Et ceux qui nous ont egalé aux beſtes, & qui nous ont donné les plaiſirs de la terre pour tout bien ont-ils apporté le remede à nos concupiſcences?	Et ceux qui nous ont égalé aux bêtes, et qui nous ont donné les plaisirs de la terre pour tout bien ont-ils apporté le remède à nos concupiscences?
Levez vos yeux vers Dieu, diſent les uns;	Levez vos yeux vers Dieu, disent les uns;
Vous pouvez vous rendre ſemblable à luy;	Vous pouvez vous rendre semblable à lui;
la ſageſſe vous y égalera ſi vous voulez la ſuivre.	la sagesse vous y égalera si vous voulez la suivre.
Et les autres diſent:	Et les autres disent:
Baiſſez vos yeux vers la terre, chetif ver que vous eſtes, & regardez les beſtes dont vous eſtes le compagnon.	Baissez vos yeux vers la terre, chétif ver que vous êtes, et regardez les bêtes dont vous êtes le compagnon.
Que deviendra donc l’homme?	Que deviendra donc l’homme?
Sera-t-il égal à Dieu ou au beſtes?	Sera-t-il égal à Dieu ou au bêtes?
Que ſerons nous donc?	Que serons nous donc?
Quelle Religion nous enſeignera à guerir l’orgueüil, & la concupiſcence?	Quelle Religion nous enseignera à guérir l’orgueil, et la concupiscence?
Voyons ce que nous dit ſur tout cela la Sageſſe de Dieu qui nous parle dans la Religion Chreſtienne.	Voyons ce que nous dit sur tout cela la Sagesse de Dieu qui nous parle dans la Religion Chrétienne.
C’eſt en vain, ô homme, que vous cherchez dans vous meſme le remede à vos miſeres.	C’est en vain, ô homme, que vous cherchez dans vous même le remède à vos misères.
Toutes vos lumieres ne peuvent arriver qu’à connoître que ce n’eſt point en vous que vous trouverez ny la verité ny le bien.	Toutes vos lumières ne peuvent arriver qu’à connaître que ce n’est point en vous que vous trouverez ni la vérité ni le bien.
Les Philoſophes vous l’ont promis;	Les Philosophes vous l’ont promis;
ils n’ont pû le faire.	ils n’ont pu le faire.
Ils ne ſçavent ny quel eſt voſtre veritable bien, ny quel eſt voſtre veritable eſtat.	Ils ne savent ni quel est votre véritable bien, ni quel est votre véritable état.
Vos maladies principales ſont l’orgueüil qui vous ſouſtrait à Dieu, & la concupiſcence qui vous attache à la terre;	Vos maladies principales sont l’orgueil qui vous soustrait à Dieu, et la concupiscence qui vous attache à la terre;
& ils n’ont fait autre choſe qu’entretenir au moins une de ces maladies.	et ils n’ont fait autre chose qu’entretenir au moins une de ces maladies.
Ils vous ont fait penſer que vous luy eſtes ſemblable par voſtre nature.	Ils vous ont fait penser que vous lui êtes semblable par votre nature.
Et ceux qui ont vû la vanité de cette pretention vous ont jetté dans l’autre precipice en vous faiſant entendre que voſtre nature eſtoit pareille à celle des beſtes, & vous ont porté a chercher voſtre bien dans les concupiſcences qui ſont le partage des animaux.	Et ceux qui ont vu la vanité de cette prétention vous ont jeté dans l’autre précipice en vous faisant entendre que votre nature était pareille à celle des bêtes, et vous ont porté a chercher votre bien dans les concupiscences qui sont le partage des animaux.
Ce n’eſt pas là le moyen de vous inſtruire de vos injuſtices.	Ce n’est pas là le moyen de vous instruire de vos injustices.
N’attendez donc ny verité ny conſolation des hommes.	N’attendez donc ni vérité ni consolation des hommes.
Je ſuis celle qui vous ay formé, & qui puis ſeule vous apprendre qui vous eſtes.	Je suis celle qui vous ai formé, et qui puis seule vous apprendre qui vous êtes.
Mais vous n’eſtes plus maintenant en l’eſtat où je vous ay formé.	Mais vous n’êtes plus maintenant en l’état où je vous ai formé.
Je l’ay remply de lumiere & d’intelligence.	Je l’ai rempli de lumière et d’intelligence.
Je luy ai communiqué ma gloire & mes merveilles.	Je lui ai communiqué ma gloire et mes merveilles.
Il n’eſtoit pas dans les tenebres qui l’aveuglent, ny dans la mortalité, & dans les miſeres qui l’affligent.	Il n’était pas dans les ténèbres qui l’aveuglent, ni dans la mortalité, et dans les misères qui l’affligent.
Mais il n’a pû ſoutenir tant de gloire ſans tomber dans la preſomption.	Mais il n’a pu soutenir tant de gloire sans tomber dans la présomption.
Il a voulu ſe rendre centre de luy meſme, & independant de mon ſecours.	Il a voulu se rendre centre de lui même, et indépendant de mon secours.
Il s’eſt ſouſtrait à ma domination:	Il s’est soustrait à ma domination:
& s’égalant à moy par le deſir de trouver la felicité en luy meſme, je l’ay abandonné à luy;	et s’égalant à moi par le désir de trouver la félicité en lui même, je l’ai abandonné à lui;
& revoltant toutes les creatures qui luy eſtoient ſoumises je les luy ay rendu ennemies;	et révoltant toutes les créatures qui lui étaient soumises je les lui ai rendu ennemies;
Les ſens independans de la raiſon & souvent maiſtres de la raiſon l’ont emporté à la recherche des plaiſirs.	Les sens indépendants de la raison et souvent maîtres de la raison l’ont emporté à la recherche des plaisirs.
Toutes les creatures ou l’affligent ou le tentent, & dominent sur luy ou en le ſoumettant par leur force, ou en le charmant par leurs douceurs, ce qui eſt encore une domination plus terrible & plus imperieuſe.	Toutes les créatures ou l’affligent ou le tentent, et dominent sur lui ou en le soumettant par leur force, ou en le charmant par leurs douceurs, ce qui est encore une domination plus terrible et plus impérieuse.
Il leur reſte quelque inſtinct impuiſſant du bonheur de leur premiere nature;	Il leur reste quelque instinct impuissant du bonheur de leur première nature;
& ils ſont plongez dans les miſeres de leur aveuglement & de leur concupiſcence qui eſt devenüe leur ſeconde nature.	et ils sont plongés dans les misères de leur aveuglement et de leur concupiscence qui est devenue leur seconde nature.
§ De ces principes que je vous ouvre vous pouvez reconnoiſtre la cauſe de tant de contrarietez qui ont étonné tous les hommes, & qui les ont partagez.	§ De ces principes que je vous ouvre vous pouvez reconnaître la cause de tant de contrariétés qui ont étonné tous les hommes, et qui les ont partagez.
§ Obſervez maintenant tous les mouvemens de grandeur & de gloire que ce ſentiment de tant de miſeres ne peut étoufer, & voyez s’il ne faut pas que la cauſe en ſoit une autre nature.	§ Observez maintenant tous les mouvements de grandeur et de gloire que ce sentiment de tant de misères ne peut étouffer, et voyez s’il ne faut pas que la cause en soit une autre nature.
§ Connoiſſez donc, ſuperbe, quel paradoxe vous eſtes à vous meſme.	§ Connaissez donc, superbe, quel paradoxe vous êtes à vous même.
Humiliez vous, raiſon impuiſſante;	Humiliez-vous, raison impuissante;
apprenez que l’homme paſſe infiniment l’homme;	apprenez que l’homme passe infiniment l’homme;
& entendez de voſtre Maiſtre voſtre condition veritable que vous ignorez.	et entendez de votre Maître votre condition véritable que vous ignorez.
Et ſi l’homme n’avoit jamais eſté que corrompû il n’auroit aucune idée ny de la verité ny de la beatitude.	Et si l’homme n’avait jamais été que corrompu il n’aurait aucune idée ni de la vérité ni de la béatitude.
Mais malheureux que nous ſommes, & plus que s’il n’y avoit aucune grandeur dans noſtre condition, nous avons une idée du bonheur, & ne pouvons y arriver;	Mais malheureux que nous sommes, et plus que s’il n’y avait aucune grandeur dans notre condition, nous avons une idée du bonheur, et ne pouvons y arriver;
nous ſentons une image de la verité, & ne poſſedons que le menſonge;	nous sentons une image de la vérité, et ne possédons que le mensonge;
incapables d’ignorer abſolument, & de ſçavoir certainement;	incapables d’ignorer absolument, et de savoir certainement;
tant il eſt manifeſte que nous avons eſté dans un degré de perfection dont nous ſommes malheureuſement tombez.	tant il est manifeste que nous avons été dans un degré de perfection dont nous sommes malheureusement tombés.
§ Qu’eſt-ce donc que nous crie cette avidité & cette impuiſſance, ſinon qu’il y a eu autrefois en l’homme un veritable bonheur dont il ne luy reſte maintenant que la marque & la trace toute vuide, qu’il eſſaye inutilement de remplir de tout ce qui l’environne, en cherchant dans les choſes abſentes le ſecours qu’il n’obtient pas des preſentes, & que les unes & les autres ſont incapables de luy donner, parce que ce goufre infiny ne peut eſtre remply que par un objet infiny & immuable?	§ Qu’est-ce donc que nous crie cette avidité et cette impuissance, sinon qu’il y a eu autrefois en l’homme un véritable bonheur dont il ne lui reste maintenant que la marque et la trace toute vide, qu’il essaye inutilement de remplir de tout ce qui l’environne, en cherchant dans les choses absentes le secours qu’il n’obtient pas des présentes, et que les unes et les autres sont incapables de lui donner, parce que ce gouffre infini ne peut être rempli que par un objet infini et immuable?
Car il eſt ſans doute qu’il n’y a rien qui choque plus noſtre raiſon que de dire que le peché du premier homme ait rendu coupables ceux qui eſtant ſi éloignez de cette ſource ſemblent incapables d’y participer.	Car il est sans doute qu’il n’y a rien qui choque plus notre raison que de dire que le péché du premier homme ait rendu coupables ceux qui étant si éloignez de cette source semblent incapables d’y participer.
Cet écoulement ne nous paroiſt pas ſeulement impoſſible, il nous ſemble meſme tres injuſte.	Cet écoulement ne nous paraît pas seulement impossible, il nous semble même très injuste.
Certainement rien ne nous heurte plus rudement que cette doctrine.	Certainement rien ne nous heurte plus rudement que cette doctrine.
Et cependant ſans ce myſtere le plus incomprehenſible de tous, nous ſommes incomprehenſibles à nous meſmes.	Et cependant sans ce mystère le plus incompréhensible de tous, nous sommes incompréhensibles à nous mêmes.
Le nœud de noſtre condition prend ſes retours & ſes plis dans cet abyſme.	Le nœud de notre condition prend ses retours et ses plis dans cet abîme.
De ſorte que l’homme est plus inconcevable ſans ce myſtere, que ce myſtere n’eſt inconcevable à l’homme.	De sorte que l’homme est plus inconcevable sans ce mystère, que ce mystère n’est inconcevable à l’homme.
§ Le peché originel eſt une folie devant les hommes;	§ Le péché originel est une folie devant les hommes;
mais on le donne pour tel.	mais on le donne pour tel.
Mais cette folie eſt plus ſage que toute la ſageſſe des hommesI.	Mais cette folie est plus sage que toute la sagesse des hommesI.
Cor.	Cor.
15.	15.
, Quod ſtultum eſt Dei ſapientius eſt hominibus.	, Quod stultum est Dei sapientius est hominibus.
Car ſans cela que dira-t’on qu’eſt l’homme?	Car sans cela que dira-t-on qu’est l’homme?
Tout ſon eſtat dépend de ce point imperceptible.	Tout son état dépend de ce point imperceptible.
Et comment s’en fuſt il apperceu par ſa raiſon, puiſque c’eſt une choſe contre ſa raiſon;	Et comment s’en fût-il aperçu par sa raison, puisque c’est une chose contre sa raison;
& que ſa raiſon bien loin de l’inventer par ſes voyes, s’en éloigne quand on le luy preſente?	et que sa raison bien loin de l’inventer par ses voies, s’en éloigne quand on le lui présente?
§ Suivons nos mouvemens, obſervons nous nous meſmes, & voyons ſi nous n’y trouverons pas les caracteres vivans de ces deux natures.	§ Suivons nos mouvements, observons nous nous mêmes, et voyons si nous n’y trouverons pas les caractères vivants de ces deux natures.
§ Tant de contradictions ſe trouveroient elles dans un ſujet ſimple?	§ Tant de contradictions se trouveraient elles dans un sujet simple?
§ Ainſi toutes ces contraritez qui ſembloient devoir le plus éloigner les hommes de la connoiſſance d’une Religion, ſont ce qui les doit plutoſt conduire à la veritable.	§ Ainsi toutes ces contrariétés qui semblaient devoir le plus éloigner les hommes de la connaissance d’une Religion, sont ce qui les doit plutôt conduire à la véritable.
Pour moy j’avoüe qu’auſſitoſt que la Religion Chreſtienne découvre ce principe que la nature des hommes eſt corrompüe & deſchüe de Dieu, cela ouvre les yeux à voir par tout le caractere de cette verité.	Pour moi j’avoue qu’aussitôt que la Religion Chrétienne découvre ce principe que la nature des hommes est corrompue et déchue de Dieu, cela ouvre les yeux à voir par tout le caractère de cette vérité.
Car la nature eſt telle qu’elle marque par tout un Dieu perdu, & dans l’homme, & hors de l’homme.	Car la nature est telle qu’elle marque par tout un Dieu perdu, et dans l’homme, et hors de l’homme.
Sans ces divines connoiſſances qu’on pû faire les hommes, ſinon ou s’élever dans le ſentiment interieur qui leur reſte de leur grandeur paſſée, ou s’abbattre dans la veüe de leur foibleſſe preſente?	Sans ces divines connaissances qu’on pu faire les hommes, sinon ou s’élever dans le sentiment intérieur qui leur reste de leur grandeur passée, ou s’abattre dans la vue de leur faiblesse présente?
Car ne voyant pas la verité entiere ils n’ont pû arriver à une parfaitte vertu;	Car ne voyant pas la vérité entière ils n’ont pu arriver à une parfaite vertu;
les uns conſiderans la nature comme incorrompuë, les autres comme irreparable.	les uns considérant la nature comme incorrompue, les autres comme irréparable.
puiſqu’ils ne pouvoient ſinon ou s’y abandonner par laſcheté, ou en ſortir par l’orgueüil.	puisqu’ils ne pouvaient sinon ou s’y abandonner par lâcheté, ou en sortir par l’orgueil.
Car s’ils connoiſſoient l’excellence de l’homme, ils en ignoroient la corruption;	Car s’ils connaissaient l’excellence de l’homme, ils en ignoraient la corruption;
Et s’ils reconnoiſſoient l’infirmité de la nature, ils en ignoroient la dignité;	Et s’ils reconnaissaient l’infirmité de la nature, ils en ignoraient la dignité;
de ſorte qu’ils pouvoient bien éviter la vanité, mais c’eſtoit en ſe précipitant dans le deſeſpoir.	de sorte qu’ils pouvaient bien éviter la vanité, mais c’était en se précipitant dans le désespoir.
De là viennent les diverſes ſectes des Stoïciens & des Epicuriens, des r Dogmatistes et des Academiciens, &c.	De là viennent les diverses sectes des Stoïciens et des Epicuriens, des Dogmatistes et des Académiciens, etc.
La ſeule Religion Chreſtienne a pû guerir ces deux vices;	La seule Religion Chrétienne a pu guérir ces deux vices;
non pas en chaſſant l’un part l’autre par la ſageſſe de la terre;	non pas en chassant l’un part l’autre par la sagesse de la terre;
mais en chaſſant l’un & l’autre par la ſimplicité de l’Evangile.	mais en chassant l’un et l’autre par la simplicité de l’Evangile.
& elle crie aux plus impies qu’ils ſont capables de la grace de leur Redempteur.	et elle crie aux plus impies qu’ils sont capables de la grâce de leur Rédempteur.
Ainſi donnant à trembler à ceux qu’elle juſtifie, & conſolant ceux qu’elle condamne, elle tempere avec tant de juſteſſe la crainte avec l’eſperance par cette double capacité qui eſt commune à tous & de la grace & du peché, qu’elle abbaiſſe infiniment plus que la ſeule raiſon ne peut faire, mais ſans deſeſperer;	Ainsi donnant à trembler à ceux qu’elle justifie, et consolant ceux qu’elle condamne, elle tempère avec tant de justesse la crainte avec l’espérance par cette double capacité qui est commune à tous et de la grâce et du péché, qu’elle abaisse infiniment plus que la seule raison ne peut faire, mais sans désespérer;
faiſant bien voir par là qu’eſtant ſeule exempte d’errer & de vice, ils n’appartient qu’à elle & d’inſtruire & de corriger les hommes.	faisant bien voir par là qu’étant seule exempte d’errer et de vice, ils n’appartient qu’à elle et d’instruire et de corriger les hommes.
§ Le Chriſtianiſme eſt étrange.	§ Le Christianisme est étrange.
