ORAISON   DEDICATOIRE.	ORAISON DÉDICATOIRE.
Sainct Paul tout en vn moment fut purgé d’vne purgation parfaicte, comme fut auſſi ſaincte Catherine de Gennes, ſaincte Magdelaine, ſainct Pelagie, & quelques autres:	Saint Paul tout en un moment fut purgé d’une purgation parfaite, comme fut aussi sainte Catherine de Gennes, sainte Madeleine, saint Pélagie, et quelques autres:
La purgation & gueriſon ordinaire, ſoit des corps, ſoit des eſprits, ne ſe fait que petit à petit, par progrez d’auancement en auancement, auec peine & loiſir.	La purgation et guérison ordinaire, soit des corps, soit des esprits, ne se fait que petit à petit, par progrès d’avancement en avancement, avec peine et loisir.
Les Anges ont des aiſles ſur l’eſchelle de Iacob:	Les Anges ont des ailes sur l’échelle de Jacob:
mais ils ne volent pas;	mais ils ne volent pas;
ains montent & deſcendent par ordre, d’eſchellon en eſchellon.	ains montent et descendent par ordre, d’échelon en échelon.
L’ame qui remonte du peché à la deuotion eſt comparée à l’Aube, laquelle s’eſleuant ne chaſſe pas les tenebres en vn inſtant, mais petit à petit:	L’âme qui remonte du péché à la dévotion est comparée à l’Aube, laquelle s’élevant ne chasse pas les ténèbres en un instant, mais petit à petit:
la gueriſon (dit l’Aphoriſme) qui ſe fait tout bellement, eſt touſiours plus aſſeurée;	la guérison (dit l’Aphorisme) qui se fait tout bellement, est toujours plus assurée;
mais elles s’en reuont à pied & au petit pas.	mais elles s’en revont à pied et au petit pas.
Il faut donc eſtre courageuſe & patiente, ô Philothée, en ceſte entrepriſe.	Il faut donc être courageuse et patiente, ô Philothée, en cette entreprise.
Leuez vous apres que vous aurez eſté aſſis:	Levez-vous après que vous aurez été assis:
& luy meſme pratiquant ceſte leçon & ayant eſté deſia laué & nettoié, demande de l’eſtre derechef.	et lui même pratiquant cette leçon et ayant été déjà lavé et nettoyé, demande de l’être derechef.
L’exercice de la purgation de l'ame ne ſe peut, ny doit finir qu’auec noſtre vie:	L’exercice de la purgation de l’âme ne se peut, ni doit finir qu’avec notre vie:
ne nous troublons donc point de nos imperfections, car noſtre perfection conſiſte à les combatre:	ne nous troublons donc point de nos imperfections, car notre perfection consiste à les combattre:
& nous ne ſçaurions les combatre ſans les voir, ny les vaincre ſans les rencontrer:	et nous ne saurions les combattre sans les voir, ni les vaincre sans les rencontrer:
noſtre victoire ne giſt pas à ne les ſentir point, mais à ne point leur conſentir.	notre victoire ne gît pas à ne les sentir point, mais à ne point leur consentir.
neantmoins nous ne ſommes iamais vaincus, ſinon lors que nous auons perdu ou la vie ou le courage.	néanmoins nous ne sommes jamais vaincus, sinon lorsque nous avons perdu ou la vie ou le courage.
Or les imperfections & pechez veniels ne nous ſçauroient oſter la vie ſpirituelle, car elle ne ſe perd que par le peché mortel.	Or les imperfections et péchés véniels ne nous sauraient ôter la vie spirituelle, car elle ne se perd que par le péché mortel.
Deliure moy Seigneur, diſoit Dauid, de la coüardiſe & découragement:	Délivre moi Seigneur, disait David, de la couardise et découragement:
c’eſt vne heureuſe condition pour nous en cette guerre, que nous ſoyons touſiours vainqueurs, pourueu que nous voulions combattre.	c’est une heureuse condition pour nous en cette guerre, que nous soyons toujours vainqueurs, pourvu que nous voulions combattre.
De la premiere purgation, qui eſt celle des pechez mortels.	De la première purgation, qui est celle des péchés mortels.
CHAPITRE VI.	CHAPITRE VI.
LA premiere purgation qu’il faut faire, c’eſt celle du peché;	LA première purgation qu’il faut faire, c’est celle du péché;
le moyen de la faire, c'eſt le S. Sacrement de penitence:	le moyen de la faire, c’est le S. Sacrement de pénitence:
liſez les bien, & remarquez de poinct en poinct en quoy vous auez offencé, à prendre depuis que vous euſtes l’vſage de raiſon iuſques à l’heure preſente.	lisez-les bien, et remarquez de point en point en quoi vous avez offensé, à prendre depuis que vous eûtes l’usage de raison jusqu’à l’heure présente.
Et ſi vous vous défiez de voſtre memoire, mettez en eſcrit ce que vous aurez remarqué:	Et si vous vous défiez de votre mémoire, mettez en écrit ce que vous aurez remarqué:
que par le peché vous auez perdu la grace de Dieu, quitté voſtre part de Paradis, accepté les peines eternelles de l’Enfer, & renoncé à l’amour eternel, de Dieu.	que par le péché vous avez perdu la grâce de Dieu, quitté votre part de Paradis, accepté les peines éternelles de l’Enfer, et renoncé à l’amour éternel, de Dieu.
Vous voyez bien, Philothée, que ie parle d’vne confeſſion generale de toute la vie, laquelle certes ie confeſſe bien n’eſtre pas touſiours abſoluëment neceſſaire, mais ie conſidere bien auſſi qu’elle vous ſera extrémement vtile en ce commencement:	Vous voyez bien, Philothée, que je parle d’une confession générale de toute la vie, laquelle certes je confesse bien n’être pas toujours absolument nécessaire, mais je considère bien aussi qu’elle vous sera extrêmement utile en ce commencement:
c’eſt pourquoy ie vous la conſeille extrémement.	c’est pourquoi je vous la conseille extrêmement.
Il arriue ſouuent que les confeſſions ordinaires de ceux qui viuent d’vne vie commune & vulgaire, ſont pleines de grands defauts.	Il arrive souvent que les confessions ordinaires de ceux qui vivent d’une vie commune et vulgaire, sont pleines de grands défauts.
Car ſouuent on ne ſe prepare point, ou fort peu, on n’a point la contrition requiſe:	Car souvent on ne se prépare point, ou fort peu, on n’a point la contrition requise:
ains il aduient maintesfois que l’on ſe va confeſſer auec vne volonté tacite de retourner au peché, dautãt qu’on ne veut pas éuiter l’occaſion du peché, ny prendre les expediens neceſſaires à l’amẽdement de la vie:	ains il advient maintes fois que l’on se va confesser avec une volonté tacite de retourner au péché, d’autant qu’on ne veut pas éviter l’occasion du péché, ni prendre les expédients nécessaires à l’amendement de la vie:
Mais outre cela la confeſſion generale nous appelle à la cognoiſſance de nous meſme, nous prouoque à vne ſalutaire confuſion pour noſtre vie paſſée, nous fait admirer la miſericorde de Dieu, qui nous a attendu en patience, elle appaiſe nos cœurs, délaſſe nos eſprits, excite en nous des bons propos, donne ſubiect à noſtre pere ſpirituel de nous faire des aduis plus conuenables à noſtre condition, & nous ouure le cœur, pour auec confiance nous bien déclarer aux confeſſions ſuiuantes.	Mais outre cela la confession générale nous appelle à la connaissance de nous-même, nous provoque à une salutaire confusion pour notre vie passée, nous fait admirer la miséricorde de Dieu, qui nous a attendu en patience, elle apaise nos cœurs, délasse nos esprits, excite en nous des bons propos, donne sujet à notre père spirituel de nous faire des avis plus convenables à notre condition, et nous ouvre le cœur, pour avec confiance nous bien déclarer aux confessions suivantes.
Parlant doncques d’vn renouuellement general de noſtre cour, & d’vne conuerſion vniuerſelle de noſtre ame à Dieu, par l’entrepriſe de la vie deuote, i’ay bien raiſon, ce me ſemble, Philothée, de vous conſeiller cette confeſſion.	Parlant donc d’un renouvellement général de notre cour, et d’une conversion universelle de notre âme à Dieu, par l’entreprise de la vie dévote, j’ai bien raison, ce me semble, Philothée, de vous conseiller cette confession.
CHAPITRE VII.	CHAPITRE VII.
TOVS les Iſraëlites ſortirent en effect de la terre d’Egypte, mais ils n’en ſortirent pas tous d’affection:	TOUS les Israélites sortirent en effet de la terre d’Égypte, mais ils n’en sortirent pas tous d’affection:
c’eſt pourquoy emmy le deſert pluſieurs d’entr’eux regrettoient de n’auoir pas les oignons & les chairs d’Egypte.	c’est pourquoi emmi le désert plusieurs d’entre eux regrettaient de n’avoir pas les oignons et les chairs d’Égypte.
Ainſi il y a des penitens, qui ſortent en effect du	Ainsi il y a des pénitents, qui sortent en effet du
