IEVNE & victorieux Monarque	JEUNE et victorieux Monarque
Ceux qui iurent d'auoir l'ame encore aſſeZ forte,	Ceux qui jurent d’avoir l’âme encore assez forte,
Pour viure dans les yeux d’vne Maiſtreſſe morte,	Pour vivre dans les yeux d’une Maîtresse morte,
N’ont pas pris le loiſir de voir tous les efforts,	N’ont pas pris le loisir de voir tous les efforts,
Que fait la mort hideuſe à cõsumer vn corps	Que fait la mort hideuse à consumer un corps
Quand les ſens peruertis ſortent de leur vſage,	Quand les sens pervertis sortent de leur usage,
Qu'vne laideur viſible efface le viſage,	Qu’une laideur visible efface le visage,
En ſe diſant adieu ne ſe cognoiſſent plus,	En se disant adieu ne se connaissent plus,
Que dedans vn moment apres la vie eſteinte,	Que dedans un moment après la vie éteinte,
Et que l'infirmité de la puante chair,	Et que l’infirmité de la puante chair,
Nous faict ouurir la terre afin de la cacher.	Nous fait ouvrir la terre afin de la cacher.
Il faut eſtre animé d’vne fureur bien viue,	Il faut être animé d’une fureur bien vive,
Ayant conſideré comme la mort arriue.	Ayant considéré comme la mort arrive.
Et comme tout l'obiect de noſtre Amour perit,	Et comme tout l’objet de notre Amour périt,
Si par vn tel remede vne ame ne guerit,	Si par un tel remède une âme ne guérit,
Que le deſtin rauiſſe & ta vie & la mienne,	Que le destin ravisse et ta vie et la mienne,
Mais ſans te voir le corps ny l'esprit depery,	Mais sans te voir le corps ni l’esprit dépéri,
Mon ame en me dictant les vers que ie t’enuoye,	Mon âme en me dictant les vers que je t’envoie,
Me vient de plus en plus reſſuſciter la ioye,	Me vient de plus en plus ressusciter la joie,
Je ſens que mon eſprit reprend la liberté,	Je sens que mon esprit reprend la liberté,
Que mes yeux desuoilez cognoiſſent la clarté,	Que mes yeux dévoilés connaissent la clarté,
Que l'obiet d'vn beau iour, d'vn pré, d’vne fontaine,	Que l’objet d’un beau jour, d’un pré, d’une fontaine,
De voir comme Garonne en l’Ocean se traine,	De voir comme Garonne en l’Océan se traîne,
La paiſible fraischeur de ſes ombrages noirs:	La paisible fraîcheur de ses ombrages noirs:
Me plaiſt mieux auiourd'huy que le charme inutile,	Me plaît mieux aujourd’hui que le charme inutile,
Languir inceſſamment apres vne beauté,	Languir incessamment après une beauté,
Et ne ſe rebuter d’aucune cruauté,	Et ne se rebuter d’aucune cruauté,
Gaigner au pris du ſang vne foible esperãce	Gagner au prix du sang une faible espérance
D'vn plaiſir paſſager qui n'eſt qu'en apparence,	D’un plaisir passager qui n’est qu’en apparence,
Se rendre l’esprit mol, le courage abatu,	Se rendre l’esprit mol, le courage abattu,
Ne mettre en aucun prix l'honneur ny la vertu,	Ne mettre en aucun prix l’honneur ni la vertu,
Se peindre inceſſamment & l'ame & le viſage,	Se peindre incessamment et l’âme et le visage,
Cela tient d’vn esprit où le Ciel n'a point mis	Cela tient d’un esprit où le Ciel n’a point mis
Pour moy que la raiſon eſclaire en quelque ſorte,	Pour moi que la raison éclaire en quelque sorte,
Ie ne ſçaurois porter vne fureur ſi forte,	Je ne saurais porter une fureur si forte,
Et deſ-ia tu peux veoir au train de cét eſcrit,	Et déjà tu peux voir au train de cet écrit,
Comme la guariſon auance mon eſprit:	Comme la guérison avance mon esprit:
Car inſenſiblement ma Muſe vn peu legere	Car insensiblement ma Muse un peu légère
A paſſé deſſus toy ſa plume paſſagere,	A passé dessus toi sa plume passagère,
Dés le commencement i'ay changé de ſubiect,	Dès le commencement j’ai changé de sujet,
Emporté du plaiſir de voir ma veine aiſée,	Emporté du plaisir de voir ma veine aisée,
Et ioüer à ſon gré ſur les propos d'aimer	Et jouer à son gré sur les propos d’aimer
Sans auoir auiourd'huy pour but que de rimer,	Sans avoir aujourd’hui pour but que de rimer,
Et sans te demander que s'on bel œil eſclaire,	Et sans te demander que s’on bel œil éclaire,
Ces vers où ie n'ay pris aucũ ſoin de te plaire.	Ces vers où je n’ai pris aucun soin de te plaire.
MAINTENANT que Cloris a iuré de me plaire,	MAINTENANT que Cloris a juré de me plaire,
Et de m'aimer mieux que deuant,	Et de m’aimer mieux que devant,
Que le Soleil ne craint le vent.	Que le Soleil ne craint le vent.
Cloris renouuellant ma chaiſne preſque vſée,	Cloris renouvelant ma chaîne presque usée,
M'a rendu plus heureux que l'amy de Theſée,	M’a rendu plus heureux que l’ami de Thésée,
Quand Pluton relaſcha les ſiens.	Quand Pluton relâcha les siens.
Des-ia ma liberté faiſoit trembler mon ame,	Déjà ma liberté faisait trembler mon âme,
Mon ſalut me faiſoit perir,	Mon salut me faisait périr,
Ie mourois du regret d’auoir tué ma flamme,	Je mourais du regret d’avoir tué ma flamme,
Combien qu'elle me fit mourir.	Combien qu’elle me fit mourir.
I'eſtois tout esbloüy du iour,	J’étais tout ébloui du jour,
De tous mes ſentimens i'auois perdu l’vſage,	De tous mes sentiments j’avais perdu l’usage,
Ainſi l'oyſeau de cage alors qu’il ſe deliure,	Ainsi l’oiseau de cage alors qu’il se délivre,
Pour ſe remettre dans les bois,	Pour se remettre dans les bois,
Trouue qu'il a perdu l’vſage de ſon viure,	Trouve qu’il a perdu l’usage de son vivre,
De ſes aisles & de ſa voix.	De ses ailes et de sa voix.
Dieux où cét aduãture auoit porté ma vie!	Dieux où cette aventure avait porté ma vie!
Ie fremiſſois de ſon orgueil,	Je frémissais de son orgueil,
De l'adorer iuſqu'au cercueil.	De l’adorer jusqu’au cercueil.
Cloris travaillez biẽ à dénoüer ma cheſne,	Cloris travaillez bien à dénouer ma chaîne,
Vous ſeriez fort long temps pour me mettre en la peine,	Vous seriez fort longtemps pour me mettre en la peine,
Dont vous m'auez ſi toſt tiré.	Dont vous m’avez sitôt tiré.
Ie ne ſuis pas ſi fol que d'eſcouter encore	Je ne suis pas si fol que d’écouter encore
Les cenſures de ma raiſon,	Les censures de ma raison,
Et combien que mon mal eut beſoin d'Ellebore	Et combien que mon mal eut besoin d’Hellébore
Ie prendrois plutoſt du poiſon.	Je prendrais plutôt du poison.
On n'auoit point parlé du ſiege d’Ilion,	On n’avait point parlé du siège d’Ilion,
La terre n'auoit point receu Deucalion,	La terre n’avait point reçu Deucalion,
Les ſœurs de Phaëton ne pleuroient point la gomme,	Les sœurs de Phaéton ne pleuraient point la gomme,
Les Geans n'auoient point monté ſur Pelion,	Les Géants n’avaient point monté sur Pélion,
Et celuy qui cauſa noſtre rebellion,	Et celui qui causa notre rébellion,
N'auoit pas mis la dent ſur la premiere põme.	N’avait pas mis la dent sur la première pomme.
Cypre n'auoit point veu ſes riues eſcumer,	Chypre n’avait point vu ses rives écumer,
De ce germe diuin qui tomba dans la mer,	De ce germe divin qui tomba dans la mer,
Bref nous ne ſçauons point des ſiecles aſſez vieux,	Bref nous ne savons point des siècles assez vieux,
Depuis qu'on a cogneu l’origine du monde,	Depuis qu’on a connu l’origine du monde,
Miniſtre du repos, ſommeil pere des ſonges,	Ministre du repos, sommeil père des songes,
Pourquoy t'a t'on nommé l'Image de la mort,	Pourquoi t’a-t-on nommé l’Image de la mort,
Que ces faiſeurs de vers t'õt iadis fait de tort	Que ces faiseurs de vers t’ont jadis fait de tort
De le perſuader auecques leurs menſonges.	De le persuader avec leurs mensonges.
Faut-il pas confeſſer qu'en l'aise où tu nous plonges,	Faut-il pas confesser qu’en l’aise où tu nous plonges,
Nos esprits sont rauis par vn ſi doux trãsport,	Nos esprits sont ravis par un si doux transport,
Les plaiſirs de nos iours, sõmeil tu les alonges.	Les plaisirs de nos jours, sommeil tu les allonges.
Dans ce petit moment, ô songes rauiſſans!	Dans ce petit moment, ô songes ravissants!
I'ay tenu dans mon lict Elise toute nüe.	J’ai tenu dans mon lit Élise toute nue.
Sommeil, ceux qui t'ont fait l'Image du trépas,	Sommeil, ceux qui t’ont fait l’Image du trépas,
Quand ils ont peint la mort ils ne l'ont point cognuë,	Quand ils ont peint la mort ils ne l’ont point connue,
Car vraimẽnt son portraict ne luy reßẽble pas.	Car vraiment son portrait ne lui ressemble pas.
Au moins ay-ie songé que ie vous ay baisée,	Au moins ai-je songé que je vous ai baisée,
Et bien que tout l'Amour ne s'en soit pas allé,	Et bien que tout l’Amour ne s’en soit pas allé,
Rend en quelque façon ma flamme rapaiſée.	Rend en quelque façon ma flamme rapaisée.
Apres ce doux effort mon ame reposée,	Après ce doux effort mon âme reposée,
Et de tant de refus à demy consolé,	Et de tant de refus à demi consolé,
Ie trouue desormais ma guerison aisée.	Je trouve désormais ma guérison aisée.
Mes ſens deſ-ia remis cõmencent à dormir,	Mes sens déjà remis commencent à dormir,
Le ſommeil qui deux nuicts m'auoit laiſſé gemir,	Le sommeil qui deux nuits m’avait laissé gémir,
Enfin dedans mes yeux vous fait quitter la place;	Enfin dedans mes yeux vous fait quitter la place;
Et quoy qu'il ſoit ſi froid au iugemẽt de tous,	Et quoiqu’il soit si froid au jugement de tous,
Et s'eſt monſtré plus chaud & plus humain que vous.	Et s’est montré plus chaud et plus humain que vous.
D'vn ſommeil plus tranquille à mes Amours reſuant,	D’un sommeil plus tranquille à mes Amours rêvant,
Et ceſte longue nuict ſi durement paßée,	Et cette longue nuit si durement passée,
Ie me trouue eſtonné dequoy ie ſuis viuant.	Je me trouve étonné de quoi je suis vivant.
Demy deſesperé ie iure en me leuant,	Demi désespéré je jure en me levant,
D'arracher ceſt obiect à mon ame inſenſée,	D’arracher cet objet à mon âme insensée,
Et ſoudain de ſes vœux ma raiſon offencée,	Et soudain de ses vœux ma raison offensée,
Se deſdit & me laiſſe außi fol que deuant.	Se dédit et me laisse aussi fol que devant.
Mais ie voy tant d’appas en ma melancholie,	Mais je vois tant d’appas en ma mélancolie,
Que mon eſprit ne peut ſouffrir ſa guerison.	Que mon esprit ne peut souffrir sa guérison.
Mithridate autrefois a veſcu de poiſon,	Mithridate autrefois a vécu de poison,
Les Leſtrigons de ſang, & moy ie vis de flame.	Les Lestrygons de sang, et moi je vis de flamme.
Chere Iſis tes beautez ont troublé la nature,	Chère Isis tes beautés ont troublé la nature,
Tes yeux ont mis l'Amour dans ſon aueuglement,	Tes yeux ont mis l’Amour dans son aveuglement,
Et les Dieux occupeZ apres toy ſeulement,	Et les Dieux occupés après toi seulement,
Laiſſent l'eſtat du monde errer à l'aduanture.	Laissent l’état du monde errer à l’aventure.
Ils en ſentent leur cœur touché ſi viuement,	Ils en sentent leur cœur touché si vivement,
Que s'ils n'eſtoiẽt cloüeZ ſi fort au firmamẽt,	Que s’ils n’étaient cloués si fort au firmament,
Croy moy qu'en cest' humeur ils ont peu de soucy,	Crois-moi qu’en cette humeur ils ont peu de souci,
Ou du bien ou du mal que nous faisons icy,	Ou du bien ou du mal que nous faisons ici,
Et tandis que le Ciel endure que tu m'aimes,	Et tandis que le Ciel endure que tu m’aimes,
Tu peus bien dans mon lict impunement coucher,	Tu peux bien dans mon lit impunément coucher,
Iſis que craindrois-tu, puis que les Dieux eux mesmes,	Isis que craindrais-tu, puisque les Dieux eux-mêmes,
S'eſtimeroient heureux de te faire pecher.	S’estimeraient heureux de te faire pécher.
Doux ſeiour où mon ame eſtoit iadis charmee,	Doux séjour où mon âme était jadis charmée,
Qui n'eſt plus auiourd'huy ſoubs nos toicts deſmolis,	Qui n’est plus aujourd’hui sous nos toits démolis,
Ornemẽs de l'autel qui n'eſtes que fumees,	Ornements de l’autel qui n’êtes que fumées,
Grand Temple ruiné, myſteres abolis,	Grand Temple ruiné, mystères abolis,
Effroyables obiects d’vne ville allumée,	Effroyables objects d’une ville allumée,
Palais, hommes, cheuaux, enſemble enſeuelis.	Palais, hommes, chevaux, ensemble ensevelis.
Foſſez larges & creux tous comblez de murailles,	Fossés larges et creux tous comblés de murailles,
Spectacles de frayeur, de cris, de funerailles,	Spectacles de frayeur, de cris, de funérailles,
Charniers où les Corbeaux & Loups vont tous repaiſtre,	Charniers où les Corbeaux et Loups vont tous repaître,
Clerac pour vne fois que vous m'auez faict naiſtre,	Clairac pour une fois que vous m’avez fait naître,
CEVX qui tirent le cœur par les traits du viſage,	CEUX qui tirent le cœur par les traits du visage,
Remarquent dans le tien des ſignes de valeur,	Remarquent dans le tien des signes de valeur,
Mais comme la vaillance eſt touſiours vn preſage,	Mais comme la vaillance est toujours un présage,
Qui promet de la gloire auecque du mal'heur.	Qui promet de la gloire avec du malheur.
I'espere que la mort auecques ſa pasleur,	J’espère que la mort avec sa pâleur,
Couurira tes beautez de ſa funeſte Image,	Couvrira tes beautés de sa funeste Image,
Viẽdra faire à ton dam preuue de ton courage.	Viendra faire à ton dam preuve de ton courage.
Vn iour que tu voudras combattre au premier rang,	Un jour que tu voudras combattre au premier rang,
Et le cœur trauersé d’vne mortelle playe.	Et le cœur traversé d’une mortelle plaie.
Tourner ces traiſtres yeux deuers ton monument,	Tourner ces traîtres yeux devers ton monument,
Lors pour te faire veoir que ma vengeance eſt vraye,	Lors pour te faire voir que ma vengeance est vraie,
Je n'en ietteray pas vn ſouſpir ſeulement.	Je n’en jetterai pas un soupir seulement.
TYRANNIQVE reſpect, triſte & faſcheux deuoir,	TYRANNIQUE respect, triste et fâcheux devoir,
Qui tiens ſi rudement mes volontez contrainctes,	Qui tiens si rudement mes volontés contraintes,
Autre ſoulagemẽt que celuy de mes plaintes?	Autre soulagement que celui de mes plaintes?
Souffriray ie ô Thirſis! mon cœur gelé de craintes,	Souffrirai-je ô Tircis! mon cœur gelé de craintes,
Loix que ma paßſion deuoit auoir enfraintes,	Lois que ma passion devait avoir enfreintes,
Garderez vous touſiours ce rigoureux pouuoir?	Garderez-vous toujours ce rigoureux pouvoir?
Ie crois que le Tyran qui d'eternelles flames	Je crois que le Tyran qui d’éternelles flammes
Donne le chaſtiment ordonne pour les ames,	Donne le châtiment ordonné pour les âmes,
Quãd ie ſerois eſclaue au fonds de ſes Enfers.	Quand je serais esclave au fonds de ses Enfers.
S'il ſçauoit le ſubiet de mon impatience,	S’il savait le sujet de mon impatience,
S'il ne me permettoit de ſortir de mes fers.	S’il ne me permettait de sortir de mes fers.
