TABLEAU DE L'HISTOIRE DES PRINCES ET PRINCIPAVTÉ D'ORANGE. 	TABLEAU DE L'HISTOIRE DES PRINCES ET PRINCIPAUTÉ D'ORANGE.
La bonté du Tout-Puiſſant Ia touſiours tenue gravée cõme vne nouvelle Sion ſur la paume de ſa main.	La bonté du Tout-Puissant Ia toujours tenue gravée comme une nouvelle Sion sur la paume de sa main.
Elle l'a mainte-fois retirée de la rigueur de la tyrannie, de livrée de l’oppreſſion de ſes adverſaires, cherie, aymée & heureuſement reduite ſous la domination de ſes Princes legitimes. 	Elle l'a mainte-fois retirée de la rigueur de la tyrannie, de livrée de l'oppression de ses adversaires, chérie, aimée et heureusement réduite sous la domination de ses Princes légitimes.
Mais pour faire voir le climat ſalutaire, ſous lequel nous vivons, la temperarure, & la ſerenité de l’air, que nous reſpirons;	Mais pour faire voir le climat salutaire, sous lequel nous vivons, la température, et la sérénité de l'air, que nous respirons;
la vaſte & delicieuſe campagne, qui nous enuironne;	la vaste et délicieuse campagne, qui nous environne;
tant de beaux fruits, qui y croiſſent;	tant de beaux fruits, qui y croissent;
& tant de riches danrées, qui s'y recueillent abondamment:	et tant de riches denrées, qui s'y recueillent abondamment:
Pour eſtaler en ce diſcours, ces eminents tiltres de cité metro-politaine, & tres-opulente, ſous les Romains;	Pour étaler en ce discours, ces éminents titres de cité métropolitaine, et très-opulente, sous les Romains;
qui ſont meritoirement aſſignés à Orange ville capitale de l'eſtat :	qui sont méritoirement assignés à Orange ville capitale de l'état:
pour renouveller ces curieuſes remarques des antiquités Romaines, qu’on y void encor rellevées, en des baſtimens ſi ſuperbes, & ſi magnifiques;	pour renouveler ces curieuses remarques des antiquités Romaines, qu'on y voit encor relevées, en des bâtiments si superbes, et si magnifiques;
avec ce grand & ample circuit des vielles murailles, qui deſignent la grandeur de la ville ancienne :	avec ce grand et ample circuit des vielles murailles, qui désignent la grandeur de la ville ancienne:
& pour la faire voir honnorée d'vn ſiege de Parlement, & de la tenue de deux celebres Conciles, des chaires d’Eveſché, & d’Vniverſité ſous les Princes Chreſtiens ;	et pour la faire voir honorée d'un siège de Parlement, et de la tenue de deux célèbres Conciles, des chaires d'Évêché, et d'Université sous les Princes Chrétiens;
Il fault enrichir la bordure de ce tableau , par la delineation d’autant de vives remarques , avant qu’entreprendre la repreſentation de toutes ces riches figures;	Il faut enrichir la bordure de ce tableau, par la délinéation d'autant de vives remarques, avant qu'entreprendre la représentation de toutes ces riches figures;
qui paroiſtront en leur lieu, par la deſduire, des actions memorables de tant de grands Princes, qui l’ont poſſedée depuis pluſieurs ſiecles, en tiltre de ſouveraineté, qui ſe continue heureuſement, au tige de ceſte grande maiſon de Naſſau, ſoubz le regne de noſtre victorieux Prince. 	qui paraîtront en leur lieu, par la déduire, des actions mémorables de tant de grands Princes, qui l'ont possédée depuis plusieurs siècles, en titre de souveraineté, qui se continue heureusement, au tige de cette grande maison de Nassau, sous le règne de notre victorieux Prince.
Du Climat, Situation, confronts, beautè et ammenitè de le campagne, et des danrèes qui ſe recueillent en l'eſtat d’Orange. 	Du Climat, Situation, confronts, beauté et aménité de le campagne, et des denrées qui se recueillent en l'état d'Orange.
Et Eſtat eſt posé ſous le quarante troiſieſme degré & demi de l'eſlevation du Pole en latitude, & ainſi approchant le milieu de noſtre Zone temperée. 	Et État est posé sous le quarante troisième degré et demi de l'élévation du Pôle en latitude, et ainsi approchant le milieu de notre Zone tempérée.
Son climat eſt beau par excellence. 	Son climat est beau par excellence.
L'air de ceſte contrée eſt fort temperé. 	L'air de cette contrée est fort tempéré.
Les pluyes y tombent favorablement. 	Les pluies y tombent favorablement.
Les ſaiſons ſemblent ſe vouloir accommoder, à la cuillete de tant de beaux fruits. 	Les saisons semblent se vouloir accommoder, à la cueillette de tant de beaux fruits.
Les vapeurs, & les exalaiſons malignes, couſtumieres de s’eſlever de la terre, ſelon la diverſité de leurs cauſes, ne ſe peuvent longuement arreſter, parmi l’eſtendue de ce Climat, en eſtans deſchaſsées par la frequente impetuoſité du vent de Nort ;	Les vapeurs, et les exhalaisons malignes, coutumières de s'élever de la terre, selon la diversité de leurs causes, ne se peuvent longuement arrêter, parmi l'étendue de ce Climat, en étant déchassées par la fréquente impétuosité du vent de Nord;
mais non ſans cauſer aucune fois des dommages aux bleds, vignes, & autres fruits de la campagne. 	mais non sans causer aucune fois des dommages aux bleds, vignes, et autres fruits de la campagne.
Operations ordinaires de la Divine providence, qui pour le bien des hommes tire d’une meſme cauſe divers effects contraires. 	Opérations ordinaires de la Divine providence, qui pour le bien des hommes tire d'une même cause divers effets contraires.
Il eſtoit anciennement d’aſsés grande eſtendue comprenant ſous ſoy beaucoup de villes & de villages, du Comté Venaiſcin, de la Provence & du Dauphiné;	Il était anciennement d'assez grande étendue comprenant sous soi beaucoup de villes et de villages, du Comté Venaissin, de la Provence et du Dauphiné;
Mais ou par ſucceſſion des ſiecles, ou par la malice des temps, ou bien par le malheur des guerres eſtrangeres, qui en tenoint eſloignés ſes Princes, tout l’Eſtat à eſté reduit à la ville d'Orange, qui porte le nom de Principauté & de capitale du Pays;	Mais ou par succession des siècles, ou par la malice des temps, ou bien par le malheur des guerres étrangères, qui en tenaient éloignés ses Princes, tout l'État à été réduit à la ville d'Orange, qui porte le nom de Principauté et de capitale du Pays;
celles de Courthezon, Jonquieres, & Gigondas, cloſes de murailles;	celles de Courthezon, Jonquières, et Gigondas, closes de murailles;
avec pluſieurs autres bourgs, villages, chaſteaux, & fiefs, tant du Prince que des Seigneurs & Gentils-hommes, vaſsaux, dependans de la ſouveraineté d’Orange. 	avec plusieurs autres bourgs, villages, châteaux, et fiefs, tant du Prince que des Seigneurs et Gentilshommes, vassaux, dépendant de la souveraineté d'Orange.
Son aſſiete eſt aux extremités, qui joignent les quatre provinces voiſines, le Languedoc, la Provence, le Dauphiné, & le Comté d’Avignon. 	Son assiette est aux extrémités, qui joignent les quatre provinces voisines, le Languedoc, la Provence, le Dauphiné, et le Comté d'Avignon.
Il à en ſon orient, les terres de Malauſcene, celles de Baumes, celles de Sarrians, & celles de Camaret. 	Il à en son orient, les terres de Malaucène, celles de Baumes, celles de Sarrians, et celles de Camaret.
En ſon occident la riviere du Rhoſne,la baronnie de Lers, & Caderouce;	En son occident la rivière du Rhosne,la baronnie de Lers, et Caderouce;
en ſon midy Chaſteau-neuf Calcernier, & Bedarrides :	en son midi Château-neuf Calcernier, et Bedarrides:
en ſon Septemtrion, la baronnie de Serignan, Piolens, & Mornas. 	en son Septentrion, la baronnie de Sérignan, Piolens, et Mornas.
Le terroir eſt ample, au regard des villes, qui y ſont ſituées, & du peuple qui les habite;	Le terroir est ample, au regard des villes, qui y sont situées, et du peuple qui les habite;
ſa longueur d'orient en occident eſt depuis Malauſcene juſques au Rhoſne, & juſques à la baronnie de Lers;	sa longueur d'orient en occident est depuis Malaucène jusques au Rhône, et jusques à la baronnie de Lers;
ſa largeur du midy au ſeptemtrion, eſt depuis Bedarrides, juſques à la baronnie de Serignan. 	sa largeur du midi au septentrion, est depuis Bédarrides, jusques à la baronnie de Sérignan.
Le pays eſt plain & uni, la campagne belle & delicieuſe;	Le pays est plain et uni, la campagne belle et délicieuse;
compartie par tant de maiſons champeſtres, & belles metairies, que dans le ſeul terroir d’Orange, y en à plus de cinq cents en nombre toutes habitées;	compartie par tant de maisons champêtres, et belles métairies, que dans le seul terroir d’Orange, y en à plus de cinq cents en nombre toutes habitées;
compaſsée d'une infinité de jardinages, vergers, clos, préeries, & terres cõplantées d'une multitude d'arbres de toute eſpece;	compassée d'une infinité de jardinages, vergers, clos, prairies, et terres complantées d'une multitude d'arbres de toute espèce;
arrosée d'vn grand nombre de ruiſseaux, ſources, & fontaines;	arrosée d'un grand nombre de ruisseaux, sources, et fontaines;
& ce qui rend ceſte plaine tres belle, eſt qu’on la voit bornée de montagnes, qui l’entourent de tous coſtés en forme ronde;	et ce qui rend cette plaine très belle, est qu'on la voit bornée de montagnes, qui l'entourent de tous côtés en forme ronde;
elles ſont eſloignées les unes de deux heures de chemin, autres de trois, juſques à quatre, cinq, & ſix, touſiours en veue de la plaine;	elles sont éloignées les unes de deux heures de chemin, autres de trois, jusques à quatre, cinq, et six, toujours en vue de la plaine;
& toutefois elles reſsemblent eſgalement diſtantes, & jointes enſemble, comme ſi la nature les y avoit posées, pour ſervir de Mur & de rempart, à la conſervation de ceſte belle, & riche plaine, ce qui me fairoit volontiers dire, que c'eſt la terre de Promiſſion, la Canaam de l’Europe, l'Edem, le Paradis terreſtre ſi curieuſement recerché par tant d'eſcrivains. 	et toutefois elles ressemblent également distantes, et jointes ensemble, comme si la nature les y avait posées, pour servir de Mur et de rempart, à la conservation de cette belle, et riche plaine, ce qui me ferait volontiers dire, que c'est la terre de Promission, la Canaan de l'Europe, l'Éden, le Paradis terrestre si curieusement recherché par tant d'écrivains.
Mais autant que la demoure de ce pays eſt agreable, & delicieuſe, autant ſon terroir eſt riche, & fecond, en pluſieurs danrées;	Mais autant que la demeure de ce pays est agréable, et délicieuse, autant son terroir est riche, et fécond, en plusieurs denrées;
le froment, le vin, la ſoye, & le ſaffran, outre tant d’autres, s’y recueillent en ſi grande quantité que la moindre ſuffiroit pour beaucoup plus de peuple, qu'il n’y en à en toute la Principauté, & toutesfois elles excellent en beauté & bonté les autres fruits des contrées circonvoiſines;	le froment, le vin, la soie, et le safran, outre tant d'autres, s'y recueillent en si grande quantité que la moindre suffirait pour beaucoup plus de peuple, qu'il n'y en à en toute la Principauté, et toutefois elles excellent en beauté et bonté les autres fruits des contrées circonvoisines;
& ce qui eſt remarquable, cet Eſtat n'emprumpte rien de ſes voiſins, de tout ce qui eſt neceſſaire à l’uſage de la vie humaine, ſoit pour la nourriture & parure du corps, ſoit pour fournir à tant d’autres neceſſités des familles. 	et ce qui est remarquable, cet État n'emprunte rien de ses voisins, de tout ce qui est nécessaire à l'usage de la vie humaine, soit pour la nourriture et parure du corps, soit pour fournir à tant d'autres nécessités des familles.
Il faut parler en particulier de la ville d'Orange, & commencer par ſon origine, pour paſſer à la conſideration des autres choſes remarquables. 	Il faut parler en particulier de la ville d'Orange, et commencer par son origine, pour passer à la considération des autres choses remarquables.
De la fondation origine, et anciennetè de la ville d’Orange, ou eſt parlè de S. 	De la fondation origine, et ancienneté de la ville d'Orange, où est parlé de S.
Eutrope. 	Eutrope.
Es noms ſont les images des choſes. 	Es noms sont les images des choses.
Ils n'ont eſté introduits à autre fin, que pour repreſenter la nature de ce à quoy ils font appropriés. 	Ils n'ont été introduits à autre fin, que pour représenter la nature de ce à quoi ils font appropriés.
Ceſte ville à eſté diverſement nommée par divers autheurs. 	Ceste ville à été diversement nommée par divers auteurs.
Des Grecs Arauſion, ou bien Araiſion de la terminaiſon du nom de ceſte colonie Grecque, dont elle fut peuplée en ſon premier commancement. 	Des Grecs Arausion, ou bien Araision de la terminaison du nom de cette colonie Grecque, dont elle fut peuplée en son premier commencement.
Des Latins Arauſio, Auraſica, Arauſica, Arauſia, Auraica, Aurengia. 	Des Latins Arausio, Aurasica, Arausica, Arausia, Auraica, Aurengia.
Des François Orange, Aurange, & Orenge. 	Des François Orange, Aurange, et Orenge.
Le commun & le plus uſité eſt Orange par nous employé au frontiſpice de ce Tableau, & dans tout le cours de noſtre hiſtoire. 	Le commun et le plus usité est Orange par nous employé au frontispice de ce Tableau, et dans tout le cours de notre histoire.
Noms que la commune opinion fait deriver, ou de ce mot Aura c'est à dire vent, en langage du pays Aure, à cauſe de la frequente impetuoſité des vents, qui y regnent;	Noms que la commune opinion fait dériver, ou de ce mot Aura c'est à dire vent, en langage du pays Aure, à cause de la fréquente impétuosité des vents, qui y règnent;
ou bien du mot Orage en oſtant la lettre n, comme pour repreſenter les diviſions, orages, & partialités, aux quelles ceſte contrée eſt naturellement aſſuietie. 	ou bien du mot Orage en ôtant la lettre n, comme pour représenter les divisions, orages, et partialités, aux quelles cette contrée est naturellement assujettie.
Quelque uns tirent ce mot Orenge, d’une figure ironique, dautant qu'il ne s'y peut eſlever aucuns Orengers, pour la violẽce des meſmes vents;	Quelque-uns tirent ce mot Orange, d'une figure ironique, d’autant qu'il ne s'y peut élever aucuns Orangers, pour la violence des mêmes vents;
ne pouvans ces beaux, & odoriferans arbres prendre accroiſſement, que dans le calme des pays plus doux, à l’abri des vents, & de la tempeſte. a La fondation de ceſte ville eſt ſi ancienne, que pluſieurs n'ont pas fait difficulté, de la rapporter entre les plus celebres de la Gaule Narbonnoiſe. 	ne pouvant ces beaux, et odoriférants arbres prendre accroissement, que dans le calme des pays plus doux, à l'abri des vents, et de la tempête. a La fondation de cette ville est si ancienne, que plusieurs n'ont pas fait difficulté, de la rapporter entre les plus célèbres de la Gaule Narbonnaise.
Quelques uns ont dit, qu'elle fut fondée avec les villes de Marſeille, Nice, Thurin, Avignon, & Lion, par ceſte grande Colonie des Grecs, qui paſſa à Marſeille, ſous l’enfance de la republique Romaine, & pendant le regne de Tarquin Roy des Romains, pour eſtablir leur demeure en ce pays, & faire retentir le los de leur renommée, parmy les nations eſtrangeres.	Quelques uns ont dit, qu'elle fut fondée avec les villes de Marseille, Nice, Turin, Avignon, et Lyon, par cette grande Colonie des Grecs, qui passa à Marseille, sous l'enfance de la république Romaine, et pendant le règne de Tarquin Roi des Romains, pour établir leur demeure en ce pays, et faire retentir le los de leur renommée, parmi les nations étrangères.
b Les autres eſtiment que les Phoccens voyant leur ville aſſiegee par les Perſes, ſous la conduite d’Harpalus leur general, qui avec le balay ardent de la cruauté ſe promenoit fierement par toute l'eſtendue de la Grece, mirent ſoudain la voile au veut , & prindrent retraite à Marſeille. 	b Les autres estiment que les Phocéens voyant leur ville assiégée par les Perses, sous la conduite d'Harpalus leur général, qui avec le balai ardent de la cruauté se promenait fièrement par toute l'étendue de la Grèce, mirent soudain la voile au veut, et prirent retraite à Marseille.
Les autres diſent que leur pays natal trop eſtroit pour contenir un ſi grand peuple, les obligea de cercher paſture ailleurs par la navigation, ſi qu'ilz vindrent ſurgir és environs de l’embouchure du Rhoſne, & en ſuite y attirerent tout le peuple de Phoces ſous la conduite de Simos, et de Protis. 	Les autres disent que leur pays natal trop étroit pour contenir un si grand peuple, les obligea de chercher pâture ailleurs par la navigation, si qu'ils vinrent surgir ès environs de l'embouchure du Rhône, et ensuite y attirèrent tout le peuple de Phoces sous la conduite de Simos, et de Protis.
Que pour s'inſinuer plus doucement en ceſte poſseſsion, ils recercherent d’amitié un Roy voiſin nommé Nannus, lequel les reçeut humainemẽt, & d'arrivée s'eſtans rencõtrés dans le banquet nuptial de ſa fille nommée Gypte auquel ils furent conviés, ceſte Princeſse qui debuoit verſer de l’eau ſur les mains de celuy qu'elle eſliroit pour mary (ſuivant la couſtume du pays) ſe tourna devers Protis l’un des chefs Grecs & luy en verſa.& que Protis par ceſte ineſperée faveur devenu gendre du Roy, obtint en don le lieu ou il fit baſtir une ville qu’il nomma Marſeille. 	Que pour s'insinuer plus doucement en cette possession, ils recherchèrent d'amitié un Roi voisin nommé Nannus, lequel les reçut humainement, et d'arrivée s'étant rencontrés dans le banquet nuptial de sa fille nommée Gypte auquel ils furent conviés, cette Princesse qui devait verser de l'eau sur les mains de celui qu'elle élirait pour mari (suivant la coutume du pays) se tourna devers Protis l'un des chefs Grecs et lui en versa.et que Protis par cette inespérée faveur devenu gendre du Roi, obtint en don le lieu ou il fit bâtir une ville qu'il nomma Marseille.
Tous les peuples des environs leur envians ce bien, tachent d’eſtouffer par armes ceſte proſperité naiſsante. 	Tous les peuples des environs leur enviant ce bien, tachent d'étouffer par armes cette prospérité naissante.
Mais la valeur des Grecs ſe faiſant voye par tout, ils ne des peurent empecher d’eſtendre leurs coudees & de reduire ſous leur obeiſſance le pays cinconvotin ou ils envoyerent des Colonies. 	Mais la valeur des Grecs se faisant voie par tout, ils ne des purent empêcher d'étendre leurs coudées et de réduire sous leur obéissance le pays circonvoisin ou ils envoyèrent des Colonies.
Par ce moyen là vie de nos premiers habitans commança de ſe rendre plus humaine, la civilité de ces nouveaux hoſtes les apprivoiſe peu à peu, ils en apprenent la façon de cultiver les champs, & de baſtir des villes, & au lieu qu’ils n'eſtoint paravant regis que par violence ils ſe ſouſmettent à un gouvernement politique adreſsé par bonnes loix. 	Par ce moyen là vie de nos premiers habitants commença de se rendre plus humaine, la civilité de ces nouveaux hôtes les apprivoise peu à peu, ils en apprennent la façon de cultiver les champs, et de bâtir des villes, et au lieu qu'ils n'étaient paravant régis que par violence ils se soumettent à un gouvernement politique adressé par bonnes lois.
Bref noſtre Orange & les principales villes de Lion en bas commancerent deſlors à jetter leur premiere fondation. 	Bref notre Orange et les principales villes de Lyon en bas commencèrent dès lors à jeter leur première fondation.
Ce qui eſt confirmé principalement, tant par la terminaiſon de ces villes la en ion, du nom de ceſte Colonie, comme Lion, Avenion, & Orange, qui pour lors ſe nommoit Araiſion:	Ce qui est confirmé principalement, tant par la terminaison de ces villes la en ion, du nom de cette Colonie, comme Lion, Avenion, et Orange, qui pour lors se nommait Araision:
que parla grande recommandation, en laquelle la Langue Greque eſtoit pour lors, en ces contrées, & particulierement en la ville de Marſeille, ou accouroint gens de tous coſtés, pour l'apprendre;	que parla grande recommandation, en laquelle la Langue Grecque était pour lors, en ces contrées, et particulièrement en la ville de Marseille, ou accouraient gens de tous côtés, pour l'apprendre;
d & par la convenance de ceſte laugue là, avec la vulguaire de ce païs, meſmes en l’idiome, & en pluſieurs mots, qui ſont encor parmy nous en uſage.	d et par la convenance de cette langue là, avec la vulgaire de ce pays, mêmes en l'idiome, et en plusieurs mots, qui sont encor parmi nous en usage.
e Julius Cæſar, qui pour les merveilles de ſes royales actions, & les incomparables exploicts de ſa valeur, à eſté le plus capable de ſon temps, pour deſcrire les commentaires de ſa vie ;	e Julius César, qui pour les merveilles de ses royales actions, et les incomparables exploits de sa valeur, à été le plus capable de son temps, pour décrire les commentaires de sa vie;
qui à precedé de pluſieurs années, l’advenement du Sauveur du monde:	qui a précédé de plusieurs années, l'avènement du Sauveur du monde:
a bien voulu laiſsér à la memoire de la poſterité, l'eſtime particuliere qu’il faiſoit de ceſte ville;	a bien voulu laisser à la mémoire de la postérité, l'estime particulière qu'il faisait de cette ville;
lors qu’ayant aprins la revolte des Gaulois, il vint à Narbonne, mit garniſons en Provence, Avignon, Orãge, & Thoulouſe;	lors qu'ayant appris la révolte des Gaulois, il vint à Narbonne, mit garnisons en Provence, Avignon, Orange, et Toulouse;
qui ſe conſerverent en toute integrité, ſous l’Empire d'un ſi grand Prince, apres avoir ſouffert les pilleries, & invaſions de e Vercingentorix chef de ceſte grande revolte. f. 	qui se conservèrent en toute intégrité, sous l'Empire d'un si grand Prince, après avoir souffert les pilleries, et invasions de e Vercingétorix chef de cette grande révolte. f.
Mais pour un teſmoignage plus particulier de la faveur du Ciel envers nos Peres:	Mais pour un témoignage plus particulier de la faveur du Ciel envers nos Pères:
Dieu voulut qu’au premier commencement de la propagation de l'Evangile, la religion Chreſtienne fut preſchée à Orange, par S. Eutrope natif d'Egipte, l'un des ſeptante diſciples des Apoſtres. 	Dieu voulut qu'au premier commencement de la propagation de l'Évangile, la religion Chrétienne fut prêchée à Orange, par S. Eutrope natif d'Égypte, l'un des septante disciples des Apôtres.
Ce fut lors qu’apres l’aſcention de Jeſus Chriſt, & la reception du S. 	Ce fut lors qu'après l'ascension de Jésus Christ, et la réception du S.
Eſprit, deſirans de publier la foy par toute la terre;	Esprit, désirant de publier la foi par toute la terre;
ils l'envoyerent aux Gaules avec S. 	ils l'envoyèrent aux Gaules avec S.
Trophime (duquel l'Eſcriture ſaincte rẽd teſmoignage)* qui s’arreſta en Arles, & celuy cy a Orãge;	Trophime (duquel l'Écriture sainte rend témoignage)* qui s'arrêta en Arles, et celui-ci a Orange;
ou aprés avoir jetté les fondements d'une Egliſe, il mourut;	ou après avoir jeté les fondements d'une Église, il mourut;
& ſon corps fut enſeveli, ſur la montagne dans la ville ancienne, au lieu ou quelque temps aprés, fut edifié un temple, à l’honneur de ce ſainct, g maintenant changé en un baſtion de la Vignaſse. 	et son corps fut enseveli, sur la montagne dans la ville ancienne, au lieu ou quelque temps après, fut édifié un temple, à l'honneur de ce saint, g maintenant changé en un bastion de la Vignasse.
Il eſtoit preſent à la Cene de Jeſus Chriſt, dit ſa legende. 	Il était présent à la Cène de Jésus Christ, dit sa légende.
Sur le poteau du portal de ce tẽple, devant ſa demolition, eſtoint gravés ces mots Gaudentius et Palladius fratri innocentiſſimo fecere. 	Sur le poteau du portal de ce temple, devant sa démolition, étaient gravés ces mots Gaudentius et Palladius fratri innocentissimo fecere.
Il y avoit auſſi certaine hiſtoire relevée en marbre. 	Il y avait aussi certaine histoire relevée en marbre.
Le corps de S. 	Le corps de S.
Eutrope eſtoit enſeveli ſous les degrés de l’entrée, cela n'eſtoit revelé qu’a certaines perſonnes;	Eutrope était enseveli sous les degrés de l'entrée, cela n'était révélé qu'a certaines personnes;
nous le verrons en ſon temps, ſervir de ſubject d’un foible reſsentiment aux reformés, qui le conſacreront à l'ardeur des flammes avec les autres reliques, qui eſtoint gardées en la grande Egliſe d’Orange;	nous le verrons en son temps, servir de sujet d'un faible ressentiment aux reformés, qui le consacreront à l'ardeur des flammes avec les autres reliques, qui étaient gardées en la grande Église d'Orange;
lors que toutes choſes furent peſle-meſlées dans le labirinthe inextricable de la confuſion de ces premiers troubles, tant deſcriés par la France. h Quelques uns ont dit, que S. 	lors que toutes choses furent pêle-mêlées dans le labyrinthe inextricable de la confusion de ces premiers troubles, tant décriés par la France. h Quelques uns ont dit, que S.
Eutrope eſtoit fils d’un Roy de Bourgogne, & qu’il ſut enſeveli à Orange. 	Eutrope était fils d'un Roi de Bourgogne, et qu'il sut enseveli à Orange.
Il s'en fault raporter à la foy des autheurs plus veritables. i Mais encor le dire de Pline ſecond, en ſon hiſtoire naturelle du monde;	Il s'en faut rapporter à la foi des auteurs plus véritables. i Mais encor le dire de Pline second, en son histoire naturelle du monde;
qu’il à eſcripte du temps de l’Empereur Tite Veſpaſian, eſt bien plus exprés en noſtre faveur;	qu'il à écrite du temps de l'Empereur Tite Vespasian, est bien plus exprès en notre faveur;
Lors que deſcrivant la Gaule Narbonnoiſe, & y comprenant les pays du Dauphiné, Languedoc, & Provence, il fait mention d’Orange en ces termes. k Quant aux colonies et cités metropolitaines, vivantes ſelon le droict eſcript des Romains, qui ſont avant en pays;	Lors que décrivant la Gaule Narbonnaise, et y comprenant les pays du Dauphiné, Languedoc, et Provence, il fait mention d'Orange en ces termes. k Quant aux colonies et cités métropolitaines, vivantes selon le droit écrit des Romains, qui sont avant en pays;
il y à Arles ou habitent les ſoldats de la ſixieſme Legion, Beſiers qui est peuplée des ſoldats de la ſeptieſme Legion, a Orange ceux de la ſeconde Legion vindrent habiter. 	il y à Arles ou habitent les soldats de la sixième Légion, Béziers qui est peuplée des soldats de la septième Légion, a Orange ceux de la seconde Légion vinrent habiter.
Le tiltre que Pomponius Mela luy attribue, n'eſt pas moins ancien, que plain d’honneur, & de gloire;	Le titre que Pomponius Mela lui attribue, n'est pas moins ancien, que plain d'honneur, et de gloire;
lors qu’il la qualifie du nom de Cité tres-opulente, avec les plus celebres de toute la Gaule Narbonoiſe. 	lors qu'il la qualifie du nom de Cité très-opulente, avec les plus célèbres de toute la Gaule Narbonnaise.
Et Conſtantin fils de Cõſtantin le grand, l’honnora de ſa demeure pour quelque temps à ſon paſſage, lors que ſon Pere l'envoya, pour l’adminiſtration des Gaules Transalpines, y ayant fait une belle & magnifique entrée;	Et Constantin fils de Constantin le grand, l'honora de sa demeure pour quelque temps à son passage, lors que son Père l'envoya, pour l'administration des Gaules Transalpines, y ayant fait une belle et magnifique entrée;
en memoire de laquelle, les habitans ont conſervé juſques à ce jourdhuy une honnorable relique d'une Colomne, ou ſont gravés ces mots, Constantino pio nobili, Cæſaris Conſtantini pii fiſlio. 	en mémoire de laquelle, les habitants ont conservé jusques à ce jourd’hui une honorable relique d'une Colonne, où sont gravés ces mots, Constantino pio nobili, Cæsaris Constantini pii fislio.
Mais quand le teſmoignage de tant de grands perſonnages nous defaudroit;	Mais quand le témoignage de tant de grands personnages nous défaillirait;
ces beaux & ſomptueux monuments des antiquités Romaines, qui ſemblent avoir voulu combatre le temps, par leur durée;	ces beaux et somptueux monuments des antiquités Romaines, qui semblent avoir voulu combattre le temps, par leur durée;
pour conſacrer à l'eternité, la grandeur de leur triomphe:	pour consacrer à l'éternité, la grandeur de leur triomphe:
l'excellence de la ſtructure de ce grand Arc Triomphal, & la dignité du ſujet, qui le fit eriger :	l'excellence de la structure de ce grand Arc Triomphal, et la dignité du sujet, qui le fit ériger:
les uſages du Theatre ou Cirque, & l’admirable forme de ce baſtiment, qui à eſté la premiere inventée;	les usages du Théâtre ou Cirque, et l'admirable forme de ce bâtiment, qui à été la première inventée;
meſmes avant les Amphitheatres, qu’on voit és autres villes de l’Europe, ſont des vrais arguments & des teſmoins irreprochables, de l'ancienneté de la ville d’Orange, en ſon commencement & en ſon origine, en ſa grandeur & en ſa magnificence. 	mêmes avant les Amphithéâtres, qu'on voit ès autres villes de l’Europe, sont des vrais arguments et des témoins irréprochables, de l'ancienneté de la ville d'Orange, en son commencement et en son origine, en sa grandeur et en sa magnificence.
Ce qui nous apparoiſtra plus clairement, par la deſcription generalle, & particuliere d'icelles. 	Ce qui nous apparaîtra plus clairement, par la description générale, et particulière d'icelles.
Plan des Murs antiqs de la ville d’Orange. 	Plan des Murs antiques de la ville d'Orange.
E nom de celuy qui à baſti les Murs antiqs, de ceſte celebre ville, eſt demeuré enſeveli, dans ſes frequentes ruines. 	E nom de celui qui à bâti les Murs antiques, de cette célèbre ville, est demeuré enseveli, dans ses fréquentes ruines.
Les tenebres d’une ſi ſombre antiquité, en ont deſrobé la cognoiſſance, & ne me permetent d’en parler qu'a taſtons. 	Les ténèbres d'une si sombre antiquité, en ont dérobé la connaissance, et ne me permettent d'en parler qu'a tâtons.
Mais tant de ſiecles paſsés, deſpuis ſa premiere fondation, n’ont peu entierement effacer tous ces viſibles teſmoignages, de la grandeur ancienne de ſes Murs, ny les traces & veſtiges honnorables qu'elle en à laiſsé à la poſterité. 	Mais tant de siècles passés, depuis sa première fondation, n'ont peu entièrement effacer tous ces visibles témoignages, de la grandeur ancienne de ses Murs, ni les traces et vestiges honorables qu'elle en à laissé à la postérité.
Son circuit eſtoit d’environ un' heure & demy de chemin, & embraſſoit toute la montagne du Chaſteau, juſques à la Draperie, qui s’eſtend prés d'une mouſquetade, par de là, la vignaſse du coſté du midy;	Son circuit était d'environ une heure et demie de chemin, et embrassait toute la montagne du Château, jusques à la Draperie, qui s'étend prés d'une mousquetade, par de là, la vignasse du côté du midi;
comprenant la fontaine de lavacrum qui eſt ſous l’angle regardant, le couchant. 	comprenant la fontaine de lavacrum qui est sous l'angle regardant, le couchant.
Avant la derniere fortification du Chaſteau, qui fut faite en l’année 1622.& 23. en ce meſme endroit de la Draperie, paroiſſoit un grand & large foſsé tiré en droicte ligne du levant au couchant, avec les vielles Murailles à demy entieres, & leurs tours rondes à la Grecque de cinquante en cinquante pas, en aucuns endroits elles eſtoyent de plus de quinze pieds de haut, & preſque en deffence;	Avant la dernière fortification du Château, qui fut faite en l'année 1622.et 23. en ce même endroit de la Draperie, paraissait un grand et large fossé tiré en droite ligne du levant au couchant, avec les vielles Murailles à demi entières, et leurs tours rondes à la Grecque de cinquante en cinquante pas, en aucuns endroits elles étaient de plus de quinze pieds de haut, et presque en défense;
pluſieurs qui les ont veues comme moy, me cautionneront de ceſte verité;	plusieurs qui les ont vues comme moi, me cautionneront de cette vérité;
