IE n’eſtime pas que l'homme ſoit capable de former dans ſon eſprit un projet plus vain &	IE n’estime pas que l’homme soit capable de former dans son esprit un projet plus vain et
il leur apprend à faire le diſcernement de ceux avec qui ils doivent lier quelque commerce, &	il leur apprend à faire le discernement de ceux avec qui ils doivent lier quelque commerce, et
dont l’émulation les portera à imiter leurs vertus &	dont l’émulation les portera à imiter leurs vertus et
leur ſageſſe:	leur sagesse:
Ainſi je vais entrer en matiere, c’eſt à vous de penetrer dans mon ſens, &	Ainsi je vais entrer en matière, c’est à vous de pénétrer dans mon sens, et
d’examiner avec attention ſi la verité ſe trouve dans mes paroles:	d’examiner avec attention si la vérité se trouve dans mes paroles:
&	et
ſans faire une plus longue Preface, je parleray d’abord de la diſſimulation, je définiray ce vice, je diray ce que c’eſt qu’un homme diſſimulé, je décriray ſes mœurs, &	sans faire une plus longue Préface, je parlerai d’abord de la dissimulation, je définirai ce vice, je dirai ce que c’est qu’un homme dissimulé, je décrirai ses mœurs, et
je traiteray enſuite des autres paſſions, ſuivant le projet que j’en ay fait.	je traiterai ensuite des autres passions, suivant le projet que j’en ai fait.
LA * diſſimulation n’eſt pas * L'Auteur parle de celle qui ne vient pas de la prudence, & que les Grecs appelloient ironie. aiſée à bien définir;	LA * dissimulation n’est pas * L’Auteur parle de celle qui ne vient pas de la prudence, et que les Grecs appelaient ironie. aisée à bien définir;
* L'Auteur parle de celle qui ne vient pas de la prudence, &	* L’Auteur parle de celle qui ne vient pas de la prudence, et
que les Grecs appelloient ironie.	que les Grecs appelaient ironie.
ſi l’on ſe contente d'en faire une ſimple deſcription, l'on peut dire que c’eſt un certain art de compoſer ſes paroles &	si l’on se contente d’en faire une simple description, l’on peut dire que c’est un certain art de composer ses paroles et
ſes actions pour une mauvaiſe fin.	ses actions pour une mauvaise fin.
Un homme diſſimulé ſe comporte de cette maniere, il aborde ſes ennemis, leur parle &	Un homme dissimulé se comporte de cette manière, il aborde ses ennemis, leur parle et
leur fait croire par cette démarche qu’il ne les hait point;	leur fait croire par cette démarche qu’il ne les hait point;
il loüe ouvertement &	il loue ouvertement et
en leur preſence ceux à qui il dreſſe de ſecrettes embuches, &	en leur présence ceux à qui il dresse de secrètes embûches, et
il s’afflige avec eux s’il leur eſt arrivé quelque diſgrace;	il s’afflige avec eux s’il leur est arrivé quelque disgrâce;
il ſemble pardonner les diſcours offenſans que l’on luy tient;	il semble pardonner les discours offensants que l’on lui tient;
il recite froidement les plus horribles choſes que l’on aura dites contre ſa reputation, &	il récite froidement les plus horribles choses que l’on aura dites contre sa réputation, et
il employe les paroles les plus flatteuſes pour adoucir ceux qui ſe plaignent de luy, &	il emploie les paroles les plus flatteuses pour adoucir ceux qui se plaignent de lui, et
qui ſont aigris par les injures qu’ils en ont receuës.	qui sont aigris par les injures qu’ils en ont reçues.
S’il arrive que quelqu’un l’aborde avec empreſſement, il feint des affaires, &	S’il arrive que quelqu’un l’aborde avec empressement, il feint des affaires, et
luy dit de revenir une autrefois;	lui dit de revenir une autre fois;
il cache ſoigneuſement tout ce qu’il fait, à l’entendre parler, on croiroit toûjours qu’il delibere;	il cache soigneusement tout ce qu’il fait, à l’entendre parler, on croirait toujours qu’il délibère;
il ne parle point indifferemment, il a ſes raiſons pour dire tantoſt qu’il ne fait que revenir de la campagne, tantoſt qu’il eſt arrivé à la ville fort tard, &	il ne parle point indifféremment, il a ses raisons pour dire tantôt qu’il ne fait que revenir de la campagne, tantôt qu’il est arrivé à la ville fort tard, et
quelquefois qu’il eſt languiſſant, ou qu il a une mauvaiſe ſanté.	quelquefois qu’il est languissant, ou qu il a une mauvaise santé.
Il dit à celuy qui luy emprunte de l’argent à intereſt, ou qui le prie de contribuer * de Cette ſorte de contribution eſtoit frequente à Athenes, & autoriſée par les loix ſa part à une ſomme que ſes amis conſentent de luy preſter;	Il dit à celui qui lui emprunte de l’argent à intérêt, ou qui le prie de contribuer * de Cette sorte de contribution était fréquente à Athènes, et autorisée par les lois sa part à une somme que ses amis consentent de lui prêter;
Cette ſorte de contribution eſtoit frequente à Athenes, &	Cette sorte de contribution était fréquente à Athènes, et
autoriſée par les loix	autorisée par les lois
qu’il ne vend rien, qu’il ne s’eſt jamais veu ſi dénué d’argent;	qu’il ne vend rien, qu’il ne s’est jamais vu si dénué d’argent;
pendant qu’il dit aux autres que le commerce va le mieux du monde, quoy qu’en effet il ne vende rien.	pendant qu’il dit aux autres que le commerce va le mieux du monde, quoi qu’en effet il ne vende rien.
Souvent aprés avoir écouté ce que l’on luy a dit, il veut faire croire qu’il n’y a pas eu la moindre attention;	Souvent après avoir écouté ce que l’on lui a dit, il veut faire croire qu’il n’y a pas eu la moindre attention;
il feint de n’avoir pas apperçû les choſes où il vient de jetter les yeux, ou s’il eſt convenu d’un fait, de ne s’en plus ſouvenir:	il feint de n’avoir pas aperçu les choses où il vient de jeter les yeux, ou s’il est convenu d’un fait, de ne s’en plus souvenir:
il n’a pour ceux qui luy parlent d’affaires, que cette ſeule réponſe, j’y penſeray:	il n’a pour ceux qui lui parlent d’affaires, que cette seule réponse, j’y penserai:
il ſçait de certaines choſes, il en ignore d’autres;	il sait de certaines choses, il en ignore d’autres;
il eſt ſaiſi d'admiration;	il est saisi d’admiration;
d’autres fois il aura penſé comme vous ſur cet évenement, &	d’autres fois il aura pensé comme vous sur cet évènement, et
cela ſelon ſes differens intereſts;	cela selon ses différents intérêts;
ſon langage le plus ordinaire eſt celuy-cy;	son langage le plus ordinaire est celui-ci;
je n'en crois rien, je ne comprends pas que cela puiſſe eſtre, je ne ſçay où j’en ſuis, ou bien, il me ſemble que je ne ſuis pas moy-meſme;	je n'en crois rien, je ne comprends pas que cela puisse être, je ne sais où j’en suis, ou bien, il me semble que je ne suis pas moi-même;
&	et
enſuite, ce n’eſt pas ainſi qu’il me l’a fait entendre, voilà une choſe merveilleuſe, &	ensuite, ce n’est pas ainsi qu’il me l’a fait entendre, voilà une chose merveilleuse, et
qui paſſe toute creance, contez cela à d'autres, dois-je vous croire? ou me perſuaderay-je qu’il ne m’ait pas dit la verité? paroles doubles &	qui passe toute créance, contez cela à d’autres, dois-je vous croire? ou me persuaderai-je qu’il ne m’ait pas dit la vérité? paroles doubles et
artificieuſes, dont il faut ſe défier comme de ce qu’il y a au monde de plus pernicieux:	artificieuses, dont il faut se défier comme de ce qu’il y a au monde de plus pernicieux:
ces manieres d’agir ne partent point d’un ame ſimple &	ces manières d’agir ne partent point d’un âme simple et
droite, mais d’une mauvaiſe volonté, ou d’un homme qui veut nuire:	droite, mais d’une mauvaise volonté, ou d’un homme qui veut nuire:
le venin des Aſpics eſt moins à craindre.	le venin des Aspics est moins à craindre.
DE LA FLATTERIE.	DE LA FLATTERIE.
LA flatterie eſt un commerce honteux qui n’eſt utile qu’au flatteur.	LA flatterie est un commerce honteux qui n’est utile qu’au flatteur.
Si un flatteur ſe promene avec quelqu’un dans la place, remarquez-vous, luy dit-il, cõme tout le monde a les yeux ſur vous?	Si un flatteur se promène avec quelqu’un dans la place, remarquez-vous, lui dit-il, comme tout le monde a les yeux sur vous?
