AUX LIBERTINS. 	AUX LIBERTINS. 
Eh bien, mon ami, ses cheveux châtains qu’à peine on peut empoigner, lui descendent au bas des fesses, son teint est d’une blancheur éblouissante, son nez un peu aquilin, ses yeux d'un noir d’ébène , et d’une ardeur...., oh, mon ami, il n’est pas possible de tenir à ces yeux-là....., tu n’imagines point toutes les sottises qu’ils m’ont fait faire..., si tu voyais les jolis sourcils qui les couronnent...., Ies intéressantes paupières qui les bordent, sa bouche est trèspetite, ses dents superbes, et tout cela d’une fraîcheur.... 	Eh bien, mon ami, ses cheveux châtains qu'à peine on peut empoigner, lui descendent au bas des fesses, son teint est d'une blancheur éblouissante, son nez un peu aquilin, ses yeux d'un noir d'ébène , et d'une ardeur...., oh, mon ami, il n'est pas possible de tenir à ces yeux-là....., tu n'imagines point toutes les sottises qu'ils m'ont fait faire..., si tu voyais les jolis sourcils qui les couronnent...., Ies WANING intéressantes paupières qui les bordent, sa bouche est trèspetite, ses dents superbes, et tout cela d'une fraîcheur.... 
Une de ses beautés est la manière élégante dont sa belle tête est attachée sur ses épaules, l’air de noblesse qu’elle a quand elle la tourne......... 	Une de ses beautés est la manière élégante dont sa belle tête est attachée sur ses épaules, l'air de noblesse qu'elle a quand elle la tourne......... 
Eugénie est grande pour son âge, on lui donnerait dix-sept ans, sa taille est un modèle d’élégance et de finesse, sa gorge délicieuse...., ce sont bien les deux plus jolis petits tetons...., à peine y a-t-il de quoi remplir la main, mais si doux...., si frais...., si blancs ;	Eugénie est grande pour son âge, on lui donnerait dix-sept ans, sa taille est un modèle d'élégance et de finesse, sa gorge délicieuse...., ce sont bien les deux plus jolis petits tétons...., à peine y a-t-il de quoi remplir la main, mais si doux...., si frais...., si blancs ;
vingt fois j’ai perdu la tête en les baisant, et si tu avais vu comme elle s’animait sous mes caresses..., comme ses deux grands yeux me peignaient l’état de son ame... ;	vingt fois j'ai perdu la tête en les baisant, et si tu avais vu comme elle s'animait sous mes caresses..., comme ses deux grands yeux me peignaient l'état de son ame...;
mon ami, je ne sais pas comme est le reste. 	mon ami, je ne sais pas comme est le reste. 
Ah!	Ah!
s’il en faut juger par ce que je connais, jamais l’Olimpe n’eut une divinité qui la valût.... 	s'il en faut juger par ce que je connais, jamais l'Olympe n'eut une divinité qui la valût.... 
Mais je l'entends.... 	Mais je l'entends.... 
Laisse-nous, sors par le jardin pour ne la point rencontrer, et sois exact au rendez-vous. 	Laisse-nous, sors par le jardin pour ne la point rencontrer, et sois exact au rendez-vous.
LE CHEVALIER. 	LE CHEVALIER. 
Le tableau que tu viens de me faire te répond de mon exactitude.... 	Le tableau que tu viens de me faire te répond de mon exactitude.... 
Oh ciel !	Oh ciel !
sortir.... te quitter dans l'état où je suis.... 	sortir.... te quitter dans l'état où je suis.... 
Adieu.... un baiser.... un seul baiser, ma sœur, pour me satisfaire au-moins jusque-là. ( Elle le baise, touche son vit au travers de sa culotte, et le jeune homme sort avec précipitation.)	Adieu.... un baiser.... un seul baiser, ma sœur, pour me satisfaire au-moins jusque-là. (Elle le baise, touche son vit au travers de sa culotte, et le jeune homme sort avec précipitation.)
