A MONSEIGNEVR LE DVC D’ESPERNON.	A MONSEIGNEUR LE DUC D’ÉPERNON.
Ie ne veux pas entreprendre ſur la Cour de Parlement, ny preuenir ſes Arreſts par mon opinion :	Je ne veux pas entreprendre sur la Cour de Parlement, ni prévenir ses Arrêts par mon opinion:
auſſi bien de penſer rendre cét homme la plus coupable qu’il s’eſt fait luy meſme, ce ſeroit ietter de l’encre ſur le viſage d’vn More ;	aussi bien de penser rendre cet homme la plus coupable qu’il s’est fait lui même, ce serait jeter de l’encre sur le visage d’un More;
& ie doy cela à la memoire du temps paſsé, de le plaindre pluſtoſt comme vn malade, que de le traiter comme vn ennemy ;	et je dois cela à la mémoire du temps passé, de le plaindre plutôt comme un malade, que de le traiter comme un ennemi;
Il eſt vray qu’il a des qualitez qui ne ſont pas abſolument mauuaiſes, & ie ne nye pas que ie n’aye pris plaiſir à ſa liberté lors qu[’]elle ne ſe propoſoit que les hommes pour obiect, & qu’elle pardõnoit aux choſes ſainctes ;	Il est vrai qu’il a des qualités qui ne sont pas absolument mauvaises, et je ne nie pas que je n’aie pris plaisir à sa liberté lors qu[’]elle ne se proposait que les hommes pour objet, et qu’elle pardonnait aux choses saintes;
Mais ſi toſt que i’ouys dire qu’il auoit paſſè les bornes du monde, & qu’il s’attaquoit à ce qui eſt au deſſus du Ciel, dés l’heure meſme ie rompis noſtre commerce, & creus que ie ne pouuois faire autre choſe que de prier Dieu de luy renuoyer ſon bon ſens, & d’auoir pitié de luy comme il en auoit eu des Iuifs qui le crucifioient :	Mais sitôt que j’ouïs dire qu’il avait passé les bornes du monde, et qu’il s’attaquait à ce qui est au dessus du Ciel, dès l’heure même je rompis notre commerce, et crus que je ne pouvais faire autre chose que de prier Dieu de lui renvoyer son bon sens, et d’avoir pitié de lui comme il en avait eu des Juifs qui le crucifiaient:
Vne autre fois ie me donneray bien garde de vous entretenir ſi long-temps, & de me laſſer en vous ennuyant :	Une autre fois je me donnerai bien garde de vous entretenir si longtemps, et de me lasser en vous ennuyant:
Mais ſans mentir i’ay creu que ie n’en pouuois faire moins apres trois ans de ſilence, & que ce n’eſtoit pas trop pour vn homme qui vous paye ſi tard de toutes les lettres qu’il vous doit :	Mais sans mentir j’ai cru que je n’en pouvais faire moins après trois ans de silence, et que ce n’était pas trop pour un homme qui vous paye si tard de toutes les lettres qu’il vous doit:
Encore ne puiſ-ie finir celle-cy, ſans vous dire quelque choſe du lieu de ma demeure, & des occupations que i’y ay.	Encore ne puis-je finir celle-ci, sans vous dire quelque chose du lieu de ma demeure, et des occupations que j’y ai.
Premierement il ne paſſe iour que ie ne voye leuer & coucher le Soleil, & que durant ce temps là ie ne me ſepare de la compagnie des hommes, pour aller iouïr de la pureté de ſa lumiere, & voila en l’eſtat où ie ſuis, toute la Cour que ie fais, & la ſeule ſuietion que ie m’oblige de rendre.	Premièrement il ne passe jour que je ne voie lever et coucher le soleil, et que durant ce temps là je ne me sépare de la compagnie des hommes, pour aller jouir de la pureté de sa lumière, et voila en l’état où je suis, toute la Cour que je fais, et la seule sujétion que je m’oblige de rendre.
Quand ie veux prendre l’air aux autres heures du iour, veritablement les obiects de mes yeux ne ſont pas ſi vaſtes que la Mer & les Apennins ;	Quand je veux prendre l’air aux autres heures du jour, véritablement les objets de mes yeux ne sont pas si vaſtes que la Mer et les Apennins;
& ie ne voy pas Rome ſous mes pieds cõme ie faiſois il y a deux ans :	et je ne vois pas Rome sous mes pieds comme je faisais il y a deux ans:
Neantmoins ie deſcouure de tous coſtez vne veuë ſi agreable, qu’encore qu’elle ne rempliſſe pas mon eſprit tant que l’autre, elle le contente dauantage :	Néanmoins je découvre de tous côtés une vue si agréable, qu’encore qu’elle ne remplisse pas mon esprit tant que l’autre, elle le contente davantage:
les peintres viennẽt de quatre iournées pour eſtudier en ma chambre ;	les peintres viennent de quatre journées pour étudier en ma chambre;
& ſi la nature fait paroiſtre ſa grandeur au fonds des abyſmes, & des precipices, elle a mis toute ſa beauté ſous mes feneſtres.	et si la nature fait paraître sa grandeur au fonds des abîmes, et des précipices, elle a mis toute sa beauté sous mes fenêtres.
Au reſte ie ſuis en l’abondance iuſques aux yeux, mais tout mon bien eſt attaché aux branches des arbres ;	Au reste je suis en l’abondance jusques aux yeux, mais tout mon bien est attaché aux branches des arbres;
& comme l’eſté m’a fait riche, l’hyuer me rendra ma premiere pauureté :	et comme l’été m’a fait riche, l’hiver me rendra ma première pauvreté:
Cependant ie fais des feſtins des figues & de melons, & des muſcats que ie mange il en ſortiroit de quoy enyurer la moitié de l’Angleterre ;	Cependant je fais des festins des figues et de melons, et des muscats que je mange il en sortirait de quoi enivrer la moitié de l’Angleterre;
& ce qui vous donnera peut-eſtre de l’eſtonnement, c’eſt que ie mets tout cela dans vn corps qui ſe porte aſſez mal pour eſtre celuy d’vn Pape, & qui à l’âge de vingt ſix ans n’eſt pas moins ruiné que le Chaſteau de Biſſeſte.	et ce qui vous donnera peut-être de l’étonnement, c’est que je mets tout cela dans un corps qui se porte assez mal pour être celui d’un Pape, et qui à l’âge de vingt six ans n’est pas moins ruiné que le Château de Bisseste.
I’ay trouué le moyen d’accorder les excés auecque les medecines, & en meſme iour i’eſſaye le plaiſir & la douleur, & ie nourris ma fieure de fruict, & la purge de rubarbe ;	J’ai trouvé le moyen d’accorder les excès avec les médecines, et en même jour j’essaye le plaisir et la douleur, et je nourris ma fièvre de fruit, et la purge de rhubarbe;
Quoy qu’il en ſoit, ie ne ſçaurois hazarder ma ſanté en des deſbauches plus innocentes, puis que ie les fais ſans troubler le repos de la terre, ny de l’air, & ſans oſter la vie à perſonne :	Quoi qu’il en soit, je ne saurais hasarder ma santé en des débauches plus innocentes, puisque je les fais sans troubler le repos de la terre, ni de l’air, et sans ôter la vie à personne:
Les premiers hommes paruenoient à vne extreme vieilleſſe auec des viandes pures comme les miennes, & de toutes celles qui ſont ſanglantes, ils vſoient ſeulemẽt des meures & des ceriſes.	Les premiers hommes parvenaient à une extreme vieillesse avec des viandes pures comme les miennes, et de toutes celles qui sont sanglantes, ils usaient seulement des meures et des cerises.
Auſſi en ce temps-là la ſimplicité de leur vie eſtoit accompagnée d’vn parfait repos ;	Aussi en ce temps-là la simplicité de leur vie était accompagnée d’un parfait repos;
La nature eſtant encore vierge de toutes ſortes de monſtres ;	La nature étant encore vierge de toutes sortes de monstres;
on ne parloit ny de Geryon, ny du Minotaure, ny de φφφφ.	on ne parlait ni de Géryon, ni du Minotaure, ni de φφφφ.
l’Inquiſition & le Parlement eſtoient encore en l’Idee des choſes, & des deux parties de la Iuſtice il n’y en auoit de connuë que celle qui donne les recompenſes.	l’Inquisition et le Parlement étaient encore en l’Idée des choses, et des deux parties de la justice il n’y en avait de connue que celle qui donne les récompenses.
Balzac.	Balzac.
A Balzac le 1623.	À Balzac le 1623.
AV MESME Lettre XII.	AU MÊME Lettre XII.
VOſtre lettre du quinzieſme du mois paſſé me vient d’eſtre renduë ſur le point que ie fermois celle que ie vous eſcris ;	Votre lettre du quinzième du mois passé me vient d’être rendue sur le point que je fermais celle que je vous écris;
Vous auriez ſubiect de vous plaindre ſi ie la laiſſois partir toute ſeule, & ſi ce mort qui vous eſt apparu ne vous remercioit de tant de belles parolles que vous auez miſes à faire ſon Oraiſon funebre.	Vous auriez sujet de vous plaindre si je la laissais partir toute seule, et si ce mort qui vous est apparu ne vous remerciait de tant de belles paroles que vous avez miſes à faire son Oraison funèbre.
Ie ſerois fort heureux ſi les autres auoient la meſme opinion, ou eſtoient en la meſme erreur que vous ;	Je serais fort heureux si les autres avaient la même opinion, ou étaient en la même erreur que vous;
mais i’ay peur que pour cette-fois vous ne ferez point de party qui ſoit ſuiuy de tant de gens que la Ligue ;	mais j’ai peur que pour cette-fois vous ne ferez point de parti qui soit suivi de tant de gens que la Ligue;
& que ſi tous ceux qui ne ſont pas de voſtre aduis eſtoient declarez criminels, il n’y auroit point d’innocens en ce Royaume.	et que si tous ceux qui ne sont pas de votre avis étaient déclarez criminels, il n’y aurait point d’innocents en ce Royaume.
En tout cas, ie vous ay beaucoup d’obligation de me donner ſi liberalement ce que vous ſçauez qui me manque, & d’employer toutes vos couleurs, & tout voſtre fard pour me faire trouuer beau.	En tout cas, je vous ai beaucoup d’obligation de me donner si libéralement ce que vous savez qui me manque, et d’employer toutes vos couleurs, et tout votre fard pour me faire trouver beau.
Ie n’ay garde de m’offenſer iamais contre vn homme qui me flatte, & en l’amour que ie me porte à moy-meſme, ie ſouffriray touſiours vn riual auec contentement.	Je n’ai garde de m’offenser jamais contre un homme qui me flatte, et en l’amour que je me porte à moi-même, je souffrirai toujours un rival avec contentement.
Puis que le Duc de Lorraine prẽd plaiſir qu’on luy die qu’il eſt Roy de Hieruſalem, & que ceux qui n’ont pas les veritables biens ſe conſolent auec des tiltres & des armoiries ;	Puisque le Duc de Lorraine prend aisément qu’on lui die qu’il est Roi de Jérusalem, et que ceux qui n’ont pas les véritables biens se consolent avec des titres et des armoiries;
par la meſme raiſon ie puis m’imaginer d’eſtre celuy que vous voulez que ie ſois, & receuoir de voſtre courtoiſie les qualitez que ma naiſſance ne m’a point données.	par la même raison je puis m’imaginer d’être celui que vous voulez que je sois, et recevoir de votre courtoisie les qualités que ma naissance ne m’a point données.
Neãtmoins pour eſtre tous deux hors de blaſme, ie vous prie vne autre-fois d’auoir plus de ſoin de ma modeſtie, & de ne me mettre pas en hazard de la perdre, ou de ne vous croire pas :	Néanmoins pour être tous deux hors de blâme, je vous prie une autre-fois d’avoir plus de soin de ma modestie, et de ne me mettre pas en hasard de la perdre, ou de ne vous croire pas:
C’eſt faire tort aux Anges d’appeller diuins d’autres eſprits que les leurs ;	C’est faire tort aux Anges d’appeler divins d’autres esprits que les leurs;
& tout le Ciel a intereſt à ne laiſſer pas tomber ce nom là en terre :	et tout le Ciel a intérêt à ne laisser pas tomber ce nom là en terre:
pour moy, tant s’en faut que ie veuille m’oſter du nombre des hommes, qu’au contraire i’aduoue qu’il n’y en a point de plus imparfaits que moy, non pas meſme les borgnes, & les boiteux :	pour moi, tant s’en faut que je veuille m’ôter du nombre des hommes, qu’au contraire j’avoue qu’il n’y en a point de plus imparfaits que moi, non pas même les borgnes, et les boiteux:
Ie voy des defaux de quelque coſté que ie me regarde, & mon eſprit eſt ſi deſpourueu de toute ſorte de biens eſtrangers, que perſonne ne ſçauroit eſtre ſçauant que des choſes que i’ignore :	Je vois des défauts de quelque côté que je me regarde, et mon esprit est si dépourvu de toute sorte de biens étrangers, que personne ne saurait être savant que des choses que j’ignore:
De ce que vous penſez meſme que i’ay vne parfaite connoiſſance, ie n’ay que des doutes & des ſoupçons ;	De ce que vous pensez même que j’ai une parfaite connaissance, je n’ai que des doutes et des soupçons;
& s’il y auoit vn homme eloquent au bout du monde, ie ferois vn pelerinage pour l’aller voir comme le miracle de noſtre ſiecle.	et s’il y avait un homme éloquent au bout du monde, je ferais un pèlerinage pour l’aller voir comme le miracle de notre siècle.
A n’en point mentir, il y a bien difference de remplir les oreilles de quelque ſon agreable, ou de regner dans l’eſprit des hommes par la force de la raiſon, & de partager le gouuernement du monde auec les conquerans, & les Princes legitimes.	À n’en point mentir, il y a bien différence de remplir les oreilles de quelque son agréable, ou de régner dans l’esprit des hommes par la force de la raison, et de partager le gouvernement du monde avec les conquérants, et les Princes légitimes.
Ie ne ſuis pas ſi preſomptueux que ie croye d’eſtre venu là, mais ie croy auſſi que peu de gens y ſont arriuez, & que la pierre philoſophale ſe trouueroit beaucoup plus aiſemẽt, que l’eloquence que ie m’imagine.	Je ne suis pas si présomptueux que je croie d’être venu là, mais je crois aussi que peu de gens y sont arrivez, et que la pierre philosophale se trouverait beaucoup plus aisément, que l’éloquence que je m’imagine.
C’eſt vne partie du monde qui eſt encore incõnuë, & qui n’a point eſté deſcouuerte auecque les Indes :	C’est une partie du monde qui est encore inconnue, et qui n’a point été découverte avec les Indes:
Les Romains n’en ont pû auoir que l’image, non plus que des païs dont ils triõphoient à faux ;	Les Romains n’en ont pu avoir que l’image, non plus que des pays dont ils triomphaient à faux;
& quelque vanité que ſe ſoit donnée la Grece, ell’a pris pour elle vne autre qui luy reſſembloit.	et quelque vanité que se soit donnée la Grèce, elle a pris pour elle une autre qui lui ressemblait.
De ſorte qu’à ce conte là, [il] y a bien de nos amys qui ſe ſont trompez en leur opinion, & qui ſont morts heretiques encore qu’ils fuſſent Docteurs de Sorbonne.	De sorte qu’à ce conte là, [il] y a bien de nos amis qui se sont trompez en leur opinion, et qui sont morts hérétiques encore qu’ils fussent Docteurs de Sorbonne.
Ie ne les veux pas nommer de peur d’eſtonner d’abord ceux à qui vous monſtrés mes lettres, & de publier de veritez odieuſes.	Je ne les veux pas nommer de peur d’étonner d’abord ceux à qui vous montrez mes lettres, et de publier de vérités odieuses.
C’eſt aſſez que ie vous die en paſſant, que ſi pour eſtre eloquent il ſuffiſoit de ſe laſſer les mains à eſcrire, il n’y en auroit point qui le fuſsent dauantage que les Patriciens, & les Notaires.	C’est assez que je vous die en passant, que si pour être éloquent il suffiſoit de se lasser les mains à écrire, il n’y en aurait point qui le fussent davantage que les Patriciens, et les Notaires.
A Balzac le [28.	À Balzac le [28.
Septembre] 1623.	Septembre] 1623.
AV MESME.	AU MÊME.
Lettre XIII.	Lettre XIII.
I’Ay ſçeu que quelques-vns auoient trouué mauuais que i’euſſe dit les eſprits des Anges, à cauſe que les Anges eſtãts tout eſprit, il ſemble que ce ſoient deux termes qui ne peuuent eſtre diuiſez l’vn de l’autre.	J’ai su que quelques-uns avaient trouvé mauvais que j’eusse dit les esprits des Anges, à cause que les Anges étants tout esprit, il semble que ce soient deux termes qui ne peuvent être divisés l’un de l’autre.
Mais pour leur faire voir que leur obiection n’eſt pas bien fondée, comme ie ne doute point que vous ne l’ayez iugée telle, il faut s’il leur plaiſt, qu’ils ſe ſouuiennent, que nous appellons les Anges Eſprits à la difference des corps, qui eſt vne ſignification bien eſloignée de celle qu’emporte le mot d’eſprit lors que nous le prenõs pour cette partie de l’ame qui entend, raiſonne, & imagine, & qui fait des effects ſi differens en l’ame d’vn ſot & en celle d’vn habile homme.	Mais pour leur faire voir que leur objection n’est pas bien fondée, comme je ne doute point que vous ne l’ayez jugée telle, il faut s’il leur plaît, qu’ils se souviennent, que nous appelons les Anges esprits à la différence des corps, qui est une signification bien éloignée de celle qu’emporte le mot d’esprit lors que nous le prenons pour cette partie de l’âme qui entend, raisonne, et imagine, et qui fait des effets si différents en l’âme d’un sot et en celle d’un habile homme.
Or il eſt certain que parmy les Anges il y peut auoir de la difference entre les eſprits des vns, & des autres, c’eſt à dire entre cette faculté de raiſonner, & de comprendre, puis que ceux du dernier Ordre ne ſont illuminez que par le moyen de ceux du precedent, & ainſi des autres iuſques au premier, qui a toute vne autre intelligence que les inferieurs, leſquels (comme perſonne ne doute pour peu de connoiſſance qu’il ait de la Metaphyſique) ſont auſſi eſloignés de l’entendement des premiers, que de leur degré.	Or il est certain que parmi les Anges il y peut avoir de la différence entre les esprits des uns, et des autres, c’est à dire entre cette faculté de raisonner, et de comprendre, puisque ceux du dernier Ordre ne sont illuminez que par le moyen de ceux du précèdent, et ainsi des autres jusques au premier, qui a toute une autre intelligence que les inférieurs, lesquels (comme personne ne doute pour peu de connaissance qu’il ait de la Métaphysique) sont aussi éloignés de l’entendement des premiers, que de leur degré.
Il faut dõc reçeuoir cette difference, & dire qu’vn Ange eſt veritablement vn eſprit, c’eſt à dire qu’il n’eſt pas vn corps, mais qu’vn Ange a encore de l’eſprit, c’eſt à dire cette faculté de connoiſtre, & de conceuoir, moindre où plus grãde ſelon le priuilege de ſon Ordre.	Il faut donc recevoir cette différence, et dire qu’un Ange est véritablement un esprit, c’est à dire qu’il n’est pas un corps, mais qu’un Ange a encore de l’esprit, c’est à dire cette faculté de connaître, et de concevoir, moindre où plus grande selon le privilège de son Ordre.
Que ſi eſprit ne vouloit dire autre choſe qu’vne ſubſtance ſimple & non cõpoſée, cette inegalité ne ſe trouueroit pas parmy les Anges, puis qu’ils ſont tous eſgalement ſimples & eſloignez de toute compoſition & meſlange.	Que si esprit ne voulait dire autre chose qu’une subſtance simple et non composée, cette inégalité ne se trouverait pas parmi les Anges, puis qu’ils sont tous également simples et éloignez de toute composition et mélange.
Lors donc que i’ay dit que c’eſtoit faire tort aux Anges d’appeller diuins d’autres eſprits que les leurs, i’ay pris le mot d’Eſprit en ſa ſeconde ſignification, & ainſi ie l’ay ſeparé de l’Ange, & diſtingué la ſubſtance ſimple & nature Angelique de cette faculté de l’ame qui ſe nomme l’entendement.	Lors donc que j’ai dit que c’était faire tort aux Anges d’appeler divins d’autres esprits que les leurs, j’ai pris le mot d’esprit en sa seconde signification, et ainsi je l’ai séparé de l’Ange, et distingué la subſtance simple et nature Angelique de cette faculté de l’âme qui se nomme l’entendement.
Or qu’on ne puiſſe dire l’eſprit des Anges, à cauſe qu’ils ſont tout eſprit, c’eſt vne raiſon contraire à la bonne, & à qui il ne manque rien que la verité pour n’eſtre pas fauſſe, d’autant qu’outre l’eſprit ou l’entendement qui donne aux Anges vne ſi eminente connoiſſance des choſes diuines, ils ont encore de la volonté qui les fait aimer ce qu’ils connoiſſent, & de la memoire qui adiouſte touſiours quelque choſe à leur naturelle intelligence.	Or qu’on ne puisse dire l’esprit des Anges, à cause qu’ils sont tout esprit, c’est une raison contraire à la bonne, et à qui il ne manque rien que la vérité pour n’être pas fausse, d’autant qu’outre l’esprit ou l’entendement qui donne aux Anges une si éminente connaissance des choses divines, ils ont encore de la volonté qui les fait aimer ce qu’ils connaissent, et de la mémoire qui ajoute toujours quelque chose à leur naturelle intelligence.
Mais quand ie m’accorderois à tout ce que veulent ceux qui me reprenent, & que ie renfermerois le mot d’eſprit dans les bornes de ſa premiere ſignification, i’aurois encore touſiours gaigné :	Mais quand je m’accorderais à tout ce que veulent ceux qui me reprennent, et que je renfermerais le mot d’esprit dans les bornes de sa première signification, j’aurais encore toujours gagné:
car en effect noſtre cõmune façon de conçeuoir ne ſçauroit ſe repreſenter les Anges ſans corps ;	car en effet notre commune façon de concevoir ne saurait se représenter les Anges sans corps;
& l’Egliſe meſme leur en donne de ſi beaux, & de ſi parfaits, qu’ordinairement les Poëtes en prẽnent des comparaisõs pour louer la beauté de leurs maiſtreſſes.	et l’Église même leur en donne de si beaux, et de si parfaits, qu’ordinairement les poètes en prennent des comparaisons pour louer la beauté de leurs maîtresses.
Outre cela, ſi dans les ſaincts Liures il eſt ſouuent parlé de l’eſprit de Dieu, deuant meſme qu’il euſt pris vn corps, & en vn ſens qu’on ne peut entendre par là la troiſieſme perſonne de la Trinité, pourquoy ne puis-ie parler auſſi iuſtement des eſprits des Anges, qui ne ſont que de la terre & de la matiere en comparaiſon de celuy de Dieu, & qui n’approchent que de bien loin de la ſimplicité & de la pureté de cette grande cauſe qui eſt la mere de toutes les autres.	Outre cela, si dans les saints livres il est souvent parlé de l’esprit de Dieu, devant même qu’il eût pris un corps, et en un sens qu’on ne peut entendre par là la troisième personne de la Trinité, pourquoi ne puis-je parler aussi justement des esprits des Anges, qui ne sont que de la terre et de la matière en comparaison de celui de Dieu, et qui n’approchent que de bien loin de la simplicité et de la pureté de cette grande cause qui est la mère de toutes les autres.
Voila comme quoy il eſt fort dangereux d’auoir demy eſtudié, & d’en ſçauoir vn peu plus que ceux qui n’ont pas eſté à l’eſcole ;	Voilà comme quoi il est fort dangereux d’avoir demi étudié, et d’en savoir un peu plus que ceux qui n’ont pas été à l’école;
c’eſt de cette ſorte de gens que ſe ſont les heretiques, & les ſuperſtitieux & tous les autres qui ont aſſez de raiſon pour douter, & n’ont pas aſſez de ſcience pour ſe reſoudre.	c’est de cette sorte de gens que se sont les hérétiques, et les superstitieux et tous les autres qui ont assez de raison pour douter, et n’ont pas assez de science pour se résoudre.
de Balzac.	de Balzac.
A HYDASPE.	À Hydaspe.
Lettre XIIII.	Lettre XIIII.
IE vous l’ay dit mille fois :	Je vous l’ai dit mille fois:
ie me contente que le ſerein me face mal aux yeux, ſans qu’il faille que i’aille voir des laides, & que ie liſe des ſottiſes :	je me contente que le serein me face mal aux yeux, sans qu’il faille que j’aille voir des laides, et que je liſe des sottises:
Et neantmoins pour m’obliger fort, vous m’auez condamné à paſſer dix iours ſur voſtre gros volume , dont ie n’ay iamais penſé trouuer la fin quoy que ie la ſouhaitaſſe comme le port apres la tẽpeſte.	Et néanmoins pour m’obliger fort, vous m’avez condamné à passer dix jours sur votre gros volume , dont je n’ai jamais pensé trouver la fin quoi que je la souhaitasse comme le port après la tempête.
A n’en point mentir, i’eſtime bien pluſ le ſilence des Chartreux que l’eloquẽce de cette ſorte de gens, & il me ſemble qu’hors du ſeruice de l’Egliſe, & la neceſſité du commerce, le Pape & le Roy leur deuroient deffẽdre le latin & le françois, dont il veulent faire deux langues barbares.	À n’en point mentir, j’estime bien pluſ le silence des Chartreux que l’éloquence de cette sorte de gens, et il me semble qu’hors du service de l’Église, et la nécessité du commerce, le Pape et le Roi leur devraient défendre le latin et le français, dont il veulent faire deux langues barbares.
Ie ſçay bien que les eſprits de France ſont ennemis de toutes ſortes de chaines, & que douze cens ans de Monarchie ne leur ont peu faire perdre la liberté qui leur eſt auſſi naturelle que la vie :	Je sais bien que les esprits de France sont ennemis de toutes sortes de chaines, et que douze cens ans de Monarchie ne leur ont peu faire perdre la liberté qui leur est aussi naturelle que la vie:
Toutesfois quelques vilains portraicts qu’on ſe face de l’Inquiſition, & quelque pleine de Tygres & de ſerpens qu’on ſe la figure, ie trouue qu’elle ſeroit tres-neceſſaire en ce Royaume :	Toutefois quelques vilains portraits qu’on se face de l’Inquisition, et quelque pleine de tigres et de serpents qu’on se la figure, je trouve qu’elle serait très nécessaire en ce Royaume:
Outre qu’elle feroit, comme en Eſpagne & en Italie, que les meſchans reſſembleroient en quelque façon aux gens de bien, & que le vice n’offenſeroit iamais les yeux du peuple, elle empeſcheroit encore que les fols ne rempliſſent le monde de leurs mauuais Liures, & que les fautes des Maiſtres d’eſcole ne fuſſent auſſi publiques que celles des Magiſtrats, & des Generaux d’armée.	Outre qu’elle ferait, comme en Espagne et en Italie, que les méchants ressembleraient en quelque façon aux gens de bien, et que le vice n’offenserait jamais les yeux du peuple, elle empêcherait encore que les fous ne remplissent le monde de leurs mauvais livres, et que les fautes des maîtres d’école ne fussent aussi publiques que celles des Magistrats, et des Généraux d’armée.
Veritablement c’eſt vne honte qu’il y ait des loix contre ceux qui alterent la monnoye, & qui falſifient les marchandiſes, & qu’on permette impunement de corrompre la Philoſophie & l’Eloquence, & de violer des choſes qui ſont ſi ſainctes :	Véritablement c’est une honte qu’il y ait des lois contre ceux qui altèrent la monnaie, et qui falsifient les marchandises, et qu’on permette impunément de corrompre la Philosophie et l’éloquence, et de violer des choses qui sont si saintes:
La peſte de dernierement eſtoit vne petite maladie à comparaiſon de cette-cy qui prend tout le monde au bout des doigts ;	La peste de dernièrement était une petite maladie à comparaison de cette-ci qui prend tout le monde au bout des doigts;
& certes ſi on n’y apporte bien-toſt du remede, il ſe fera de nos Autheurs vne Bibliotheque auſſi grande que Paris, où il n’y aura pas vn bon mot, ny vne ſeule penſée raiſonnable.	et certes si on n’y apporte bientôt du remède, il se fera de nos Auteurs une Bibliothèque aussi grande que Paris, où il n’y aura pas un bon mot, ni une seule pensée raisonnable.
Voila les fruicts qui naiſſent de l’oysiueté mal reiglée, & le troiſieſme fleau de la paix qui eſt venu affliger ce pauure Royaume auecque les duels, & la chicane, En effect il n’y a plus perſonne qui ſe contẽte d’auoir des defaux ſecrets, & de pecher ſans teſmoins, mais ils ſont tous ſi amoureux de leurs ſottiſes, qu’ils les voudroient grauer dans les marbres, & le bronze, afin d’en laiſser vne memoire perpetuelle, & de ne s’en pouuoir iamais dedire.	Voilà les fruits qui naissent de l’oisiveté mal réglée, et le troisième fléau de la paix qui est venu affliger ce pauvre Royaume avec les duels, et la chicane, En effet il n’y a plus personne qui se contente d’avoir des défauts secrets, et de pécher sans témoins, mais ils sont tous si amoureux de leurs sottises, qu’ils les voudraient graver dans les marbres, et le bronze, afin d’en laisser une mémoire perpétuelle, et de ne s’en pouvoir jamais dédire.
Or pour reuenir a celuy dont vous me demandez particulierement mon opinion, & qui eſt le premier fondement de cette lettre, il faut que ie vous aduouë franchement qu’apres la biere & les medecines ie n’ay iamais rien trouué de ſi mauuais que ſes œuures.	Or pour revenir a celui dont vous me demandez particulièrement mon opinion, et qui est le premier fondement de cette lettre, il faut que je vous avoue franchement qu’après la bière et les médecines je n’ai jamais rien trouvé de si mauvais que ses œuvres.
Preſque part tout il manque de la Logique naturelle, & de la partie qui fait les hommes :	Presque part tout il manque de la Logique naturelle, et de la partie qui fait les hommes:
En trois mots il en dit quatre qui ne ſont pas bons, & comme il eſt touſiours abſent du ſubiect qu’il traite, auſſi d’ordinaire il parle en langue inconnuë, quoy qu’il ait deſsein de parler François.	En trois mots il en dit quatre qui ne sont pas bons, et comme il est toujours absent du sujet qu’il traite, aussi d’ordinaire il parle en langue inconnue, quoi qu’il ait dessein de parler Français.
Outre cela, la glace n’eſt point ſi froide que ſes rencontres, & quand il veut faire le plaiſant (ce qu’il veut faire quaſi touſiours) il faudroit qu’il payaſt des gẽs pour rire, comme aux enterremens de Paris on trouue des pleureurs pour de l’argent.	Outre cela, la glace n’est point si froide que ses rencontres, et quand il veut faire le plaisant (ce qu’il veut faire quaſi toujours) il faudrait qu’il payât des gens pour rire, comme aux enterrements de Paris on trouve des pleureurs pour de l’argent.
Il n’y a point de doute que la verité ne fuſt beaucoup plus forte toute ſeule, & deſarmée, qu’elle n’eſt auec l’aſſiſtance que ce pauure homme luy veut donner, & que ce ne ſoit abandonner la cauſe de Dieu de la laiſſer ſouſtenir à des mains ſi foibles, & ſi mauuaiſes.	Il n’y a point de doute que la vérité ne fût beaucoup plus forte toute seule, et désarmée, qu’elle n’est avec l’assistance que ce pauvre homme lui veut donner, et que ce ne soit abandonner la cause de Dieu de la laisser soutenir à des mains si faibles, et si mauvaises.
Les Renegats n’ont point fait tant de mal à la Chreſtienté que ceux qui ne ſe ſont pas bien deffendu contre le Turc, & qui faute de conduite & de ſcience, quoy qu’ils ne manquaſſent ny de zele ny d’affection, ont laiſſé prendre ſur eux les aduantages qu’ils auoient ſur les ennemis.	Les renégats n’ont point fait tant de mal à la Chrétienté que ceux qui ne se sont pas bien défendu contre le Turc, et qui faute de conduite et de science, quoi qu’ils ne manquassent ni de zèle ni d’affection, ont laissé prendre sur eux les avantages qu’ils avaient sur les ennemis.
Certainement l’Empire des meſchans ſe maintient bien plus par noſtre laſcheté que par ſa force ;	Certainement l’Empire des méchants se maintient bien plus par notre lâcheté que par sa force;
& ce qui fait que la vertu eſt ſi mal ſuiuie, c’eſt qu’elle n’eſt pas bien perſuadée.	et ce qui fait que la vertu est si mal suivie, c’est qu’elle n’est pas bien persuadée.
Il ſeroit beſoin qu’vn homme ſage, qui euſt eſté en ce païs où l’on ſe querelle touſiours, & où il n’y a iamais ny paix ny trefues, qui s’appelle la Sorbonne, & qui d’ailleurs ſçeuſt l’art de rendre les bonnes choſes agreables, & de donner de la douceur au remedes, vint nettoyer la Cour des opinions eſtrangeres qui s’y ſont iettées, & guerir les ames malades au lieu de leur dire des iniures.	Il serait besoin qu’un homme sage, qui eût été en ce pays où l’on se querelle toujours, et où il n’y a jamais ni paix ni trêves, qui s’appelle la Sorbonne, et qui d’ailleurs sût l’art de rendre les bonnes choses agréables, et de donner de la douceur au remèdes, vint nettoyer la Cour des opinions étrangères qui s’y sont jetées, et guérir les âmes malades au lieu de leur dire des injures.
