ARTICLE PREMIER	ARTICLE PREMIER
que la vocation des pasteurs et magistratz ecclesiastiques doit estre faite visiblement ou perceptiblement, non par maniere d’enthousiasme et motion secrette :	que la vocation des pasteurs et magistrats ecclésiastiques doit être faite visiblement ou perceptiblement, non par manière d’enthousiasme et motion secrète:
car voyla deux exemples qui propose ;	car voilà deux exemples qui propose;
d’Aaron, qui fut oint et appelé visiblement (levitique 8, 12 Exode 28, 1), et puys de Nostre Seigneur et Maistre, qui, estant sauverain Pontife et Pasteur de tous les siecles, ne s’est point clarifié soy mesme (Heb 5, 5-6), c’est a dire, ne s’est point attribué l’honneur de sa sainte prestrise, comme avoit dict saint Pol au paravant, mays a esté illustré par Celuy qui luy a dict :	d’Aaron, qui fut oint et appelé visiblement (lévitique 8, 12 Exode 28, 1), et puis de Notre Seigneur et Maître, qui, étant souverain Pontife et Pasteur de tous les siècles, ne s’est point clarifié soi même (Heb 5, 5-6), c’est-à-dire, ne s’est point attribué l’honneur de sa sainte prêtrise, comme avait dit saint Paul au paravant, mais a été illustré par Celui qui lui a dit:
Tu es mon Filz, je t’ay engendré au jourdhuy, et, Tu es prestr’eternellement, selon l’ordre de Melchisedech.	Tu ès mon Fils, je t’ai engendré aujourd’hui, et, Tu es prêtre éternellement, selon l’ordre de Melchisédech.
Je vous prie, pense a ce trait.	Je vous prie, pense à ce trait.
Jesus Christ est sauverain Pontife selon l’ordre de Melchisedech :	Jesus Christ est souverain Pontife selon l’ordre de Melchisédech:
s’est il ingéré et poussé de luy mesme a cest honneur ?	s’est il ingéré et poussé de lui même à cet honneur?
non, mays y a esté appelé (Heb 5, 10) .	non, mais y a été appelé (Heb 5, 10) .
Qui l’a appelé ?	Qui l’a appelé?
son Pere eternel (5, 5).	son Père éternel (5, 5).
Et comment ?	Et comment?
immediatement et mediatement tout ensemble :	immédiatement et médiatement tout ensemble:
immediatement, en son Baptesme (Mat 3, 17) et en sa Transfiguration (Mat 17, 5) , avec ceste voix :	immédiatement, en son Baptême (Mat 3, 17) et en sa Transfiguration (Mat 17, 5) , avec cette voix:
Cestuyci est mon Filz bien aymé auquel j’ay pris mon bon plaisir, escoutes le ;	Cestui-ci est mon Fils bien aimé auquel j’ai pris mon bon plaisir, écoutez-le;
mediatement, par les Prophetes, et sur tout par David es lieux que saint Pol cite a propos des Psalmes :	médiatement, par les Prophètes, et sur tout par David ès lieux que saint Paul cite à propos des Psalmes:
Tu es mon Filz, je l’ay engendré aujourdhuy (Ps 2, 7), Tu es prestr’eternellement, selon l’ordre de Melchisedec (Ps 109, 4).	Tu ès mon Fils, je l’ai engendré aujourd’hui (Ps 2, 7), Tu es prêtre éternellement, selon l’ordre de Melchisédech (Ps 109, 4).
Et par tout la vocation est perceptible :	Et par tout la vocation est perceptible:
la parole en la nuëe fut ouÿe, et en David ouÿe et leüe ;	la parole en la nuée fut ouïe, et en David ouïe et lue;
mais saint Pol, voulant monstrer la vocation de Nostre Seigneur, apporte les passages seulz de david, par lesquelz il dit Nostre Seigneur avoir esté clarifié de son Pere, se contentant ainsy de produyre le tesmoignage perceptible, et faict par l’entremise des Escritures ordinaires et des Prophetes receuz.	mais saint Paul, voulant montrer la vocation de Notre Seigneur, apporte les passages seuls de david, par lesquels il dit Notre Seigneur avoir été clarifié de son Père, se contentant ainsi de produire le témoignage perceptible, et fait par l’entremise des Écritures ordinaires et des Prophètes reçus.
Je dis 3.	Je dis 3.
, que l’authorité de la mission extraordinaire ne destruict jamais l’ordinaire, et n’est donnee jamais pour la renverser :	, que l’autorité de la mission extraordinaire ne détruit jamais l’ordinaire, et n’est donnée jamais pour la renverser:
tesmoins tous les Prophetes, qui jamais ne firent autel contr’autel, jamais ne renverserent la prestrise d’Aaron, jamais n’abolirent les constitutions sinagogiques ;	témoins tous les Prophètes, qui jamais ne firent autel contre autel, jamais ne renversèrent la prêtrise d’Aaron, jamais n’abolirent les constitutions synagogiques;
tesmoin Nostre seigneur, qui asseure que tout royaume divisé en soymesme sera desolé, et l’une mayson tombera sur l’autre (Luc 11, 17) ;	témoin Notre seigneur, qui assure que tout royaume divisé en soi-même sera désolé, et l’une maison tombera sur l’autre (Luc 11, 17);
tesmoin le respect quil portoit a la chaire de Moyse, la doctrine de laquelle il vouloit estre gardëe (Mat 23, 2,3) .	témoin le respect qu'il portait à la chaire de Moïse, la doctrine de laquelle il voulait être gardée (Mat 23, 2,3) .
Et de vray, si l’extraordinaire devoit abolir l’ordinaire, comment sçaurions nous quand, a qui, et comment, nous nous y devrions ranger ?	Et de vrai, si l’extraordinaire devait abolir l’ordinaire, comment saurions nous quand, à qui, et comment, nous nous y devrions ranger?
Non, non, l’ordinaire est immortelle pendant que l’eglise sera ça bas au monde :	Non, non, l’ordinaire est immortelle pendant que l’église sera ça bas au monde:
Les pasteurs et docteurs quil a donnés une fois a l’eglise doivent avoir perpetuelle succession, pour la consummation des Saintz, jusques a ce que nous nous rencontrions tous en l’unité de la foy, et de la connoissance du Filz de Dieu, en homme parfaict, a la mesure de l’aage entiere de Christ ;	Les pasteurs et docteurs qu'il a donnés une fois à l’église doivent avoir perpétuelle succession, pour la consommation des Saints, jusques à ce que nous nous rencontrions tous en l’unité de la foi, et de la connaissance du Fils de Dieu, en homme parfait, à la mesure de l’âge entière de Christ;
affin que nous soyons plus enfans, flotans et demenés ça et la a tous vens de doctrin, par la piperie des hommes et par leur rusëe seduction (Ephes 4, 11-14).	affin que nous soyons plus enfants, flottants et démenés ça et là à tous vents de doctrine, par la piperie des hommes et par leur rusée séduction (Éphes 4, 11-14).
Voyla le beau discours que faict saint Pol, pour monstrer que si les docteurs et pasteurs ordinaires n’avoient perpetuelle succession, ains fussent sujetz a l’abrogation des extraordinaires, nous n’aurions aussi qu’une foy et discipline desordonnee et entrerompue a tous coupz, nous serions sujetz a estre seduitz par les hommes qui a tous propos se vanteroyent de l’extraordinaire vocation, ains, comme les Gentilz, nous cheminerions en la vanité de nos entendemens, un chacun se faysant accroire de sentir la motion extraordinaire du Saint esprit :	Voilà le beau discours que fait saint Paul, pour montrer que si les docteurs et pasteurs ordinaires n’avaient perpétuelle succession, ains fussent sujets à l’abrogation des extraordinaires, nous n’aurions aussi qu’une foi et discipline désordonnée et entrerompue à tous coups, nous serions sujets à être séduits par les hommes qui à tous propos se vanteraient de l’extraordinaire vocation, ains, comme les Gentils, nous cheminerions en la vanité de nos entendements, un chacun se faisant accroire de sentir la motion extraordinaire du Saint esprit:
dequoy nostre aage fournit tant d’exemples, que c’est une des plus fortes raysons qu’on puisse praesenter en cett’occasion ;	de quoi notre âge fournit tant d’exemples, que c’est une des plus fortes raisons qu’on puisse présenter en cette occasion;
car, si l’extraordinaire peut lever l’ordinair’administration, a qui en laisserons nous la charge ?	car, si l’extraordinaire peut lever l’ordinaire administration, à qui en laisserons nous la charge?
a calvin, ou a Luther ?	à calvin, ou à Luther?
a Luther, ou a u Pacimontain ?	à Luther, ou au Pacimontain?
au Pacimontain, ou a Blandrate, ou a Brence ?	au Pacimontain, ou à Blandrate, ou à Brence?
a Brence, ou a la Reyne d’Angleterre ?	à Brence, ou à la Reine d’Angleterre?
car chacun tirera de son costé ceste couverte de la mission extraordinaire.	car chacun tirera de son côté cette couverte de la mission extraordinaire.
Or la parole de Nostre Seigneur nous oste de toutes ces difficultés, qui a édifié son Eglise sur un si bon fondement, et avec une proportion si bien entendue, que les portes d’enfer ne praevaudront jamais contre elle (Mat 16, 18).	Or la parole de Notre Seigneur nous ôte de toutes ces difficultés, qui a édifié son Église sur un si bon fondement, et avec une proportion si bien entendue, que les portes d’enfer ne prévaudront jamais contre elle (Mat 16, 18).
Que si jamais elles n’ont praevalu ni praevaudront, la vocation extraordinaire n y est pas necessaire pour l’abolir :	Que si jamais elles n’ont prévalu ni prévaudront, la vocation extraordinaire n y est pas nécessaire pour l’abolir:
car Dieu ne hait rien de ce quil a faict, comment donq il aboliroit l’Eglis’ordinaire pour en faire d’extraordinaires ?	car Dieu ne hait rien de ce qu'il a fait, comment donc il abolirait l’Église ordinaire pour en faire d’extraordinaires?
veu que c’est luy qui a edifié l’ordinaire sur soymesme, et l’a cimentee de son sang propre.	vu que c’est lui qui a édifié l’ordinaire sur soi-même, et l’a cimentée de son sang propre.
114	114
ARTICLE IV	ARTICLE IV
Réponse aux arguments des Ministres	Réponse aux arguments des Ministres
Je n’ay encor sceu rencontrer parmy vos maistres que deux objections a ce discours que je viens de faire ;	Je n’ai encor su rencontrer parmi vos maîtres que deux objections à ce discours que je viens de faire;
dont l’une est tirëe de l’exemple de nostre seigneur et des Apostres, l’autre, de l’exemple des Prophetes.	dont l’une est tirée de l’exemple de notre seigneur et des Apôtres, l’autre, de l’exemple des Prophètes.
Mays, quand a la premiere, dites moy, je vous prie, trouves vous bon qu’on mette en comparaison la vocation de ces nouveuax ministres avec celle de Nostre Seigneur ?	Mays, quant à la première, dites-moi, je vous prie, trouvez-vous bon qu’on mette en comparaison la vocation de ces nouveaux ministres avec celle de Notre Seigneur?
Nostre Seigneur avoit il pas esté prophetisé en qualité de Messie ?	Notre Seigneur avait il pas été prophétisé en qualité de Messie?
son tems n’avoit il pas esté déterminé par Daniel (9, 24 et 26) ?	son temps n’avait il pas été déterminé par Daniel (9, 24 et 26)?
a-il faict action qui presque ne soit particulierement cottëe es Livres des Prophetes et figurëe es Patriarches ?	a-il fait action qui presque ne soit particulièrement cotée ès Livres des Prophètes et figurée ès Patriarches?
Il a faict changement de bien en mieux de la loy Mosaique, mays ce changement la n’avoit il pas esté praedit (Agg 2, 10) ?	Il a fait changement de bien en mieux de la loi Mosaïque, mais ce changement la n’avait il pas été prédit (Agg 2, 10)?
Il a changé par consequent le sacerdoce Aaronique en celuy de Melchisedech, beaucoup meilleur ;	Il a changé par conséquent le sacerdoce Aaronique en celui de Melchisédech, beaucoup meilleur;
tout cela n’est ce pas selon les tesmoignages anciens (Heb 5, 6) ?	tout cela n’est ce pas selon les témoignages anciens (Heb 5, 6)?
Vos ministres n’ont point esté prophetisés en qualité de praedicateurs de la Parole de Dieu, ni le tems de leur venue, ni pas une de leurs actions ;	Vos ministres n’ont point été prophétisés en qualité de prédicateurs de la Parole de Dieu, ni le temps de leur venue, ni pas une de leurs actions;
ils ont taict un remuement sur l’Eglise beaucoup plus grand et plus aspre que nostre Seigneur le fit sur la Sinagogue, car ilz ont tout osté sans y remettre que certaines ombres, mays de tesmoignages ilz n’en ont point a cest effect.	ils ont tait un remuement sur l’Église beaucoup plus grand et plus aspre que notre Seigneur le fit sur la Synagogue, car ils ont tout ôté sans y remettre que certaines ombres, mais de témoignages ils n’en ont point à cet effet.
Au moins ne se devroyent ilz pas exempter de prodyre des miracles sur une telle mutation, quoyque vous tiries praetexte de l’Escriture ;	Au moins ne se devraient ils pas exempter de produire des miracles sur une telle mutation, quoique vous tiriez prétexte de l’Écriture;
puysque Nostre seigneur ne s’en exempta pas, comme j’ay monstré cy dessus, encores que le changement quil faysoit fut puysé de la plus pure source des Escritures (Luc 1, 70).	puisque Notre seigneur ne s’en exempta pas, comme j’ai montré ci-dessus, encore que le changement qu'il faisait fut puisé de la plus pure source des Écritures (Luc 1, 70).
Mays ou me monstreront ilz que l’Eglise doive jamais plus recevoir un’autre forme, ou semblable reformation, que celle qu’y fit Nostre Seigneur ?	Mais ou me montreront ils que l’Église doive jamais plus recevoir une autre forme, ou semblable reformation, que celle qu’y fit Notre Seigneur?
	par les magistrats séculiers, par les Évêques, et par la voix extraordinaire;
Et quand aux Prophetes, j’envoys abusé plusieurs.	Et quant aux Prophètes, j’en vois abusé plusieurs.
1.	1.
On pense que toutes les vocations des Prophetes ayent esté extraordinayres et immediates :	On pense que toutes les vocations des Prophètes aient été extraordinaires et immédiates:
chose fause ;	chose fausse;
car il y avoit des colleges et des congregations de Prophetes reconneuz et advouêes par la Sinagogue, comme on peut recueillir de plusieurs passages de l’Escriture.	car il y avait des collèges et des congrégations de Prophètes reconnus et avouées par la Synagogue, comme on peut recueillir de plusieurs passages de l’Écriture.
Il y en avoyt en Ramatha, en Bethel, en Hiericho ou Elisëe habita, en la montagne d’Ephraim, en Samarie ;	Il y en avait en Ramatha, en Béthel, en Jéricho ou Élisée habita, en la montagne d’Éphraïm, en Samarie;
Elisëe mesme fut oint par Helie ;	Élisée même fut oint par Helie;
la vocation de samuel fut recogneûe et advouëe par le grand Prestre, et en Samuel recommença le Seigneur a s’apparoistre en Silo (voir les livres des Rois ), comme dict l’Escriture, qui faict que les Juifz tiennent samuel comme fondateur des congregations prophetiques.	la vocation de samuel fut reconnue et avouée par le grand Prêtre, et en Samuel recommença le Seigneur à s’apparaître en Silo (voir les livres des Rois), comme dit l’Écriture, qui fait que les Juifs tiennent samuel comme fondateur des congrégations prophétiques.
2.	2.
On pense que tous ceux qui prophetisoyent exerceassent la charge de la praedication :	On pense que tous ceux qui prophétisaient exerçassent la charge de la prédication:
ce qui n’estoit pas , comm’il appert des sergens de Paul et de Saul mesme(1 Rois 19, 20 et suiv).	ce qui n’était pas , comme il appert des sergents de Paul et de Saul même (1 Rois 19, 20 et suiv).
De façon que la vocation des Prohetes ne sert de rien a celle des haeretiques ou schismatiques, car :	De façon que la vocation des Prophètes ne sert de rien à celle des hérétiques ou schismatiques, car:
1.	1.
Ou ell’estoit ordinaire, comme nous avons monstré cy devant, ou approuvëe du reste de la Sinagogue, comm’il est aysé a voir en ce qu’on les reconnoissoit incontinent, et en faysoit on conte en tous lieux parmi les Juifz, les appelans hommes de Dieu (3 Rois 17, 18) :	Ou elle était ordinaire, comme nous avons montré ci-devant, ou approuvée du reste de la Synagogue, comme il est aisé à voir en ce qu’on les reconnaissait incontinent, et en faisait on conte en tous lieux parmi les Juifs, les appelant hommes de Dieu (3 Rois 17, 18):
et a qui regardera de pres l’histoire de cest’ancienne sinagogue, verra que l’office des Prophetes estoit aussy commun entr’eux qu’entre nous des praedicateurs.	et à qui regardera de près l’histoire de cette ancienne synagogue, verra que l’office des Prophètes était aussi commun entr’eux qu’entre nous des prédicateurs.
2.	2.
Jamais on ne monstrera prophete qui voulut renverser la puissance ordinaire, ains l’ont tousjours suyvie, et n’ont rien dict contraire a la doctrine de ceux qui estoyent assis sur la chaire Mosaique et Aaronique ;	Jamais on ne montrera prophète qui voulut renverser la puissance ordinaire, ains l’ont toujours suivie, et n’ont rien dit contraire à la doctrine de ceux qui étaient assis sur la chaire Mosaïque et Aaronique;
ains il s’en est trouvé qui estoyent de la race sacerdotale, comme Jeremie, filz d’helcias, et Ezechiel, filz de Buzi ;	ains il s’en est trouvé qui étaient de la race sacerdotale, comme Jérémie, fils d’helcias, et Ézéchiel, fils de Buzi;
ilz ont tousjours parlé avec honneur des Pontifes et succession sacerdotale, quoy quilz ayent repris leurs vices.	ils ont toujours parlé avec honneur des Pontifes et succession sacerdotale, quoi qu'ils aient repris leurs vices.
Isaïe, voulant escrire dans un grand livre qui luy fut monstré, prit Urie prestre, quoy qu’a venir, et zacharie prophete a tesmoins, comme s’il prenoyt le tesmoignage de tous les prestres et prophetes ;	Isaïe, voulant écrire dans un grand livre qui lui fut montré, prit Urie prêtre, quoi qu’a venir, et zacharie prophète à témoins, comme s’il prenait le témoignage de tous les prêtres et prophètes;
et Malachie atteste il pas que les levres du prestre gardent la science, et demanderont la loy de sa bouche ;	et Malachie atteste il pas que les lèvres du prêtre gardent la science, et demanderont la loi de sa bouche;
car l’ange du seigneur des armëes ?	car l’ange du seigneur des armées?
(Ezech 2, 7) tant s’en faut que jamais ilz ayent retiré les Juifz de la communion de l’ordinaire.	(Ezech 2, 7) tant s’en faut que jamais ils aient retiré les Juifs de la communion de l’ordinaire.
3.	3.
Les Prophetes, combien de miracles ont ilz faictz en confirmation de la vocation prophetique ?	Les Prophètes, combien de miracles ont ils faits en confirmation de la vocation prophétique?
ce ne seroit jamais faict si j’entrois en ce denombrement.	ce ne serait jamais fait si j’entrais en ce dénombrement.
Mays si quelquefois ilz ont faict quelquechose qui eut quelque visage d’extraordinaire pouvoir, incontinent les miracles se sont ensuyvis :	Mais si quelquefois ils ont fait quelque chose qui eut quelque visage d’extraordinaire pouvoir, incontinent les miracles se sont ensuivis:
tesmoin Elie, qui dressant un autel en Carmel selon l’instinct quil avoit eu du saint Esprit, et sacrifiant, monstrant par miracle quil le faisoit a l’honneur de Dieu et de la religion Juifve (3 Rois 18, 32 et 38).	témoin Elie, qui dressant un autel en Carmel selon l’instinct qu'il avait eu du saint Esprit, et sacrifiant, montrant par miracle qu'il le faisait à l’honneur de Dieu et de la religion Juive (3 Rois 18, 32 et 38).
4.	4.
En fin, vos ministres auroyent bonne grace silz vouloient s’usurper le pouvoir de prophetes, eux qui n’en ont jamais eu le don ni la lumiere :	En fin, vos ministres auraient bonne grâce s'ils voulaient s’usurper le pouvoir de prophètes, eux qui n’en ont jamais eu le don ni la lumière:
ce seroit plustost a nous, qui pourrions produire infinité des propheties des nostres ;	ce serait plutôt à nous, qui pourrions produire infinité des prophéties des nôtres;
comme de saint Gregoire Taumaturge, au rapport de saint Basile, de saint Anthoine, tesmoin Athanase, de l’abbé Jan, tesmoin saint Augustin, saint benoist, saint Bernard, saint françois et mill’autres ;	comme de saint Grégoire Thaumaturge, au rapport de saint Basile, de saint Antoine, témoin Athanase, de l’abbé Jan, témoin saint Augustin, saint benoît, saint Bernard, saint françois et mille autres;
Si donques il est question entre nous de l’authorité prophetique, elle nous demeurera, soit elle ordinaire ou extraordinaire, puysque nous en avons l’effect, non pas a vos ministres qui n’en ont jamais faict un brin de preuve :	Si donc il est question entre nous de l’autorité prophétique, elle nous demeurera, soit elle ordinaire ou extraordinaire, puisque nous en avons l’effet, non pas à vos ministres qui n’en ont jamais fait un brin de preuve:
sinon quilz voulussent appeller propheties de la vision de Zuingle, au livre inscrit, Subsidium de eucharistia, et le livre intitulé, Querela Lutheri, ou la praediction quil fit, l’an 25 de ce siecle, que sil praechoit encor deux ans il ne demeureroit ni pape, ni prestres, ni moynes, ni clochers, ni Messe.	sinon qu'ils voulussent appeler prophéties de la vision de Zwingli, au livre inscrit, Subsidium de eucharistia, et le livre intitulé, Querela Lutheri, ou la prédiction qu'il fit, l’an 25 de ce siècle, que s'il prêchait encor deux ans il ne demeurerait ni pape, ni prêtres, ni moines, ni clochers, ni Messe.
Et de vray, il ny a qu’un mal en ceste prophetie, c’est seulement faute de verité ;	Et de vrai, il n’y a qu’un mal en cette prophétie, c’est seulement faute de vérité;
car il praecha encor pres de vingt deux, et neantmoins encor se trouve il des prestres et des clochers, et en la chaire de saint pierre est assis un Pape legitime.	car il prêcha encor près de vingt deux, et néanmoins encor se trouve il des prêtres et des clochers, et en la chaire de saint pierre est assis un Pape légitime.
Vos premiers ministres donques, Messieurs, sont de ces prophetes que Dieu defendooit d’est’ouÿs parler, en Hieremie :	Vos premiers ministres donc, Messieurs, sont de ces prophètes que Dieu défendait d’être ouïs parler, en Jérémie:
ne veuïlles ouyr les paroles des prophetes qui prophetisent et vous deçoivent ;	ne veuilles ouïr les paroles des prophètes qui prophétisent et vous déçoivent;
ilz parlent la vision de leur coeur, et non point par la bouche du seigneur.	ils parlent la vision de leur coeur, et non point par la bouche du seigneur.
Je n’envoÿoys pas les prophetes et ilz couroyent ;	Je n’envoyais pas les prophètes et ils couraient;
je ne parloys pas a eux et ilz prophetisoyent.	je ne parlais pas à eux et ils prophétisaient.
J’ay ouÿ ce que les prophetes ont dict, prophetisans en mon nom le mensonge, et disans, j’ay songé, j’ay songé .	J’ai ouï ce que les prophètes ont dit, prophétisant en mon nom le mensonge, et disant, j’ai songé, j’ai songé.
(hier 22, 16,21 et 25).	(hier 22, 16,21 et 25).
Vous sembl’il pas que ce soyent luther et AZuingle avec leurs propheties et visions ?	Vous semble-t-il pas que ce soient luther et Zwingli avec leurs prophéties et visions?
ou Carolostade avec sa revelation quil disoit avoir eüe pour sa cene, qui donna occasion a Luther d’escrire son livre, Contra coelestes prophetas ?	ou Carolostade avec sa révélation qu'il disait avoir eue pour sa cène, qui donna occasion à Luther d’écrire son livre, Contra coelestes prophetas?
, C’est bien eux, au moins, qui ont ceste proprieté de n’avoir pas esté envoyés ;	, C’est bien eux, au moins, qui ont cette propriété de n’avoir pas été envoyés;
c’est eux qui prennent leurs langues, et disent, le Seigneur a dict (31) :	c’est eux qui prennent leurs langues, et disent, le Seigneur a dit (31):
car ilz ne sçauroyent jamais monstrer aucune preuve de la charge quilz usurpent, ilz ne sçauroyent produyre aucune legitime vocation, et, donques, comme veulent ilz precher ?	car ils ne sauraient jamais montrer aucune preuve de la charge qu'ils usurpent, ils ne sauraient produire aucune légitime vocation, et, donc, comme veulent ils prêcher?
On ne peut s’enrooler sans aucun capitayne sans l’aveû du prince, et comment fustes vous si promtz a vous engager sous la charge de ces premiers ministres, sans le congé de vos pasteurs ordinaires, sortir de l’estat auquel vous esties nay et nourry qui est l’Eglise Catholique ?	On ne peut s’enrôler sans aucun capitaine sans l’aveu du prince, et comment fustes vous si prompts à vous engager sous la charge de ces premiers ministres, sans le congé de vos pasteurs ordinaires, sortir de l’état auquel vous étiez né et nourri qui est l’Église Catholique?
Ilz sont coupables d’avoir faict de leur propr’authorité ceste levëe de bouclier, et vous de les avoir suyvis ;	Ils sont coupables d’avoir fait de leur propre autorité cette levée de bouclier, et vous de les avoir suivis;
dont vous estes inexcusables.	dont vous estes inexcusables.
Le bon enfant Samuel, humble, doux et saint, ayant esté apellé par trois fois de Dieu, pensa tousjours que ce fut Heli qui l’eut appellé :	Le bon enfant Samuel, humble, doux et saint, ayant été appelé par trois fois de Dieu, pensa toujours que ce fut Héli qui l’eut appelé:
1.	1.
par les peuples et magistratz, 2.	par les peuples et magistrats, 2.
par nos Evesques, 3.	par nos Évêques, 3.
par sa voix extraordinaire.	par sa voix extraordinaire.
Non, non, qu’ilz.	Non, non, qu’ils.
.	.
.	.
Samuel fut appellé troys fois de Dieu, et selon son humilité il pensoyt que ce fut une vocation d’homme, jusques a tant qu’enseigné par Heli il conneust que c’estoit la vois divine (1 Rois 3, 4-10) .	Samuel fut appelé trois fois de Dieu, et selon son humilité il pensait que ce fut une vocation d’homme, jusques à tant qu’enseigné par Heli il connût que c’était la voix divine (1 Rois 3, 4-10) .
Vos ministres, Messieurs, produysent trois vocations de Dieu :	Vos ministres, Messieurs, produisent trois vocations de Dieu:
par les magistratz seculiers, par les Evesques, et par la voix extraordinaire ;	par les magistrats séculiers, par les Évêques, et par la voix extraordinaire;
ilz pensent que ce soyt Dieu qui les aÿe appelé en ces troys façons la.	ils pensent que ce soit Dieu qui les aie appelé en ces trois façons la.
Mays non, ilz reconnoyssent que c’est une vocation de l’homme, et que les oreilles ont corné a leur viel Adam, et s’en remettent a celuy qui, comm’Heli, praeside maintenant a l’Eglise.	Mais non, ils reconnaissent que c’est une vocation de l’homme, et que les oreilles ont corné à leur vieil Adam, et s’en remettent à celui qui, comme Heli, préside maintenant à l’Église.
Et voyla la premiere rayson qui rend vos ministres et vous aussy, quoy qu’inegalement, inexcusables devant Dieu et les hommes d’avoir laissé l’Eglise.	Et voilà la première raison qui rend vos ministres et vous aussi, quoi qu’inégalement, inexcusables devant Dieu et les hommes d’avoir laissé l’Église.
	
CHAPITRE II	CHAPITRE II
Erreurs des ministres sur la Nature de l’Eglise	Erreurs des ministres sur la Nature de l’Église
120	120
ARTICLE PREMIER	ARTICLE PREMIER
QUE L’EGLISE CHRETIENNE EST VISIBLE	QUE L’EGLISE CHRETIENNE EST VISIBLE
121	121
Au contraire, Messieurs, l’Eglise, qui contredisoit et s’opposoit a vos premiers ministres, et s’oppose encores a ceux de ce tems, est si bien marquëe de tous costés, que personne, tant aveuglé soit il, ne peut praetendre cause d’ignorance du devoir que tous les bons Chrestiens luy ont, et que ce ne soit la vraÿe, unique, inseparable et tres chere Espouse du Roy celeste ;	Au contraire, Messieurs, l’Église, qui contredisait et s’opposait à vos premiers ministres, et s’oppose encore à ceux de ce temps, est si bien marquée de tous côtés, que personne, tant aveuglé soit il, ne peut prétendre cause d’ignorance du devoir que tous les bons Chrétiens lui ont, et que ce ne soit la vraie, unique, inséparable et très chère Épouse du Roi céleste;
qui rend vostre separation d’autant plus inexcusable.	qui rend votre séparation d’autant plus inexcusable.
Car, sortir de l’Eglise, et contredire a ses decretz, c’est tousjours se rendre ethnique et publicain (mat 18, 17), quand ce seroit a la persuasion d’un ange ou seraphim (Gal 1, 8) ;	Car, sortir de l’Église, et contredire à ses décrets, c’est toujours se rendre ethnique et publicain (mat 18, 17), quand ce serait à la persuasion d’un ange ou séraphin (Gal 1, 8);
mays, a la persuasion d’hommes pecheurs a la grande forme, comme les autres, personnes particulieres, sans authorité, sans adveu, sans aucune qualité requise a des precheurs ou profetes que la simple connoissance de quelques sciences, rompre tous les liens et la plus religieuse obligation d’obeissance qu’on eust en ce monde, qui est celle qu’on doit a l’Eglise comm’Espouse de Nostre Seigneur, c’est une faute qui ne se peut couvrir que d’une grande repentance et poenitence, a laquelle je vous invite de la part du Dieu vivant.	mais, à la persuasion d’hommes pêcheurs à la grande forme, comme les autres, personnes particulières, sans autorité, sans aveu, sans aucune qualité requise à des prêcheurs ou prophètes  que la simple connaissance de quelques sciences, rompre tous les liens et la plus religieuse obligation d’obéissance qu’on eût en ce monde, qui est celle qu’on doit à l’Église comme Épouse de Notre Seigneur, c’est une faute qui ne se peut couvrir que d’une grande repentance et pénitence, à laquelle je vous invite de la part du Dieu vivant.
Les adversaires, voyans bien qu’a ceste touche leur doctrine seroit reconneüe de bas or, ont tasché par tous moyens de nous divertir de ceste preuve invincible que nous prenons es marques de la vraÿe Eglise, et partant ont voulu maintenir que l’Eglise est invisible et imperceptible, et par consequent irremarquable.	Les adversaires, voyant bien qu’à cette touche leur doctrine serait reconnue de bas or, ont tâché par tous moyens de nous divertir de cette preuve invincible que nous prenons ès marques de la vraie Église, et partant ont voulu maintenir que l’Église est invisible et imperceptible, et par conséquent irremarquable.
Je crois que cestecy est l’extrem’absurdité, et qu’au pardela immediatement se loge la frenesie et la rage.	Je crois que cette-ci est l’extrême absurdité, et qu’au par-delà immédiatement se loge la frénésie et la rage.
Mays ilz vont par deux chemins a ceste leur opinion de l’invisibilité de l’eglise ;	Mais ils vont par deux chemins à cette leur opinion de l’invisibilité de l’église;
car les uns disent qu’ell’est invisible par ce qu’elle consiste seulement es personnes esleües et praedestinëes, les autres attribuent cest’invisibilité a la rareté et dissipation des croyans et fidelles :	car les uns disent qu’elle est invisible parce qu’elle consiste seulement ès personnes élues et prédestinées, les autres attribuent cette invisibilité à la rareté et dissipation des croyants et fidèles:
dont les premiers tiennent l’Eglis’estre en tous tems invisible, les autres disent que cest’invisibilité a duré environ mill’ans, ou plus ou moins, c’est a dire, des saint Gregoire jusqu’a Luther, quand la papauté estoit paysible parmi le Christianisme ;	dont les premiers tiennent l’Église être en tous temps invisible, les autres disent que cette invisibilité a duré environ mille ans, ou plus ou moins, c’est-à-dire, des saint Grégoire jusqu’à Luther, quand la papauté était paisible parmi le Christianisme;
car ilz disent que durant ce tems la il y avoit plusieurs vrais Chrestiens secretz, qui ne descouvroyent pas leurs intentions, et se contentoyent de servir ainsy Dieu a couvert.	car ils disent que durant ce temps la il y avait plusieurs vrais Chrétiens secrets, qui ne découvraient pas leurs intentions, et se contentaient de servir ainsi Dieu à couvert.
Ceste theologie est tant imaginaire et damnatoire, que les autres ont mieux aymé dire que durant ces mill’ans l’Eglise n’estoit ni visible ni invisible, mays du tout abolie et estoufëe par l’impieté et l’idolatrie.	Ceste théologie est tant imaginaire et damnatoire, que les autres ont mieux aimé dire que durant ces mille ans l’Église n’était ni visible ni invisible, mais du tout abolie et étouffée par l’impiété et l’idolâtrie.
