A MONSEIGNEUR Mᵍⁿᵉᵘʳ. 	À MONSEIGNEUR MONSEIGNEUR. 
Je ſçais que quelques-vns loüent hautement Lycurge, lors que par une rigoureuſe Loy il defendit aux Laconiens de viſiter les ProVinces étrangeres, de peur qu’ils n’en rapportaſſent quelques mauvaiſes teintures ou impreſſions, capables de noircir des Aſtres dans ſa Republique:	Je sais que quelques-uns louent hautement Lycurge, lors que par une rigoureuse Loi il défendit aux Laconiens de visiter les Provinces étrangères, de peur qu'ils n'en rapportassent quelques mauvaises teintures ou impressions, capables de noircir des Astres dans sa République:
juſques à la méme qu’un jeune Seigneur fut tres-mal cir, ou d’eclipſer les belles mœurs qui reluiſoient comme traité pour avoir pris connaiſſance du chemin de Pylée, ville d'Arcadie, plongée dans la gourmandiſe, & dans l'impudicité. 	jusques à la même qu'un jeune Seigneur fut très-mal cir, ou d'éclipser les belles mœurs qui reluisaient comme traité pour avoir pris connaissance du chemin de Pylée, ville d'Arcadie, plongée dans la gourmandise, et dans l'impudicité. 
Je ſçais encore que Seneque, & quelques autres diſent que la plante qui eſt ſouvent tranſportée de lieu en autre, rarement porte des fruits;	Je sais encore que Sénèque, et quelques autres disent que la plante qui est souvent transportée de lieu en autre, rarement porte des fruits;
que la viande embraſſée par l’eſtomach avec peu de loiſir ne ſe digere pas;	que la viande embrassée par l'estomac avec peu de loisir ne se digère pas;
que les remedes qu’on change perpetuellement l’un ſur l’autre ne font que tuer un corps;	que les remèdes qu'on change perpétuellement l'un sur l'autre ne font que tuer un corps;
& que la playe qu’on irrite ſans ceſſe, n’a garde de ſe rejoindre, non plus ni moins que celui qui voyage aſſiduëment ne devient jamais habile homme. 	et que la plaie qu'on irrite sans cesse, n'a garde de se rejoindre, non plus ni moins que celui qui voyage assidûment ne devient jamais habile homme. 
Mais ſemblables opinions ſont à mon avis mal fondées, veu que nous apprenons de nos Hiſtoires que la naiſſance, & l’afférmiſſement des plus grands Empires ne viennent que de la connoiſſance qu’ils ont eu des loix, & des habitudes des étrangers. 	Mais semblables opinions sont à mon avis mal fondées, vu que nous apprenons de nos Histoires que la naissance, et l'affermissement des plus grands Empires ne viennent que de la connaissance qu'ils ont eu des lois, et des habitudes des étrangers. 
Lycurge méme n’ût jamais appris le meſtier d’aſſortir de ſi bonnes regles de police ſon Eſtat, s’il n’en ût emprunté quelques-unes de Crete, de l’Aſie, & de l’Ægypte qu’il avoit viſité. 	Lycurge même n'eût jamais appris le métier d'assortir de si bonnes règles de police son État, s'il n'en eût emprunté quelques-unes de Crète, de l'Asie, et de l'Égypte qu'il avait visité. 
Les Grecs & les Romains mieux aviſez que les Spartes & les Laconiens jugerent que pour eterniſer leur noms, il falloit qu’ils parcouruſſent les mers, & s’ouvriſſent le chemin des Païs étrangers;	Les Grecs et les Romains mieux avisés que les Spartes et les Laconiens jugèrent que pour éterniser leur noms, il fallait qu'ils parcourussent les mers, et s'ouvrissent le chemin des Pays étrangers;
& non de merveille ſi ces derniers apporterent tant de ſoin à faire dreſſer exactement des Itineraires, qui puſſent conduire avec toute aſſurance les Voyageurs juſques aux dernieres terres de l'Univers. 	et non de merveille si ces derniers apportèrent tant de soin à faire dresser exactement des Itinéraires, qui pussent conduire avec toute assurance les Voyageurs jusques aux dernières terres de l'Univers. 
Herodote, qui naſquit l'an 481. avant la naiſſance de Jeſus Chriſt, rapporte que Necho Roy d'Egypte (qui regnoit 605. avant l’Incarnation de Chriſt) deſireux d'étendre les limites de ſon domaine, s’addonna à la connoiſſance de la marine, & qu’ayant fait ceſſer le canal qu’il avoit commencé à faire tirer depuis le Nil juſques au Golphe Arabique, dépecha une flotte de Phœniciens, auſquels il commanda de revenir en Egypte par la Mer Mediterranée. 	Hérodote, qui naquit l'an 481. avant la naissance de Jésus Christ, rapporte que Nékao Roi d'Égypte (qui régnait 605. avant l'Incarnation de Christ) désireux d'étendre les limites de son domaine, s'adonna à la connaissance de la marine, et qu'ayant fait cesser le canal qu'il avait commencé à faire tirer depuis le Nil jusques au Golf Arabique, dépêcha une flotte de Phéniciens, auxquels il commanda de revenir en Égypte par la Mer Méditerranée. 
Ces peuples donc ayans levé les ancres de la Mer Auſtrale, & l’Automne eſtant venu, prirent terre, labourerent, & ſemerent quelque territoires, & y ſejournerent juſques à ce qu'ils ûrent recueilly du bled ſuffiſamment pour achever leur voyage. 	Ces peuples donc ayant levé les ancres de la Mer Australe, et l'Automne étant venu, prirent terre, labourèrent, et semèrent quelque territoires, et y séjournèrent jusques à ce qu'ils eurent recueilli du blé suffisamment pour achever leur voyage. 
Et s’eſtans remis ſur Mer, & conſommé deux ans entiers à coſtoyer la Lybie, arriverent aux Colomnes d’Hercule, & de là revinrent en Egypte ſur la troiſiéme année. 	Et s'étant remis sur Mer, et consommé deux ans entiers à côtoyer la Lybie, arrivèrent aux Colomnes d'Hercule, et de là revinrent en Égypte sur la troisième année. 
Peu apres ce méme Autheur dit que les Carthaginois ſuivirent la méme piſte, & qu’un certain Sataſpes eſtant condamné à eſtre cruicifié pour avoir ravi l'honneur de la fille de Zophyrus, ſa peine luy fut changée par Xerxes, en une navigation qu’il luy ordonna de faire depuis l’Egypte par les Colomnes d’Hercule juſques au ſein Arabique. 	Peu après ce même Auteur dit que les Carthaginois suivirent la même piste, et qu'un certain Sataspes étant condamné à être crucifié pour avoir ravi l'honneur de la fille de Zophyrus, sa peine lui fut changée par Xerxès, en une navigation qu'il lui ordonna de faire depuis l'Égypte par les Colomnes d'Hercule jusques au sein Arabique. 
De plus, il nous aſſeure que Darius ayant envie de ſçavoir, où & en quelle Mer le Fleuvre Indus ſe déchargeoit, enuoya un certain Scylax avec des perſonnes, de la fidelité deſquelles il ne pouvoit douter, & qu’eſtans devalez par cette riviere, entrez qu’ils furent en Mer, reconnurent exactement toutes les coſtes, & revinrent par le ſein Arabique trente mois apres leur depart:	De plus, il nous assure que Darius ayant envie de savoir, où et en quelle Mer le Fleuvre Indus se déchargeait, envoya un certain Scylax avec des personnes, de la fidélité desquelles il ne pouvait douter, et qu'étant dévalés par cette rivière, entrés qu'ils furent en Mer, reconnurent exactement toutes les côtes, et revinrent par le sein Arabique trente mois après leur départ:
ce qui aida grandement à Darius à ſubjuguer l’Inde, & à ſe rendre le maiſtre de la Mer. 	ce qui aida grandement à Darius à subjuguer l'Inde, et à se rendre le maître de la Mer. 
Pline, qui eſtoit homme de Mer, General de l'Armée navale, que les Romains avoient à Miſene a tres-ſoigneuſement remarqué tous ceux qui avoient eſté porté, ou trouvé quelque choſe utile à la Marine. 	Pline, qui était homme de Mer, Général de l'Armée navale, que les Romains avaient à Mycènes a très-soigneusement remarqué tous ceux qui avaient été porté, ou trouvé quelque chose utile à la Marine. 
C’eſt luy qui nous aſſeure que les Vaiſſeaux dont les Anglois ſe ſervoient de ſon temps eſtoient d’ozieres, couverts de cuir;	C'est lui qui nous assure que les Vaisseaux dont les Anglais se servaient de son temps étaient d'osier, couverts de cuir;
Que ceux du Nil ſe faiſoient de papier d’Egypte, de joncs & de roſeaux:	Que ceux du Nil se faisaient de papier d'Égypte, de joncs et de roseaux:
Que ce fut le Roy Erytra qui ſe ſervit le premier de radeaux pour traverſer la Mer Rouge ou bien ceux de Troye, lors qu’ils paſſerent l’Heleſpont, pour porter leurs armes en Thrace:	Que ce fut le Roi Érytra qui se servit le premier de radeaux pour traverser la Mer Rouge ou bien ceux de Troye, lors qu'ils passèrent l'Hellespont, pour porter leurs armes en Thrace:
Que Jaſon fit le premier les navires longs:	Que Jason fit le premier les navires longs:
Que Damaſtes trouva l’invention des Galeres, deſquelles divers multiplierent les rames juſques à 50. rangs, bien que les Copes ayent les premiers inventé l’uſage de la Rame, & que les Plates leur donnerent une largeur ſortable:	Que Damastes trouva l'invention des Galères, desquelles divers multiplièrent les rames jusques à 50. rangs, bien que les Copes aient les premiers inventé l'usage de la Rame, et que les Plates leur donnèrent une largeur sortable:
Que ce fut Icarus qui trouva l’uſage des voiles;	Que ce fut Icarus qui trouva l'usage des voiles;
Dedalus les Maſts & les Antennes;	Dedalus les Mâts et les Antennes;
les Tyrrheniens l’ancre;	les Tyrrhéniens l'ancre;
Anacharſis les Harpons;	Anacharsis les Harpons;
les Atheniens les mains de fer;	les Athéniens les mains de fer;
Typhis le Gouvernail, & les addreſſes pour gouverner;	Typhis le Gouvernail, et les adresses pour gouverner;
& que Minos fut le premier qu parut ſur Mer avec une Flotte de Vaiſſeaux armée en guerre. 	et que Minos fut le premier qu parut sur Mer avec une Flotte de Vaisseaux armée en guerre. 
Il dit encore que ſous Auguste on envoya une Flotte qui coſtoya l’Allemagne & les Cimbres, & vit, & reconnut cette vaſte Mer juſques en Scythie:	Il dit encore que sous Auguste on envoya une Flotte qui côtoya l'Allemagne et les Cimbres, et vit, et reconnut cette vaste Mer jusques en Scythie:
Que de ſon temps on navigeoit en la partie Meridionale de la Mauritanie:	Que de son temps on naviguait en la partie Méridionale de la Mauritanie:
Qu’Alexandre avoit fait reconnoitre la Mer Orientale juſqu'au ſein Arabique:	Qu'Alexandre avait fait reconnaître la Mer Orientale jusqu'au sein Arabique:
Que du regne de Cajus Ceſar on trouva dans ce méme ſein le debris de quelques Vaiſſeaux Eſpagnols:	Que du règne de Cajus César on trouva dans ce même sein le debris de quelques Vaisseaux Espagnols:
Que Hannon Carthaginois décrivit le voyage qu’il fit depuis les Gades juſques au ſein Arabique, & qu’en meſme temps les Carthaginois envoyerent un excellente homme de Mer nommé Himilco, pour reconnoitre la Mer Oceane, qui baigne l'Europe. 	Que Hannon Carthaginois décrivit le voyage qu'il fit depuis les Gades jusques au sein Arabique, et qu'en même temps les Carthaginois envoyèrent un excellente homme de Mer nommé Himilco, pour reconnaître la Mer Océane, qui baigne l'Europe.
Il remarque auſſi tres-exactement comme les premieres navigations ſe faiſoient à veuë de terre, rangeant tousjours la Coſte, & deſcrit de Havre en Havre toutes les ſtations que fit Alexandre le Grand, depuis les emboucheures du Tygre & de l’Euphrate dans le ſein Perſique juſques en l’Inde. 	Il remarque aussi très-exactement comme les premières navigations se faisaient à vue de terre, rangeant toujours la Côte, et décrit de Havre en Havre toutes les stations que fit Alexandre le Grand, depuis les embouchures du Tigre et de l'Euphrate dans le sein Persique jusques en l'Inde. 
Et conſequemment il adjouſte que les Siecles ſuivans la Navigation s’eſtant perfectionnée, les Marchands trouverent un chemin plus court, allant droit du Cap Fartaque à Anor, & plus aſſuré, s’eloignant des Coſtes, & des Pyrates. 	Et conséquemment il ajoute que les Siècles suivants la Navigation s'étant perfectionnée, les Marchands trouvèrent un chemin plus court, allant droit du Cap Fartaque à Anor, et plus assuré, s'éloignant des Côtes, et des Pirates. 
Il avance encore qu’il ne ſe paſſoit aucune annéé, que l’Inde ne tirât de l’Empire Romain un million deux cens cinquante mille eſcus, pour diverſes marchandiſes que l’on en apportoit, & que l’on vendoit cent fois plus cher. 	Il avance encore qu'il ne se passait aucune année, que l'Inde ne tirât de l'Empire Romain un million deux cents cinquante mille écus, pour diverses marchandises que l'on en apportait, et que l'on vendait cent fois plus cher. 
Strabon a remarqué il y a plus de 1500. ans, que les premiers hommes ne voguerent que de jour craignans les écueils;	Strabon a remarqué il y a plus de 1500. ans, que les premiers hommes ne voguèrent que de jour craignant les écueils;
Que les Sidoniens furent les premiers qui commencerent à voguer de nuict;	Que les Sidoniens furent les premiers qui commencèrent à voguer de nuit;
Que les Anciens ont fait des voyages par Mer plus longs que nous ne faiſons à preſent:	Que les Anciens ont fait des voyages par Mer plus longs que nous ne faisons à présent:
Car l’on ſçait (dit il) que Bacchus, Hercules, Jaſon, Ulyſſe, & Menelaus ont fait des grands voyages;	Car l'on sait (dit-il) que Bacchus, Hercule, Jason, Ulysse, et Ménélaus ont fait des grands voyages;
Que Theſée & Perithous ont laiſſé dans l’eſprit des hommes une opinion qu’ils ont deſcendu juſques aux Enfers, à cauſe des grands voyages qu’ils ont entrepris, & que c’eſt pour le méme ſujet qu’on croit que les Caſtors ſont Procureurs de la Mer, & qu’ils aſſiſtent ceux qui s’y trouvent en danger. 	Que Thésée et Pirithoüs ont laissé dans l'esprit des hommes une opinion qu'ils ont descendu jusques aux Enfers, à cause des grands voyages qu'ils ont entrepris, et que c'est pour le même sujet qu'on croit que les Castors sont Procureurs de la Mer, et qu'ils assistent ceux qui s'y trouvent en danger. 
Il dit ailleurs qu’un certain Eudoxus fuyant la cholere du Roy Lathyrus, s’embarqua ſur le Golphe Arabique, & qu’ayant couru toutes les coſtes d’Afrique, il arriva aux Gades d’Eſpagne. 	Il dit ailleurs qu'un certain Eudoxus fuyant la colère du Roi Lathyrus, s'embarqua sur le Golf Arabique, et qu'ayant couru toutes les côtes d'Afrique, il arriva aux Gades d'Espagne. 
Et avant cela Cælius Antipater aſſeuroit qu’il avoit veu un homme qui alloit par Mer d’Eſpagne en Ethiopie pour trafiquer:	Et avant cela Cælius Antipater assurait qu'il avait vu un homme qui allait par Mer d'Espagne en Éthiopie pour trafiquer:
Et Cornelius Nepos affirmoit qu'un Roy de Suede fit preſent à Aſranius Proconſul des Gaules de quelques Indiens, leſquels trafiquans vers le Septentrion, avoient eſté jettez par la tempeſte en la Mer de Germanie. 	Et Cornelius Nepos affirmait qu'un Roi de Suède fit présent à Asranius Proconsul des Gaules de quelques Indiens, lesquels trafiquant vers le Septentrion, avaient été jetés par la tempête en la Mer de Germanie. 
Diodore dit que les Argonautes apres avoir conquis la Toiſon d’or entrerent du Pont Euxin dans le Tanais, monterent juſques à ſa ſource, & qu’ayans fait quelque chemin par terre, ils trouverent un autre Fleuve qui les mena en la Mer du Nord, & que revenans par la Mer Oceane & Occidentale, laiſſans tousjours les terres à gauche, ils rentrerent en la Mediterranée par le détroit d’Afrique, & arriverent en Italie au Havre de Telamon. 	Diodore dit que les Argonautes après avoir conquis la Toison d'or entrèrent du Pont Euxin dans le Tanais, montèrent jusques à sa source, et qu'ayant fait quelque chemin par terre, ils trouvèrent un autre Fleuve qui les mena en la Mer du Nord, et que revenant par la Mer Océane et Occidentale, laissant toujours les terres à gauche, ils rentrèrent en la Méditerranée par le détroit d'Afrique, et arrivèrent en Italie au Havre de Télamon. 
Socrate monſtra à Alcibiade toute la Grece depeinte en une Carte. 	Socrate montra à Alcibiade toute la Grèce dépeinte en une Carte. 
Theophraſte Diſciple d'Ariſtore ordonna par teſtament, qu'une Carte univerſelle de la terre qu’il avoit, fut miſe apres ſon decés en une Galerie du Lycée, où il avoit enſeigné, dit Laer au l. 5. 	Théophraste Disciple d'Aristore ordonna par testament, qu'une Carte universelle de la terre qu'il avait, fut mise après son décès en une Galerie du Lycée, où il avait enseigné, dit Laer au l. 5. 
Properce & Vitruve diſent qu’il y avoit dés leurs temps des Cartes univerſelles. 	Properce et Vitruve disent qu'il y avait dés leurs temps des Cartes universelles. 
Diognetus, & Biton tracerent curieuſement en une Carte les chemins qu’avoit tenu Alexandre dans ſes conqueſtes. 	Diognetus, et Biton tracèrent curieusement en une Carte les chemins qu'avait tenu Alexandre dans ses conquêtes. 
Mithridate Roy du Pont, voulant ranger toute l'Aſie à ſa devotion, s’y tranſporta auparavant en habit de pelerin pour y prendre connoiſſance des mers, des fleuves, de la ſituation des Villes, & de l’humeur de leurs habitans. 	Mithridate Roi du Pont, voulant ranger toute l'Asie à sa dévotion, s'y transporta auparavant en habit de pèlerin pour y prendre connaissance des mers, des fleuves, de la situation des Villes, et de l'humeur de leurs habitants. 
Apres ſon retour, ne la regardant plus autrement qu’un bien dont il pouvoit faire ſon propre, il alla prendre ſa Bithinie pour s’y faire plus aiſement un paſſage, & n’eut pour raiſon de cette guerre que ſa volonté. 	Après son retour, ne la regardant plus autrement qu'un bien dont il pouvait faire son propre, il alla prendre sa Bithynie pour s'y faire plus aisément un passage, et n'eut pour raison de cette guerre que sa volonté. 
La priſe de ce Royaume épuvanta preſque tous les autres, tout ce qu’il luy ſembla beau luy parut facile, & la terreur de l'Aſie luy ſceut ouvrir le chemin de l'Europe ſi heureuſement, que par le moyen de ſes Lieutenans Archelaus & Neopteleme, fort experts en la marine, il ſe rendit maiſtre des Cyclades, de Dele, de Negrepont, d’Athenes, & d'autres Provinces. 	La prise de ce Royaume épouvanta presque tous les autres, tout ce qu'il lui sembla beau lui parut facile, et la terreur de l'Asie lui sut ouvrir le chemin de l'Europe si heureusement, que par le moyen de ses Lieutenants Archélaüs et Néoptolème, fort experts en la marine, il se rendit maître des Cyclades, de Dele, de Négrepont, d'Athènes, et d'autres Provinces.
Pompée, auſſi grand Voyageur que grand Capitaine, eſtoit tousjours muni des Itineraires pour facilliter ſes conqueſtes, & combattre ſes ennemis. 	Pompée, aussi grand Voyageur que grand Capitaine, était toujours muni des Itinéraires pour faciliter ses conquêtes, et combattre ses ennemis. 
Et non de merveille, s’il remit ſi facilement l’Eſpagne en l’obeiſſance des Romains, s’il vainquit deux fois Mithridate, & trois fois Tigranes;	Et non de merveille, s'il remit si facilement l'Espagne en l'obéissance des Romains, s'il vainquit deux fois Mithridate, et trois fois Tigranes;
s'il dompta Herode Roy d’Albanie, & le Roy des Iberiens Artaxés;	s'il dompta Hérode Roi d'Albanie, et le Roi des Ibériens Artaxés;
s'il conquit avec leurs Royaumes la Syrie, & la phænicie, ſurmonta les Ituriens, les Arabes, les Juifs, & ſix autres Nations voiſines;	s'il conquit avec leurs Royaumes la Syrie, et la Phénicie, surmonta les Ituriens, les Arabes, les Juifs, et six autres Nations voisines;
s’il defit juſques au nombre de vingt-deux Rois, prit mil ſix cent trente-huit Villes, & s’il n’employa tous les momens de ſa vie qu’a faire des ſubjets, ou des malheureux des ennemis de la Republique. 	s'il défit jusques au nombre de vingt-deux Rois, prit mil six cent trente-huit Villes, et s'il n'employa tous les moments de sa vie qu'a faire des sujets, ou des malheureux des ennemis de la République. 
Felix Malleolus dans ſon Traité de la Nobleſſe aſſeure qu’il a eu entre les mains une deſcription de tout le monde ancien, commencée par Jules Ceſar, & achevée ſous Auguſte. 	Felix Malleolus dans son Traité de la Noblesse assure qu'il a eu entre les mains une description de tout le monde ancien, commencée par Jules César, et achevée sous Auguste. 
Ce qui s’accorde avec ce qu’Ethicus Autheur ancien dit en ſa Coſmographie, que ſous les regnes de Jules & d’Auguſte par ordre du Senat, on envoya par tout l’univers des Geographes pour en faire une deſcription. 	Ce qui s'accorde avec ce qu'Ethicus Auteur ancien dit en sa Cosmographie, que sous les règnes de Jules et d'Auguste par ordre du Sénat, on envoya par tout l'univers des Géographes pour en faire une description. 
L'Evangile nous apprend que lors que dans les autres Provinces, diverſes perſonnes travailloient à ce deſſein, on découvrit la Judée ſous les Preſidens Cirinus & Quirinus. 	L'Évangile nous apprend que lors que dans les autres Provinces, diverses personnes travaillaient à ce dessein, on découvrit la Judée sous les Presidents Cirinus et Quirinus. 
Cette deſcription fut depuis diligemment conſervée à Rome, & augmentée & corrigée par divers Empereurs, ſelon les diverſes occaſions qui s’en preſenterent. 	Cette description fut depuis diligemment conservée à Rome, et augmentée et corrigée par divers Empereurs, selon les diverses occasions qui s'en présentèrent. 
Auguſte prit luy méme plaiſir à décrire ſoigneuſement l’Italie, aprés qu’il l'eut diviſée en diverſes Regions. 	Auguste prit lui même plaisir à décrire soigneusement l'Italie, après qu'il l'eut divisée en diverses Régions. 
Le meſme voulant envoyer ſon fils Caius en Orient, fit marcher devant luy un tres-excellent Geographe nommé Denis. 	Le même voulant envoyer son fils Caius en Orient, fit marcher devant lui un très-excellent Géographe nommé Denis. 
Agrippa ſon Gendre, qui eſtudioit avec zele toutes les inclinations de cét Empereur fit travailler aux deſcriptions de divers Païs, (ſelon le recit de Pline) comme auſſi Juba Roy de Mauritanie. 	Agrippa son Gendre, qui étudiait avec zèle toutes les inclinations de cet Empereur fit travailler aux descriptions de divers Pays, (selon le récit de Pline) comme aussi Juba Roi de Mauritanie. 
Les Empereurs Germanicus, & Trajan non moins curieux que leurs Devanciers, employerent une bonne partie de leur temps à connoiſtre la Mer (qui eſt preſque infinie en ſon étenduë) ſa nature, ſes proprietez, ſes mouvemens, & agitations (qui ſont auſſi differentes qu’il y a de divers climats) ſon flux, & reflux, ſes bancs, ſes briſans, & écueils, la diverſité des vents qui donnent le mouvement aux Vaiſſeaux y engagez, bref, ſes furies & rages, & les remedes pour les ſurmonter. 	Les Empereurs Germanicus, et Trajan non moins curieux que leurs Devanciers, employèrent une bonne partie de leur temps à connaître la Mer (qui est presque infinie en son étendue) sa nature, ses proprietez, ses mouvements, et agitations (qui sont aussi différentes qu'il y a de divers climats) son flux, et reflux, ses bancs, ses brisants, et écueils, la diversité des vents qui donnent le mouvement aux Vaisseaux y engagez, bref, ses furies et rages, et les remèdes pour les surmonter. 
Democrite ût auſſi une telle paſſion pour la découverte des Mers & Païs étrangers, qu’apres la mort de ſon pere Damaſippus, il ceda tous ſes heritages à ſes deux freres, & le tranſporta en Egypte, en Chaldée, & en l’Inde. 	Democrite ût aussi une telle passion pour la découverte des Mers et Pays étrangers, qu'après la mort de son père Damasippus, il ceda tous ses héritages à ses deux frères, et le transporta en Égypte, en Chaldée, et en l'Inde. 
Homere (qui eſt nommé de Strabon le Prince des Geographes) ne nous a pas peu laiſſé de lumieres en la connoiſſance des Terres étrangeres, comme auſſi Anaximander le Mileſien, Hecateus, Dicæarchus, Ephore, Eratoſthenes, Platon, Polybe, Poſſidonius, Ptolemée, Pomponius Mela, Solinus, Marinus Tyrius, Strabon, & grand nombre d’autres. 	Homère (qui est nommé de Strabon le Prince des Géographes) ne nous a pas peu laissé de lumières en la connaissance des Terres étrangères, comme aussi Anaximander le Milesien, Hecateus, Dicæarchus, Ephore, Eratosthenes, Platon, Polybe, Possidonius, Ptolemée, Pomponius Mela, Solinus, Marinus Tyrius, Strabon, et grand nombre d'autres. 
Mais le plus fameux & le plus veritable de tous ceux-cy fur (ce me ſemble) l'Empereur Antonin le Debonnaire, qui fit revoir les Itineraires de l’Empire, & enjoignit d'y adjouſter les Villes & les Provinces, qui depuis le ſiecle de Ceſar juſques au ſien, avoient eſté conquiſes & baſties en divers lieux. 	Mais le plus fameux et le plus véritable de tous ceux-ci fur (ce me semble) l'Empereur Antonin le Débonnaire, qui fit revoir les Itinéraires de l'Empire, et enjoignit d'y ajouter les Villes et les Provinces, qui depuis le siècle de César jusques au sien, avaient été conquises et bâties en divers lieux. 
Et pour enrichir ce travail, il en fit dreſſer un autre pour la Mer, qui nous reſte encore, où ſont décrits les Caps, Deſtroits, Villes, & Iſles, par où il falloit paſſer depuis l’Achaïe par la Sicile, juſques au Deſtroit qui eſt entre l’Afrique & l'Eſpagne. 	Et pour enrichir ce travail, il en fit dresser un autre pour la Mer, qui nous reste encore, où sont décrits les Caps, Détroits, Villes, et Îles, par où il fallait passer depuis l'Achaïe par la Sicile, jusques au Détroit qui est entre l'Afrique et l'Espagne. 
Pluſieurs hommes doctes comme Ethicus, & autres, ayans depuis mis la main à l’Itineraire de l’Empire, & y ayans adjouſté diverſes Villes celebres de leur temps, inconnuës aux Anciens, ont fait douter qui eſtoit le premier Autheur de cét Itineraire de l’Empire Romain, qui communement porte le nom d’Antoninus Pius. 	Plusieurs hommes doctes comme Ethicus, et autres, ayans depuis mis la main à l'Itinéraire de l'Empire, et y ayant ajouté diverses Villes célèbres de leur temps, inconnues aux Anciens, ont fait douter qui était le premier Auteur de cet Itinéraire de l'Empire Romain, qui communément porte le nom d'Antoninus Pius. 
Et le méme ſe peut dire de cette Table, que l’on croit avoir eſté tracée ſous l’Empereur Theodoſe, que Peutinger a trouvée à Ausbourg dont toutes-fois nous faiſons plus d’eſtat pour eſtre une piece antique, que pour aucun art qu’on y puiſſe remarquer:	Et le même se peut dire de cette Table, que l'on croit avoir été tracée sous l'Empereur Théodose, que Peutinger a trouvée à Ausbourg dont toutefois nous faisons plus d'état pour être une pièce antique, que pour aucun art qu'on y puisse remarquer:
car il eſt certain que c’eſtoit pluſtot quelque Meſtre-de-Camp, ou Ingenieur tres-ignorant en Mathematique, qui vouloit faire une Table, & monſtrer à l’œil les chemins de l’Empire, qu’un Geographe. 	car il est certain que c'était plutôt quelque Mestre-de-Camp, ou Ingénieur très-ignorant en Mathématique, qui voulait faire une Table, et montrer à l'œil les chemins de l'Empire, qu'un Géographe. 
Quoy qu’il en ſoit,  S. 	Quoi qu'il en soit, S. 
Ambroiſe au Sermon 5. ſur le Pſ. 118. m’apprend que le deſſein des Empereurs eſtoit de regler les ſoldats, afin que les armées, qui venoient dans les Provinces étrangeres marchaſſent ſeurement, ſans faire de dommage aux lieux, par où elles paſſoient, & ſans ſe débander. 	Ambroise au Sermon 5. sur le Ps. 118. m'apprend que le dessein des Empereurs était de régler les soldats, afin que les armées, qui venaient dans les Provinces étrangères marchassent sûrement, sans faire de dommage aux lieux, par où elles passaient, et sans se débander. 
Ce qui eut eſté tres-difficile autrement pour la trop grande étenduë de l’Empire qui (ſelon Artemidore, & Pline au l.2. de l'Hiſtoire Nat. 	Ce qui eut été très-difficile autrement pour la trop grande étendue de l'Empire qui (selon Artémidore, et Pline au l.2. de l'Histoire Nat. 
Chap. 108) depuis Babylone juſques aux Gades, qui font l’extremité de l’Eſpagne, avoit 3684. milliaires d’Italie, de long;	Chap. 108) depuis Babylone jusques aux Gades, qui font l'extrémité de l'Espagne, avait 3684. milliaires d'Italie, de long;
& de large deux mil milliaires, ſçavoir depuis les cataractes du Nil juſques à la Palus Mæotide;	et de large deux mil milliaires, savoir depuis les cataractes du Nil jusques à la Palus Méotide;
ou depuis le Mont Atlas juſques à l'Iſle Tulé en l’extremité d’Eſcoſſe. 	ou depuis le Mont Atlas jusques à l'Île Tulé en l'extrémité d'Écosse. 
Car par ce moyen tous les chemins leur eſtans ordonnés, & les eſtapes établies, ſi les ſoldats s’en écartoient, ils ne trouvoient plus qui les retiraſt;	Car par ce moyen tous les chemins leur étant ordonnés, et les étapes établies, si les soldats s'en écartaient, ils ne trouvaient plus qui les retirât;
au lieu que rien ne leur manquoit dans les chemins de l'Empire:	au lieu que rien ne leur manquait dans les chemins de l'Empire:
où leurs giſtes leur eſtoient aſſeurez, & leurs vivres preparez:	où leurs gîtes leur étaient assurés, et leurs vivres préparez:
de plus ils trouvoient certains lieux, où il leur eſtoit permis de ſejourner, & ſe rafraiſchir deux ou trois fois. 	de plus ils trouvaient certains lieux, où il leur était permis de séjourner, et se rafraîchir deux ou trois fois. 
Enfin, ils y recevoient toutes les commoditez qu’un ſoldat peut eſperer. 	Enfin, ils y recevaient toutes les commodités qu'un soldat peut espérer. 
Voila ſommairement ce que les Anciens ont contribué à la Geographie. 	Voilà sommairement ce que les Anciens ont contribué à la Géographie. 
CHAPITRE II. 	CHAPITRE II. 
Quelle fut la puißance & l’addreße des Anciens ſur Mer. 	Quelle fut la puissance et l'adresse des Anciens sur Mer. 
B ien que je ne doute aucunement que les anciens peuples qui ont habité les Coſtes maritimes & Iſles de l’Ocean, n’ayent auſſi-toſt apporté de l’ordre & de la police en leurs navigations, que ceux qui demeuroient proche des rivages, & des Iſles de la Mer Mediterranée;	Bien que je ne doute aucunement que les anciens peuples qui ont habité les Côtes maritimes et Îles de l'Océan, n'aient aussitôt apporté de l'ordre et de la police en leurs navigations, que ceux qui demeuraient proche des rivages, et des Îles de la Mer Méditerranée;
