MEMOIRES DE LA VIE DE HENRIETTE-SYLVIE DE MOLIERE.	MÉMOIRES DE LA VIE DE HENRIETTE-SYLVIE DE MOLIÈRE.
Le bleſſé qui eut plus de pitié de mon embarras, que je n’en avois eu du ſien, me cria de tourner à gauche, & j’abandonnay mon cheval à la courſe par cette route, par où en effet je me fuſſe bien-tôt éloignée ;	Le blessé qui eut plus de pitié de mon embarras, que je n’en avais eu du sien, me cria de tourner à gauche, et j’abandonnai mon cheval à la course par cette route, par où en effet je me fusse bientôt éloignée ;
mais j’allay rencontrer Monſieur de Birague, & la Dame de Moliere, qui s’eſtant entretenus là où il leur avoit plû ſans s’entretüer comme nous, venoient apparamment pour nous rejoindre, guidez par le buit du piſtolet.	mais j’allai rencontrer Monsieur de Birague, et la Dame de Molière, qui s’étant entretenus là où il leur avait plu sans s’entretuer comme nous, venaient apparemment pour nous rejoindre, guidés par le buit du pistolet.
O Dieu !	Ô Dieu !
quelle fut alors mon affliction ?	quelle fut alors mon affliction ?
& quand, à cette diſgrace, il ſe méla encore la peur d’un ſanglier qui eſtoit chaſſé, & qui traverſa en meſme temps cette route preſque ſur les pieds de mon cheval !	et quand, à cette disgrâce, il se mêla encore la peur d’un sanglier qui était chassé, et qui traversa en même temps cette route presque sur les pieds de mon cheval !
Il me ſouvient que malgré toute ma ſurpriſe, je ne laiſſay pas de mettre la main au piſtolet qui me reſtoit, comme pour arreſter cet animal :	Il me souvient que malgré toute ma surprise, je ne laissai pas de mettre la main au pistolet qui me restait, comme pour arrêter cet animal :
Et je diray en paſſant que c’eſt à quoy je veux reconnoiſtre quelquefois le ſang genereux dont je pourrois bien eſtre née.	Et je dirai en passant que c’est à quoi je veux reconnaître quelquefois le sang généreux dont je pourrais bien être née.
Monſieur de Birague qui vit de loin mon action, & qui crût que je n’eſtois là venuë à toute bride, qu’à deſſein d’y rencontrer la beſte au paſſage ;	Monsieur de Birague qui vit de loin mon action, et qui crut que je n’étais là venue à toute bride, qu’à dessein d’y rencontrer la bête au passage ;
fit un grand cry pour me reprocher ma temerité, & s’avançant vers moy au grand galop, me demanda ſi Monſieur de Moliere ſe mocquoit de m’expoſer de la ſorte.	fit un grand cri pour me reprocher ma témérité, et s’avançant vers moi au grand galop, me demanda si Monsieur de Molière se moquait de m’exposer de la sorte.
Mais comme il ne s’imaginoit rien moins que la verité, & que je n’avois pas de temps à perdre ;	Mais comme il ne s’imaginait rien moins que la vérité, et que je n’avais pas de temps à perdre ;
je luy dis, ſans m’amuſer à l’éclaircir d’aucunes choſes, que je le connoiſſois pour un grave Gentil-homme, que j’avois des ſecrets d’importance à luy dire, & que tandis que je luy parlerois il donnât ſeulement avis à Madame de Moliere d’aller trouver ſon mary un peu plus loin où il eſtoit bien bleſſé.	je lui dis, sans m’amuser à l’éclaircir d’aucunes choses, que je le connaissais pour un grave Gentilhomme, que j’avais des secrets d’importance à lui dire, et que tandis que je lui parlerais il donnât seulement avis à Madame de Molière d’aller trouver son mari un peu plus loin où il était bien blessé.
À peine avois-je finy ces paroles qu’elle-meſme nous joignit.	À peine avais-je fini ces paroles qu’elle-même nous joignit.
Sur cette nouvelle elle ſe fit mener ſans retardement vers l’endroit par deux gardes de chaſſe, dont ils eſtoient ſuivis ;	Sur cette nouvelle elle se fit mener sans retardement vers l’endroit par deux gardes de chasse, dont ils étaient suivis ;
Et moy prenant ce temps-là pour dire à ce Gentil-homme que c’eſtoit moy qui avoit fait le coup, je le ſuppliay de me conduire en quelque lieu de ſeureté.	Et moi prenant ce temps-là pour dire à ce Gentilhomme que c’était moi qui avait fait le coup, je le suppliai de me conduire en quelque lieu de sûreté.
Sa ſurpriſe & la penſée que le bleſſé fut mon veritable pere, luy arracherent d’abord quelques reproches qui marquerent l’excés de ſon eſtonnement ;	Sa surprise et la pensée que le blessé fut mon véritable père, lui arrachèrent d’abord quelques reproches qui marquèrent l’excès de son étonnement ;
mais eſtant ennemie de tout ce qui pouvoit alors eſtre inutile :	mais étant ennemie de tout ce qui pouvait alors être inutile :
Il n’eſt pas mon pere, luy repliquay-je avec chagrin, & ce n’eſt pas icy le lieu de vous expliquer ce myſtere.	Il n’est pas mon père, lui répliquai-je avec chagrin, et ce n’est pas ici le lieu de vous expliquer ce mystère.
Si vous avez deſſein de me ſervir ;	Si vous avez dessein de me servir ;
mettez-moy, luy dis-je, encore une fois, en quelque lieu où je ſois en ſeureté, & je vous contenteray aprés ſur toutes les queſtions que vous voudrez me faire.	mettez-moi, lui dis-je, encore une fois, en quelque lieu où je sois en sûreté, et je vous contenterai après sur toutes les questions que vous voudrez me faire.
À ces mots il vit ſon Gentil-homme qui venoit encore au galop derriere luy, & il luy commanda de retourner pour me conduire dans ſon Château de Serſac auprés de la Marquiſe ſa femme, puis il pourſuivit ſon chemin pour rejoindre ſa Maîtreſſe.	À ces mots il vit son Gentilhomme qui venait encore au galop derrière lui, et il lui commanda de retourner pour me conduire dans son Château de Sersac auprès de la Marquise sa femme, puis il poursuivit son chemin pour rejoindre sa Maîtresse.
Elle eſtoit arrivée au lieu fatal, & je ne ſçay pas ſi la maxime du temps eſt veritable, qu’on puiſſe avoir un galant & n’en aimer pas moins ſon mary ;	Elle était arrivée au lieu fatal, et je ne sais pas si la maxime du temps est véritable, qu’on puisse avoir un galant et n’en aimer pas moins son mari ;
mais on me dit qu’il n’y avoit jamais eu de deſolation pareille à celle de la Dame, lors qu’elle vit le ſien couché en terre ſur ſon ſang, & que s’eſtant penchée ſur luy pour le baiſer, il fut preſque impoſſible de l’en ſeparer.	mais on me dit qu’il n’y avait jamais eu de désolation pareille à celle de la Dame, lorsqu’elle vit le sien couché en terre sur son sang, et que s’étant penchée sur lui pour le baiser, il fut presque impossible de l’en séparer.
La médiſance qui n’épargne pas les plus ſaintes actions, ne put à la verité concevoir cét excés d’amour, & publia que c’eſtoit afin qu’on n’euſt pas ſi toſt le moyen d’étancher ſon ſang, & qu’en ayant perdu beaucoup, il en puſt moins réchaper ;	La médisance qui n’épargne pas les plus saintes actions, ne put à la vérité concevoir cet excès d’amour, et publia que c’était afin qu’on n’eût pas sitôt le moyen d’étancher son sang, et qu’en ayant perdu beaucoup, il en pût moins réchapper ;
mais quelque perſecution que cette Dame m’ait fait ſouffrir, & quoy que celà ait pû cauſer effectivement la mort à ſon mary je veux luy faire la juſtice de croire qu’elle fit tout de bonne foy.	mais quelque persécution que cette Dame m’ait fait souffrir, et quoique cela ait pu causer effectivement la mort à son mari je veux lui faire la justice de croire qu’elle fit tout de bonne foi.
On enleva ce pauvre bleſſé avec bien de la peine, & on l’emporta dans le plus prochain Village, pour luy mettre le premier appareil :	On enleva ce pauvre blessé avec bien de la peine, et on l’emporta dans le plus prochain Village, pour lui mettre le premier appareil :
puis on taſcha de luy faire nommer l’autheur de ſa bleſſure.	puis on tâcha de lui faire nommer l’auteur de sa blessure.
Mais en vain on le luy demanda pluſieurs fois, il répondit que c’étoient trois hommes maſquez qui m’avoient voulu enlever ;	Mais en vain on le lui demanda plusieurs fois, il répondit que c’étaient trois hommes masqués qui m’avaient voulu enlever ;
Monſieur de Birague luy meſme, qui eſtant déja inſtruit par moy du principal, & le luy faiſant entendre, en eſperoit ſçavoir tout le ſecret, n’en put jamais tirer autre choſe.	Monsieur de Birague lui-même, qui étant déjà instruit par moi du principal, et le lui faisant entendre, en espérait savoir tout le secret, n’en put jamais tirer autre chose.
Cela fit que l’on ne s’obſtina point d’avantage à le faire parler, & que l’on ſongea ſeulement à le tranſporter dans la Ville.	Cela fit que l’on ne s’obstina point davantage à le faire parler, et que l’on songea seulement à le transporter dans la Ville.
Cependant, Madame, la diſcretion de ce malheureux, ſoit qu’elle fut un effet de honte ou de quelque reſte d’amour, me ſauvoit dans l’opinion de tous ceux à qui je n’avois rien confeſſé, ſi j’avois eu aſſez de force pour oſer paroiſtre aprés le coups ;	Cependant, Madame, la discrétion de ce malheureux, soit qu’elle fut un effet de honte ou de quelque reste d’amour, me sauvait dans l’opinion de tous ceux à qui je n’avais rien confessé, si j’avais eu assez de force pour oser paraître après le coup ;
car le Marquis de Birague me vint dire que tout le monde avoit pris ma fuitte pour un effet de la peur que ces raviſſeurs ſuppoſez m’avoient cauſée & luy-meſme qui appuyoit cette imagination, ne pouvoit penſer autre choſe de l’accident, ſi ce n’eſt que je pouvois avoir bleſſé le Financier en voulant tirer ſur eux ;	car le Marquis de Birague me vint dire que tout le monde avait pris ma fuite pour un effet de la peur que ces ravisseurs supposés m’avaient causée et lui-même qui appuyait cette imagination, ne pouvait penser autre chose de l’accident, si ce n’est que je pouvais avoir blessé le Financier en voulant tirer sur eux ;
mais il arriva un autre malheur qui découvrit bien-toſt le myſtere ;	mais il arriva un autre malheur qui découvrit bientôt le mystère ;
je le diray par ordre à Voſtre Alteſſe.	je le dirai par ordre à Votre Altesse.
J’avois eſté miſe entre les mains de la Marquiſe de Birague, dans le Chaſteau de Serſac, le Marquis vint m’y retrouver, aprés avoir pris le ſoin de mettre auſſi ſa Dame de Moliere en quelque repos.	J’avais été mise entre les mains de la Marquise de Birague, dans le Château de Sersac, le Marquis vint m’y retrouver, après avoir pris le soin de mettre aussi sa Dame de Molière en quelque repos.
Je vous avoüe que je fus touchée quand il m’apprit la conſideration que le bleſſé avoit eu pour moy, & qu’encore que je ne me repentiſſe aucunement d’avoir ſauvé mon honneur au prix de ſa vie, je ne pûs empeſcher quelques larmes de couler d’avoir eſté forcée d’en venir là :	Je vous avoue que je fus touchée quand il m’apprit la considération que le blessé avait eu pour moi, et qu’encore que je ne me repentisse aucunement d’avoir sauvé mon honneur au prix de sa vie, je ne pus empêcher quelques larmes de couler d’avoir été forcée d’en venir là :
Je m’etendis ſur quelques plaintes que je donnay ſur l’heure à l’embaras où j’eſtois, & aprés je racontay bien au long à ce Marquis tout ce qui s’eſtoit paſſé avec l’hiſtoire que le Financier m’avoit faite ce qui le rendit bien eſtonné.	Je m’étendis sur quelques plaintes que je donnai sur l’heure à l’embarras où j’étais, et après je racontai bien au long à ce Marquis tout ce qui s’était passé avec l’histoire que le Financier m’avait faite ce qui le rendit bien étonné.
Il avoit toûjours crû, comme moy & comme tout le monde, que j’eſtois la fille de cét homme ;	Il avait toujours cru, comme moi et comme tout le monde, que j’étais la fille de cet homme ;
& que Madame de Moliere ne luy avoit jamais confié ce ſecret, quoy qu’elle luy confiaſt ſouvent ſa perſonne meſme.	et que Madame de Molière ne lui avait jamais confié ce secret, quoi qu’elle lui confiât souvent sa personne même.
Au reſte la nouveauté de l’aventure m’acquit entierement le Cavalier, & il donna mille loüanges à mon action, au lieu de la blâmer, me fit cent proteſtations de ſervice, & enfin, Madame, il me parla comme un homme qui me trouvoit belle, & qui commençoit à ſçavoir que je n’eſtois plus la fille de ſa Maitreſſe ;	Au reste la nouveauté de l’aventure m’acquit entièrement le Cavalier, et il donna mille louanges à mon action, au lieu de la blâmer, me fit cent protestations de service, et enfin, Madame, il me parla comme un homme qui me trouvait belle, et qui commençait à savoir que je n’étais plus la fille de sa Maîtresse ;
je diray cela ſans luy faire tort.	je dirai cela sans lui faire tort.
Je m’en apperceus bien dés le moment ;	Je m’en aperçus bien dès le moment ;
mais la neceſſité de mettre quelqu’un dans mes intereſts, fit que je ne voulus pas faire un ſecond meurtre pour me venger des eſperances qu’il conceut peut-eſtre alors à mon deſavantage.	mais la nécessité de mettre quelqu’un dans mes intérêts, fit que je ne voulus pas faire un second meurtre pour me venger des espérances qu’il conçut peut-être alors à mon désavantage.
Bien loin de celà, je le remerciay de ſa generoſité ;	Bien loin de cela, je le remerciai de sa générosité ;
j’eus pour luy honeſtement toutes les complaiſances que je pûs ;	j’eus pour lui honnêtement toutes les complaisances que je pus ;
& j’oſeray dire qu’une ſemblable rencontre eſtoit la ſeule qui pouvoit jamais m’accoûtumer à ſouffrir une declaration d’amour ſans colere, tant j’en eſtois ennemie mortelle auparavant.	et j’oserai dire qu’une semblable rencontre était la seule qui pouvait jamais m’accoutumer à souffrir une déclaration d’amour sans colère, tant j’en étais ennemie mortelle auparavant.
Je demeuray deux jours dans ſon château, n’apprenant aucunes nouvelles de la Ville, que ce qu’il m’en envoyoit dire par ſon Gentil-homme ;	Je demeurai deux jours dans son château, n’apprenant aucunes nouvelles de la Ville, que ce qu’il m’en envoyait dire par son Gentilhomme ;
& juſques à ce moment, il n’y avoit eu encore aucun danger pour moy :	et jusqu’à ce moment, il n’y avait eu encore aucun danger pour moi :
au contraire l’opinion que je fuſſe retombée entre les mains des gens maſquez redoubloit le deüil de la maiſon ;	au contraire l’opinion que je fusse retombée entre les mains des gens masqués redoublait le deuil de la maison ;
mais il n’en fut pas de meſme le lendemain que la fiévre avoit fait parler le malade dans ſes réveries, avant qu’il mourut.	mais il n’en fut pas de même le lendemain que la fièvre avait fait parler le malade dans ses rêveries, avant qu’il mourut.
Il avoit preſque tout découvert, & prenant ſa femme pour moy, qu’il demandoit à toute heure, il luy avoit reproché le coup de piſtolet :	Il avait presque tout découvert, et prenant sa femme pour moi, qu’il demandait à toute heure, il lui avait reproché le coup de pistolet :
On avoit compris à quelques autres diſcours interrompus, que c’eſtoit de moy qu’il parloit.	On avait compris à quelques autres discours interrompus, que c’était de moi qu’il parlait.
L’allarme ſe mit auſſi-toſt dans la famille, on ceſſa de me plaindre pour m’accuſer, & avec d’autant plus de violence, que le fils de la maiſon, dont on me croyoit la cadette, eſtoit mort, comme j’ay déjà-dit, & que j’eſtois le ſeul obſtacle qui pouvoit empeſcher les parens du mary d’heriter d’un bien conſiderable.	L’alarme se mit aussitôt dans la famille, on cessa de me plaindre pour m’accuser, et avec d’autant plus de violence, que le fils de la maison, dont on me croyait la cadette, était mort, comme j’ai déjà dit, et que j’étais le seul obstacle qui pouvait empêcher les parents du mari d’hériter d’un bien considérable.
Madame de Moliere elle-meſme, quelque attachement qu’elle eut pour moy, en memoire du Duc qu’elle n’avoit point haï, & par la raiſon de quelques autres engagemens, crut que la bien-ſeance ne luy permettoit plus de me laiſſer paſſer pour ſa fille.	Madame de Molière elle-même, quelque attachement qu’elle eut pour moi, en mémoire du Duc qu’elle n’avait point haï, et par la raison de quelques autres engagements, crut que la bienséance ne lui permettait plus de me laisser passer pour sa fille.
Et peut-eſtre une autre politique luy fit conſiderer qu’elle ſeroit une veufve bien plus propre à remarier, quand on ſçauroit qu’elle n’auroit plus d’enfans ;	Et peut-être une autre politique lui fit considérer qu’elle serait une veuve bien plus propre à remarier, quand on saurait qu’elle n’aurait plus d’enfants ;
Enfin elle s’eſtoit déja reſoluë à me laiſſer perdre.	Enfin elle s’était déjà résolue à me laisser perdre.
Et il n’y avoit rien plus aiſé que de me ruïner.	Et il n’y avait rien plus aisé que de me ruiner.
Monſieur de Candale eſtoit mort dés l’année mil ſix cens cinquanteſept, & ce galant Duc, dont la generoſité ſans doute, n’aimoit pas toûjours l’éclat, ne m’avoit pas fait connoiſtre à beaucoup d’autres gens, que le Financier & ſa femme, de peur, comme je croy, qu’on ne ſceut la charité qu’il avoit euë, en me traitant comme s’il eût eſté mon Pere.	Monsieur de Candale était mort dès l’année mille six cent cinquante-sept, et ce galant Duc, dont la générosité sans doute, n’aimait pas toujours l’éclat, ne m’avait pas fait connaître à beaucoup d’autres gens, que le Financier et sa femme, de peur, comme je crois, qu’on ne sut la charité qu’il avait eue, en me traitant comme s’il eût été mon Père.
Toutefois ma bonne fortune ne m’abandonna pas encore, & Monſieur de Birague qui avoit envie que je luy euſſe beaucoup d’obligation, me rendit de ſi bons ſervices pendant quelques mois, dans cette affaire, & dans une autre qui m’arriva depuis, qu’il donna le temps au meſme hazard qui avoit conduit autrefois le Duc de Candale à la cabanne de ma Nourrice, d’amener encore une puiſſante Dame du fonds de la Flandre, pour prendre ſoin de moy en France, comme ſi elle eut eſté ma mere.	Toutefois ma bonne fortune ne m’abandonna pas encore, et Monsieur de Birague qui avait envie que je lui eusse beaucoup d’obligation, me rendit de si bons services pendant quelques mois, dans cette affaire, et dans une autre qui m’arriva depuis, qu’il donna le temps au même hasard qui avait conduit autrefois le Duc de Candale à la cabane de ma Nourrice, d’amener encore une puissante Dame du fond de la Flandre, pour prendre soin de moi en France, comme si elle eût été ma mère.
Au commencement donc que le ſoupçon fut tombé ſur moy, tout alloit eſtre en feu ;	Au commencement donc que le soupçon fut tombé sur moi, tout allait être en feu ;
mais ce Marquis empeſcha l’orage de ſe former, & il repreſenta à ſa Dame qu’il luy ſeroit plus avantageux par mille raiſons d’intereſts & d’honneur, de me proteger que de me perdre ;	mais ce Marquis empêcha l’orage de se former, et il représenta à sa Dame qu’il lui serait plus avantageux par mille raisons d’intérêts et d’honneur, de me protéger que de me perdre ;
raiſons que les charmes ſenſibles de la perſonne du Cavalier firent trouver ſolides à la belle veufve, ſi elles ne l’eſtoient point en effet.	raisons que les charmes sensibles de la personne du Cavalier firent trouver solides à la belle veuve, si elles ne l’étaient point en effet.
Ainſi aprés quelques jours & quelques aventures forgées, pour excuſer mon abſence & pour pretexter mon retour, Monſieur de Birague me vint annoncer que je pouvois ſortir du Chaſteau de Serſac, ce que je fis, & je m’allay jetter dans une Abbaye de filles à une lieuë de-là.	Ainsi après quelques jours et quelques aventures forgées, pour excuser mon absence et pour prétexter mon retour, Monsieur de Birague me vint annoncer que je pouvais sortir du Château de Sersac, ce que je fis, et je m’allai jeter dans une Abbaye de filles à une lieue de là.
Il ſe ſervit de mille artifices pour m’y venir voir ſouvent ſans en donner de ſoupçon à ſa veufve ;	Il se servit de mille artifices pour m’y venir voir souvent sans en donner de soupçon à sa veuve ;
Et l’hiſtoire meſme n’en ſeroit pas deſagreable, ſi je la racontois ;	Et l’histoire même n’en serait pas désagréable, si je la racontais ;
car comme j’ay déja dit, qu’il avoit un grand fonds ſur les obligations que je pourrois luy avoir avec le temps, il ne perdit aucune occaſion de me faire connoiſtre qu’il n’aimoit plus la Dame de Moliere, que pour meriter d’eſtre aimé de moy, en ménageant auprés d’elle, par ce moyen que toutes les choſes que j’avois à craindre, demeuraſſent étouffées à jamais ;	car comme j’ai déjà dit, qu’il avait un grand fonds sur les obligations que je pourrais lui avoir avec le temps, il ne perdit aucune occasion de me faire connaître qu’il n’aimait plus la Dame de Molière, que pour mériter d’être aimé de moi, en ménageant auprès d’elle, par ce moyen que toutes les choses que j’avais à craindre, demeurassent étouffées à jamais ;
il m’écrivit meſme quelquesfois des Lettres ſi plaiſantes là-deſſus, quand il n’avoit point de pretexte pour me viſiter ;	il m’écrivit même quelquefois des Lettres si plaisantes là-dessus, quand il n’avait point de prétexte pour me visiter ;
que Madame l’Abbeſſe, avec qui j’avois contracté une étroite amitié, en partageoit avec moy le plus agreable divertiſſement du monde ;	que Madame l’Abbesse, avec qui j’avais contracté une étroite amitié, en partageait avec moi le plus agréable divertissement du monde ;
ſur tout lors qu’il nous mandoit que le chagrin que luy cauſoit mon indifference, luy attiroit des tendreſſes incroyables de ſa veufve, qui en faiſoit l’application à un redoublement d’amour qu’il avoit pour elle ;	surtout lorsqu’il nous mandait que le chagrin que lui causait mon indifférence, lui attirait des tendresses incroyables de sa veuve, qui en faisait l’application à un redoublement d’amour qu’il avait pour elle ;
mais il faut paſſer outre, & dire ſeulement que je me perdis moy-meſme, par la folie que j’eus de complaire à cette Abbeſſe badine, qui avoit voulu que je luy fiſſe une réponſe.	mais il faut passer outre, et dire seulement que je me perdis moi-même, par la folie que j’eus de complaire à cette Abbesse badine, qui avait voulu que je lui fisse une réponse.
Ma lettre tomba je ne ſçay comment entre les mains de cette veufve.	Ma lettre tomba je ne sais comment entre les mains de cette veuve.
Elle reconnut en la liſant qu’elle avoit eu pitié d’une langueur dont elle n’eſtoit point coupable :	Elle reconnut en la lisant qu’elle avait eu pitié d’une langueur dont elle n’était point coupable :
Cette connoiſſance la mit en fureur, ſa jalouſie jura ma perte, & enfin elle ſe reſolut à punir ſon infidelle, en réveillant mon affaire qu’elle avoit aſſoupie.	Cette connaissance la mit en fureur, sa jalousie jura ma perte, et enfin elle se résolut à punir son infidèle, en réveillant mon affaire qu’elle avait assoupie.
Il eut beau luy apporter des raiſons pour l’appaiſer, & pour luy oſter de l’eſprit qu’il m’aimaſt ſi fort ;	Il eut beau lui apporter des raisons pour l’apaiser, et pour lui ôter de l’esprit qu’il m’aimât si fort ;
Elle avoit eu la force de diſſimuler ſon déplaiſir juſques à ce qu’elle eut ſurpris la réponſe qu’il me feroit, & elle eſtoit bien pire que ma lettre :	Elle avait eu la force de dissimuler son déplaisir jusqu’à ce qu’elle eut surpris la réponse qu’il me ferait, et elle était bien pire que ma lettre :
Il y avoit des railleries ſanglantes contre elle, qu’il y traittoit de plaiſante dupe, toute ſon amour fut convertie en une impatience extréme de ſe venger ;	Il y avait des railleries sanglantes contre elle, qu’il y traitait de plaisante dupe, toute son amour fut convertie en une impatience extrême de se venger ;
& pour y parvenir elle commença à publier le ſecret de ma naiſſance, & à donner des preuves que je n’eſtois point ſa fille ny celle de ſon mary.	et pour y parvenir elle commença à publier le secret de ma naissance, et à donner des preuves que je n’étais point sa fille ni celle de son mari.
La nouveauté de l’hiſtoire fit auſſi-toſt un grand bruit dans la Ville, les parents du mort ſe raſſemblerent pour deliberer des moyens de me détruire, & tout ce que Monſieur de Birague pût faire pour moy en cet allarme, fut de monter promptement à cheval, & avant qu’on eut pû ſonger à s’aſſurer de ma perſonne, de s’en aſſurer luy-meſme ;	La nouveauté de l’histoire fit aussitôt un grand bruit dans la Ville, les parents du mort se rassemblèrent pour délibérer des moyens de me détruire, et tout ce que Monsieur de Birague pût faire pour moi en cet alarme, fut de monter promptement à cheval, et avant qu’on eût pu songer à s’assurer de ma personne, de s’en assurer lui-même ;
il m’alla cacher dans une maiſon forte de Madame la Comteſſe d’Engleſac, ſœur de mon Abbeſſe, qui n’eſtoit éloignée du Convent que d’une petite demy lieuë.	il m’alla cacher dans une maison forte de Madame la Comtesse d’Englesac, sœur de mon Abbesse, qui n’était éloignée du Couvent que d’une petite demi-lieue.
Madame d’Engleſac eſt une veufve d’une haute vertu, & méme dans la devotion, quoy qu’elle ait l’humeur magnifique, & qu’elle aime à vivre avec ſes amis dans toutes ſortes d’honeſtes plaiſirs.	Madame d’Englesac est une veuve d’une haute vertu, et même dans la dévotion, quoi qu’elle ait l’humeur magnifique, et qu’elle aime à vivre avec ses amis dans toutes sortes d’honnêtes plaisirs.
Elle avoit alors deux de ſes filles auprés d’elle, & un fils le Chevalier le plus accomply du Royaume, les yeux beaux, la bouche plus belle ;	Elle avait alors deux de ses filles auprès d’elle, et un fils le Chevalier le plus accompli du Royaume, les yeux beaux, la bouche plus belle ;
un air de grandeur, la taille libre, haute & majeſtueuſe, une adreſſe incomparable à toutes choſes, un eſprit galant, une ame de Prince, & une valeur de Heros, ſont les moindres loüanges que je puis donner à ce Gentil-homme :	un air de grandeur, la taille libre, haute et majestueuse, une adresse incomparable à toutes choses, un esprit galant, une âme de Prince, et une valeur de Héros, sont les moindres louanges que je puis donner à ce Gentilhomme :
Que Vôtre Alteſſe me le pardonne il me fut aſſez cher pour meriter bien d’autres emportemens, & c’eſt celuy qui doit avoir la meilleur part à toutes les choſes dont j’ay à parler dans la ſuite de ce recit.	Que Votre Altesse me le pardonne il me fut assez cher pour mériter bien d’autres emportements, et c’est celui qui doit avoir la meilleur part à toutes les choses dont j’ai à parler dans la suite de ce récit.
Je receus dans cette maiſon toutes ſortes de ſecours & de bons traitemens, durant la plus chaude perſecution de mes ennemis ;	Je reçus dans cette maison toutes sortes de secours et de bons traitements, durant la plus chaude persécution de mes ennemis ;
Et tous ceux de cette famille ſe firent un honneur de me proteger dans une diſgrace ſi peu ordinaire, qu’ils nommoient l’effet d’une action heroïque, plûtoſt que d’un laſche aſſaſſinat, comme la Dame de Moliere le diſoit par tout ;	Et tous ceux de cette famille se firent un honneur de me protéger dans une disgrâce si peu ordinaire, qu’ils nommaient l’effet d’une action héroïque, plutôt que d’un lâche assassinat, comme la Dame de Molière le disait partout ;
Et enfin la Cour eſtant pour lors en Provence, ils m’obtinrent ma grace du Roy, avec toute ſorte d’avantages contre mes parties.	Et enfin la Cour étant pour lors en Provence, ils m’obtinrent ma grâce du Roi, avec toute sorte d’avantages contre mes parties.
Mais la fortune qui n’avoit pas deſſein que je fuſſe long-temps ſans traverſes, afin d’avoir ſouvent le plaiſir de m’en relever, ne laiſſa point durer cette faveur.	Mais la fortune qui n’avait pas dessein que je fusse longtemps sans traverses, afin d’avoir souvent le plaisir de m’en relever, ne laissa point durer cette faveur.
Birague qui m’en vouloit tout de bon, & qui eſtoit amy particulier du fils de Madame d’Engleſac, luy parla ſi ſouvent de moy, & du plaiſir qu’il y auroit à en eſtre aimé, que ce jeune Cavalier le crut, & me regarda pour luy-meſme.	Birague qui m’en voulait tout de bon, et qui était ami particulier du fils de Madame d’Englesac, lui parla si souvent de moi, et du plaisir qu’il y aurait à en être aimé, que ce jeune Cavalier le crut, et me regarda pour lui-même.
Ses yeux m’en parlerent, je n’y fus pas inſenſible ;	Ses yeux m’en parlèrent, je n’y fus pas insensible ;
& je puis l’avoüer ſans rougir, puiſque j’en ſeray juſtifiée par la ſuitte.	et je puis l’avouer sans rougir, puisque j’en serai justifiée par la suite.
Birague s’en apperceut, & en devint jaloux ;	Birague s’en aperçut, et en devint jaloux ;
mais je dis jaloux à ne vouloir rien ménager pour me punir de luy avoir preferé ce Gentil-homme.	mais je dis jaloux à ne vouloir rien ménager pour me punir de lui avoir préferé ce Gentilhomme.
Et je l’en excuſe bien ;	Et je l’en excuse bien ;
un Amant qui perd n’eſt pas obligé d’en uſer plus civilement.	un Amant qui perd n’est pas obligé d’en user plus civilement.
Il fit connoiſtre ſous main à la Comteſſe les amours de ſon fils, & quelles dangereuſes ſuites elles pourroient avoir.	Il fit connaître sous main à la Comtesse les amours de son fils, et quelles dangereuses suites elles pourraient avoir.
La Dame qui avoit de l’ambition, & avec juſtice (leur famille eſt une des plus nobleſ & des plus riches du Royaume,) ne s’endormit point y donner ordre ;	La Dame qui avait de l’ambition, et avec justice (leur famille est une des plus nobles et des plus riches du Royaume,) ne s’endormit point y donner ordre ;
Elle me tira un jour dans ſon Cabinet pour m’en parler, & aprés m’avoir remontré avec beaucoup de douceur, qu’elle me croyoit trop ſage pour conſentir jamais à la moindre faute, & trop reconnoiſſante auſſi, pour vouloir profiter du fol amour de ſon fils ;	Elle me tira un jour dans son Cabinet pour m’en parler, et après m’avoir remontré avec beaucoup de douceur, qu’elle me croyait trop sage pour consentir jamais à la moindre faute, et trop reconnaissante aussi, pour vouloir profiter du fol amour de son fils ;
elle me pria de luy oſter ſi bien toute eſperance, qu’il quittaſt le deſſein où elle ſçavoit qu’il s’eſtoit embarqué.	elle me pria de lui ôter si bien toute espérance, qu’il quittât le dessein où elle savait qu’il s’était embarqué.
Et ne ſoyez point faſchée, me dit-elle voyant que ſon diſcours m’avoit fait rougir ;	Et ne soyez point fâchée, me dit-elle voyant que son discours m’avait fait rougir ;
de ce que je vous parle avec cette franchiſe :	de ce que je vous parle avec cette franchise :
c’eſt que je vous aime infiniment, & que je ſerois inconſolable, ſi par faute de vous en avoir avertie, vous vous eſtiez engagée dans une choſe qui me donnât lieu de vous éloigner de moy, & de me plaindre de vous.	c’est que je vous aime infiniment, et que je serais inconsolable, si par faute de vous en avoir avertie, vous vous étiez engagée dans une chose qui me donnât lieu de vous éloigner de moi, et de me plaindre de vous.
Une douleur ſecrete, qui avoit ſuccedé à ma rougeur, m’avoit fait tenir les yeux toûjours beſſez juſques à ce qu’elle eut finy ſon diſcours.	Une douleur secrète, qui avait succédé à ma rougeur, m’avait fait tenir les yeux toujours baissés jusqu’à ce qu’elle eut fini son discours.
