A MONSIEUR DE MONTORON.	A MONSIEUR DE MONTORON.
La raison règle en fin l'ardeur qui les emporte, Maxime et la moitié s'assurent de la porte, L'autre moitié me suit et doit l'environner, Prête au moindre signal que je voudray donner.	La raison règle en fin l'ardeur qui les emporte, Maxime et la moitié s'assurent de la porte, L'autre moitié me suit et doit l'environner, Prête au moindre signal que je voudrai donner.
Voila, belle Æmilie, à quel point nous en sommes.	Voila, belle ÉMILIE, à quel point nous en sommes.
Demain j'attens la haine, ou la faveur des hommes, Le non de parricide, ou de libérateur, César celui de Prince, ou bien d'usurpateur.	Demain j'attends la haine, ou la faveur des hommes, Le non de parricide, ou de libérateur, César celui de Prince, ou bien d'usurpateur.
Du succez, qu'on obtient contre la tyrannie Dépend ou nostre gloire, ou nostre ignominie, 	Du succès, qu'on obtient contre la tyrannie Dépend ou notre gloire, ou notre ignominie, 
Et le peuple inégal à l'endroit des tyrans, S'il les deteste morts, les adore vivans.	Et le peuple inégal à l'endroit des tyrans, S'il les déteste morts, les adore vivants.
Pour moi, soit que le Ciel me soit dur ou propice, Qu'il m'éleue à la gloire, ou me livre au supplice, Que Rome se déclare, ou pour, ou contre nous, Mourant pour vous servir tout me semblera doux. ÆMILIE.	Pour moi, soit que le Ciel me soit dur ou propice, Qu'il m'élève à la gloire, ou me livre au supplice, Que Rome se déclare, ou pour, ou contre nous, Mourant pour vous servir tout me semblera doux. ÉMILIE.
Ne crain point de succez, qui soüille ta mémoire, Le bon et le mauvais sont égaux pour ta gloire, 	Ne crains point de succès, qui souille ta mémoire, Le bon et le mauvais sont égaux pour ta gloire, 
Et dans un tel dessein le manque de bonheur Met en péril ta vie et non pas ton honneur.	Et dans un tel dessein le manque de bonheur Met en péril ta vie et non pas ton honneur.
Regarde le malheur de Brute et de Cassie, La splendeur de leurs noms en est-elle obsscurcie?	Regarde le malheur de Brute et de Cassie, La splendeur de leurs noms en est-elle obscurcie?
Ont-ils perdu celui de derniers des Romains?	Ont-ils perdu celui de derniers des Romains?
Et sont-ils morts entiers avecque leurs desseins?	Et sont-ils morts entiers avecque leurs desseins?
Leur mémoire dans Rome est encor précieuse Autant que de César la vie est odieuse:	Leur mémoire dans Rome est encor précieuse Autant que de César la vie est odieuse:
Si leur vainqueur y règne, ils y sont regrettez, 	Si leur vainqueur y règne, ils y sont regrettez, 
Et par les vœux de tous leurs pareils souhaitez.	Et par les vœux de tous leurs pareils souhaitez.
Va marcher sur leurs pas où l'honneur te convie, Mais ne pers pas le soin de conseruer ta vie, Souviens-toi du beau feu dont nour sommes épris,	Va marcher sur leurs pas où l'honneur te convie, Mais ne pers pas le soin de conserver ta vie, Souviens-toi du beau feu dont nous sommes épris,
Qu'aussi bien que la gloire Æmilie est ton prix, Que tu me dois ton cœur, que mes faveurs t'attendent, Que tes jours me sont chers, que les miens en dependent, 	Qu'aussi bien que la gloire ÉMILIE est ton prix, Que tu me dois ton cœur, que mes faveurs t'attendent, Que tes jours me sont chers, que les miens en dependent, 
Et que...	Et que...
Mais quel sujet méne Euandre vers nous?	Mais quel sujet mène Évandre vers nous?
