AV LECTEVR. 	AU LECTEUR.
Pour Neptune eſt mon onde déſignee;	Pour Neptune est mon onde désignée;
Or doit de toy, ſi tu luy es benin, Bon conducteur de telle deſtinee, Prendre ſon heur mon entrepris chemin. 	Or doit de toi, si tu lui es bénin, Bon conducteur de telle destinée, Prendre son heur mon entrepris chemin.
B Aſtres naurez, Paſtorelles bleſſees, P Ie veux marcher, car le iour eſt venu:	B Astres navrés, Pastourelles blessées, P Je veux marcher, car le jour est venu:
Sus, deuant moy iettez menu menu, Fleurs, roſes, lys, lauandes & penſees. 	Sus, devant moi jetez menu menu, Fleurs, roses, lys, lavandes et pensées .
Force chanſons:	Force chansons:
Que vos voix ſoient hauſſees Sur mon chemin, & me ſoit maintenu Ce train gaillard, iuſques au ſoir chenu, 	Que vos voix soient haussées Sur mon chemin, et me soit maintenu Ce train gaillard, jusques au soir chenu,
Et du Soleil les carieres laſſees, Lors taiſez-vous, car il faut repoſer. 	Et du Soleil les carrières lassées, Lors taisez-vous, car il faut reposer.
Mais qui ſeroit ſi hardy que d'oſer S’armer veillant contre le morne ſomme?	Mais qui serait si hardi que d'oser S'armer veillant contre le morne somme?
Il me ſouuient du contraſt qu’vne nuict I'eu contre luy voulant veiller, & comme Le lendemain mon œil s'en repentit	Il me souvient du contrat qu'une nuit J'eu contre lui voulant veiller, et comme Le lendemain mon œil s'en repentit
C Q Vi va laſſer trop ſuperſtitieux Ses pieds poudreux d'vn long pelerinage, Qui se hazarde au danger d'vn voyage Pour des threſors qui ne valent pas mieux:	C QUi va lasser trop superstitieux Ses pieds poudreux d'un long pèlerinage, Qui se hasarde au danger d'un voyage Pour des trésors qui ne valent pas mieux:
Qui grand vanteur viſitera maints lieux Pour s'en brauer & valoir dauantage;	Qui grand vanteur visitera maints lieux Pour s'en braver et valoir davantage;
Qui plein de ſang, & de guerre, & d'outrage Au loin ira tout remplir de ſes feux:	Qui plein de sang, et de guerre, et d'outrage Au loin ira tout remplir de ses feux:
Or quant à moy, la ſuperſtition, Le gain, la gloire, & moins l'ambition De ſuyure Mars, ne m'induit, ne me meine. 	Or quant à moi, la superstition, Le gain, la gloire, et moins l'ambition De suivre Mars, ne m'induit, ne me mène.
Tant ſeulement le deſir, qui iadis Fit voyager Homere & tous les fils Du Delien, auiourd'huy me promeine	Tant seulement le désir, qui jadis Fit voyager Homère et tous les fils Du Délien, aujourd'hui me promène
D H Ier au ſoir ſous leur vilaine bouë Ne firent rien les paiſans Lyciens Que me faſcher, plus importuns que chiens, En mon ſommeil par leur bourbeuſe mouë:	D HIer au soir sous leur vilaine boue Ne firent rien les paysans Lyciens Que me fâcher, plus importuns que chiens, En mon sommeil par leur bourbeuse moue:
Prophetes ſeurs pour l’aube qui ſe iouë 	Prophètes sœurs pour l'aube qui se joue
Et claire & nette ez lieux olympiens, Car en ſon ris & poils ambroſiens Sur mon chemin ſeraine elle ſe rouë. 	Et claire et nette ès lieux olympiens, Car en son ris et poils ambrosiens Sur mon chemin sereine elle se roue.
Gente maiſtreſſe au griſaſtre Tithon Amene-moy le pere à Phaëton Autant ſerain que iaunaſtre eſt ta treſſe Ainſi au ſoir retournant en ton lict, Le puiſſes-tu, tant longue ſoit la nuict, Trouuer remis en ſa verte ieuneſſe. 	Gente maîtresse au grisâtre Tithon Amène-moi le père à Phaéton Autant serein que jaunâtre est ta tresse Ainsi au soir retournant en ton lit, Le puisses-tu, tant longue soit la nuit, Trouver remis en sa verte jeunesse.
E S Ans ton rayon la nuict au loing chaſſant, Ardant Tithon, qui chaud adouciſſoit Son matin frais, ton los qui ſaiſiſſoit Mon luth pançu ſuccomboit impuiſſant:	E SAns ton rayon la nuit au loin chassant, Ardant Tithon, qui chaud adoucissait Son matin frais, ton lot qui saisissait Mon luth pansu succombait impuissant:
Car ſon frimas ſur ma main amaſſant Vn froid cuiſant, quand mon doigt ſurpinçoit Son doux boyau, qui ton los prononçoit, Nous fit faillir vn matin tranßiſſant. 	Car son frimas sur ma main amassant Un froid cuisant, quand mon doigt surpinçait Son doux boyau, qui ton lot prononçait, Nous fit faillir un matin transissant.
Mais tout à coup ton rayon nous a fait Du chaud haſtif iouïr tout à ſouhait, Donnant ma main à ſon plaiſir obmis, Mon doigt au luth confus auparauant, Ma voix au chant qui la va pourſuiuant. 	Mais tout à coup ton rayon nous a fait Du chaud hâtif jouir tout à souhait, Donnant ma main à son plaisir omis, Mon doigt au luth confus auparavant, Ma voix au chant qui la va poursuivant.
Mon pas au train à mon trauail promis. 	Mon pas au train à mon travail promis.
F R Oßignolet, qui ſous les pleurs d’Aurore Va degoiſant tes regrets douloureux, Sens-tu touſiours de ton fort rigoureux Le deſplaiſir qui ton ame deuore?	F ROssignolet, qui sous les pleurs d'Aurore Va dégoisant tes regrets douloureux, Sens-tu toujours de ton fort rigoureux Le déplaisir qui ton âme dévore?
Si tu le ſens, & tu te plainds encore Au ſouuenir de ce tort malheureux, Ie te ſupply, lamentons-nous tous deux Sous ce laurier, qui ce iardin decore. 	Si tu le sens, et tu te plains encore Au souvenir de ce tort malheureux, Je te supplie, lamentons-nous tous deux Sous ce laurier, qui ce jardin décore.
Tu te plaindras de ton honneur oſté, Ie pleureray ma douce liberté:	Tu te plaindras de ton honneur ôté, Je pleurerai ma douce liberté:
Tu blaſmeras l'iniure violente De ton tyran, ie gemiray du tort Que ie reçoy d'vn bel œil qui me tente Si doucement, qu’il me meine à la mort,	Tu blâmeras l'injure violente De ton tyran, je gémirai du tort Que je reçois d'un bel œil qui me tente Si doucement, qu'il me mène à la mort,
G D E tant de pleurs ces prez raieuniſſans Ne moüillent point leur verte couuerture, Que de trauaux en ce chemin i’endure Pour deux beaux yeux mes yeux esblouïſſans. 	G DE tant de pleurs ces prés rajeunissants Ne mouillent point leur verte couverture, Que de travaux en ce chemin j'endure Pour deux beaux yeux mes yeux éblouissants.
De tant de vents ces tourbillons croiſſans, N'ont point ſoufflé ceſte foreſt obſcure, Que de ſouſpirs pour vne abſence dure, Sont auiourd'huy de mes poulmons iſſans. 	De tant de vents ces tourbillons croissants, N'ont point soufflé cette forêt obscure, Que de soupirs pour une absence dure, Sont aujourd'hui de mes poumons issant.
Helas!	Hélas!
deceu i’auois quelque eſperance, Penſant, penſant en fuyant ſa preſence, Que ie fuirois quant & quant ſa priſon. 	déçu j'avais quelque espérance, Pensant, pensant en fuyant sa présence, Que je fuirais quant et quant sa prison.
Mais à mon mal i’eſpreuue le contraire, Sentant, tant plus ie ſuy pour m’en diſtraire, Tant plus en moy s'embraſer mon tiſon. 	Mais à mon mal j'éprouve le contraire, Sentant, tant plus je suis pour m'en distraire, Tant plus en moi s'embraser mon tison.
H L E beau pays, qui t’a, muſe m’amie, Donné renom, ores s’en va laiſſé:	H LE beau pays, qui t'a, muse m'amie, Donné renom, ores s'en va laissé:
Mais pour auoir tant de pays paſſé, Ne ſois pourtant laſſe ny endormie. 	Mais pour avoir tant de pays passé, Ne sois pourtant lasse ni endormie.
Eſcoute vn peu. 	Écoute un peu.
Entens-tu bien que crie Ce bergerot dans ce pré tapiſſé?	Entends-tu bien que crie Ce bergerot dans ce pré tapissé?
Il ſe complainct, ainſi que moy bleſſé, De la rigueur de ſa douce ennemie. 	Il se complaint, ainsi que moi blessé, De la rigueur de sa douce ennemie.
Il eſt tout ſeul, & nul ne luy reſpond Que l’entr'ouuert de ce cauerneux fond, A ſa douleur ce luy ſemble allegeance. 	Il est tout seul, et nul ne lui répond Que l'entr'ouvert de ce caverneux fond, À sa douleur ce lui semble allégeance.
Et qu’ay-ie mieux?	Et qu'ai-je mieux?
ſi ay, car i'ay du moins Muſe, ces vers qui me ſeront teſmoins A l’aduenir, de ma perſeuerance. 	si ai, car j'ai du moins Muse, ces vers qui me seront témoins À l'avenir, de ma persévérance.
I C Ourons, courons, ceſte race de verre Me va, me va par trop eſpouuentant:	I COurons, courons, cette race de verre Me va, me va par trop épouvantant:
Paſſons-la toſt, Muſe, car on m’entend Pas vn ſeul mot de leur bruſque tonnerre. 	Passons-là tôt, Muse, car on m'entend Pas un seul mot de leur brusque tonnerre.
Ces grands carrous me font par trop la guerre, Tout leur esbat eſt d’aualer d’autant:	Ces grands carrous me font par trop la guerre, Tout leur ébat est d'avaler d'autant:
Les refuſer, c’eſt preſque tout autant Que rauager l’alteré de leur terre. 	Les refuser, c'est presque tout autant Que ravager l'altéré de leur terre.
Sont bonnes gens, bon leur gouuernement, Bon leur eſtat, on ne peut bonnement Que les loüer, leur façon eſt fort bonne:	Sont bonnes gens, bon leur gouvernement, Bon leur état, on ne peut bonnement Que les louer, leur façon est fort bonne:
Braues ſoldats, en la guerre tres-bons:	Braves soldats, en la guerre très bons:
Sucçans enfans le teton de Bellone;	Suçants enfants le téton de Bellone;
Et hommes grands, les pots & les flaſcons. 	Et hommes grands, les pots et les flacons.
K V Iença berger, ceſte bergere belle Eſt-ce ta ſœur, ou ſi c'eſt autrement?	K VIens çà berger, cette bergère belle Est-ce ta sœur, ou si c'est autrement?
(Il n’entend pas.) Son gentil inſtrument S’accorde-il auec ta chalumelle?	(Il n'entend pas.) Son gentil instrument S'accorde-il avec ta chalumelle?
Mais, par ta foy, te plais-tu auec elle, Elle auec toy?	Mais, par ta foi, te plais-tu avec elle, Elle avec toi?
vien-ça, dy moy comment L'heur t'en uoulut, lors que premierement Elle ſe fit ta compagne fidelle?	viens-ça, dis-moi comment L'heur t'en voulut, lors que premièrement Elle se fit ta compagne fidèle?
Et puis, où ſut-ce?	Et puis, où sut-ce?
Et y a-il long temps?	Et y a-il longtemps?
Et du depuis les gentils paſſetemps Des amoureux ont-ils tenté voſtre ame ?	Et du depuis les gentils passe-temps Des amoureux ont-ils tenté votre âme?
Il n'entend pas. 	Il n'entend pas.
Va, que tu es heureux. 	Va, que tu es heureux.
Pleuſt au deſtin que i'euſſe icy ma dame, Pour acheuer ainſi nos iours tous deux. 	Plût au destin que j'eusse ici ma dame, Pour achever ainsi nos jours tous deux.
L C 'Eſt bien monté. 	L C'Est bien monté.
Ceſte ſente bizerre Nous menera, que ie croy, iuſqu’aux Dieux. 	Cette sente bizarre Nous mènera, que je crois, jusqu'aux Dieux.
Nous pourrions bien par trop audacieux Sur noſtre teſte vne infortune acquerre. 	Nous pourrions bien par trop audacieux Sur notre tête une infortune acquerre.
Non, Iupiter, ce n’eſt pour faire guerre A ton Empire & ſiege spatieux, Comme faisoient ce ſots, qui de tes cieux Deſſus leur chef tirerent ton tonnerre. 	Non, Jupiter, ce n'est pour faire guerre À ton Empire et siège spacieux, Comme faisaient ce sots, qui de tes cieux Dessus leur chef tirèrent ton tonnerre.
Encore vn peu, bien toſt nous atteindrons Ceſte caßine, & puis nous deſcendrons Continuans noſtre entrepris voyage. 	Encore un peu, bientôt nous atteindrons Cette cassine, et puis nous descendrons Continuant notre entrepris voyage.
Nous y voicy. 	Nous y voici.
Or pere Iupiter, En deſcendant außi bien qu’au monter, Iette ſur nous ton gratieux visage.	Or père Jupiter, En descendant aussi bien qu'au monter, Jette sur nous ton gracieux visage.
