PRÉFACE. 	PRÉFACE. 
LES Feuilles de la Vigne, du Peuplier, du Noyer & du Coudrier, qui ont pompé l’Eau par leur Pédicule, ont ſurvécu à celles qui l’ont tirée par leur Surface ſupérieure. 	LES Feuilles de la Vigne, du Peuplier, du Noyer et du Coudrier, qui ont pompé l'Eau par leur Pédicule, ont survécu à celles qui l'ont tirée par leur Surface supérieure. 
Au reſte, on juge aiſément que les Expériences dont je viens de donner le précis, ſont de nature à varier beaucoup quand on les repétera. 	Au reste, on juge aisément que les Expériences dont je viens de donner le précis, sont de nature à varier beaucoup quand on les repétera. 
Mille circonſtances peuvent contribuer à ces variétés;	Mille circonstances peuvent contribuer à ces variétés;
la température de l'Air, l'état actuel des Feuilles, leur eſpèce, leur âge, leur tiſſu, leur conſiſtence, leur grandeur, le plus ou le moins d'exactitude de l’Obſervateur, &c. 	la température de l'Air, l'état actuel des Feuilles, leur espèce, leur âge, leur tissu, leur consistence, leur grandeur, le plus ou le moins d'exactitude de l'Observateur, etc. 
Mais quelle que ſoit l’efficace de ces différentes circonſtances, je me perſuade cependant qu’on n'aura pas des Réſultats directement oppoſés aux miens. 	Mais quelle que soit l'efficace de ces différentes circonstances, je me persuade cependant qu'on n'aura pas des Résultats directement opposés aux miens. 
Je me fonde principalement ſur ce qu’aïant repété pluſieurs de mes premières Expériences, les Réſultats n’ont pas varié d’une manière ſenſible. 	Je me fonde principalement sur ce qu'ayant repété plusieurs de mes premières Expériences, les Résultats n'ont pas varié d'une manière sensible. 
Le Lilac, la Vigne, le Meurier blanc, le Soleil, la grande Maulve, le Bouillon blanc, m'en fourniroient des exemples. 	Le Lilac, la Vigne, le Meurier blanc, le Soleil, la grande Mauve, le Bouillon WARNING blanc, m'en fourniraient des exemples. 
VIl. 	VIl.  WARNING
TOUTES les Expériences précedentes ont été faites ſur des Feuilles qui avoient atteint leur parfait accroiſſement, ou qui n’en étoient pas éloignées. 	TOUTES les Expériences précedentes ont été faites sur des Feuilles qui avaient atteint leur parfait accroissement, ou qui n'en étaient pas éloignées. 
Les Feuilles de grandeur moyenne, & ſur-tout celles qui ſont fort petites, humectées les unes & les autres dans leur Surfuce inférieure, ne ſe conſervent pas vertes auſſi longtems que les grandes Feuilles de même Eſpèce, humectées dans la même Surface. 	Les Feuilles de grandeur moyenne, et surtout celles qui sont fort petites, humectées les unes et les autres dans leur Surfuce WARNING inférieure, ne se conservent pas vertes aussi longtemps que les grandes Feuilles de même Espèce, humectées dans la même Surface. 
Des Feuilles de Vigne, de 3 pouces de longueur ſur 4 pouces de largeur, miſes en Expérience de cette manière, ont vécu 15 jours. 	Des Feuilles de Vigne, de 3 pouces de longueur sur 4 pouces de largeur, mises en Expérience de cette manière, ont vécu 15 jours. 
D'autres qui n’avoient que 8 à 10 lignes, & qui touchoient l'Eau par leur Surface inférieure, ont paſſé en 5 jours. 	D'autres qui n'avaient que 8 à 10 lignes, et qui touchoient l'Eau par leur Surface inférieure, ont passé en 5 jours. 
LES Feuilles de grandeur moyenne, poſées ſur l’Eau par leur Surface ſupérieure, vivent au contraire plus longtems que les grandes Feuilles de même Eſpèce, humectées dans cette Surface. 	LES Feuilles de grandeur moyenne, posées sur l'Eau par leur Surface supérieure, vivent au contraire plus longtemps que les grandes Feuilles de même Espèce, humectées dans cette Surface. 
De grandes Feuilles de Vigne n’ont vécu ainſi que 2 ou 3 jours, pendant que des Feuilles de même Eſpèce, mais de grandeur moyenne, ont vécu environ un mois. 	De grandes Feuilles de Vigne n'ont vécu ainsi que 2 ou 3 jours, pendant que des Feuilles de même Espèce, mais de grandeur moyenne, ont vécu environ un mois. 
IL en eſt de même des Feuilles qui pompent l'Eau par l’extrémité de leur Pédicule. 	IL en est de même des Feuilles qui pompent l'Eau par l'extrémité de leur Pédicule. 
Celles qui ſont parvenues à leur parfait accroiſſement, paſſent beaucoup plus vite que celles qui en ſont encore éloignées. 	Celles qui sont parvenues à leur parfait accroissement, passent beaucoup plus vite que celles qui en sont encore éloignées. 
J’ai vérifié ces différentes Expériences. 	J'ai vérifié ces différentes Expériences. 
Il s’agiroit de les étendre à d’autres Eſpèces. 	Il s'agirait de les étendre à d'autres Espèces. 
A prendre ici l’Analogie pour guide, il y auroit lieu de penſer qu’il en eſt, à cet égard, des Feuilles de la plûpart des Arbres & des Arbriſſeaux, comme de celles de la Vigne. 	À prendre ici l'Analogie pour guide, il y aurait lieu de penser qu'il en est, à cet égard, des Feuilles de la plupart des Arbres et des Arbrisseaux, comme de celles de la Vigne. 
Mais c’eſt une réflexion à laquelle j’aurai occaſion de revenir. 	Mais c'est une réflexion à laquelle j'aurai occasion de revenir. 
QUOIQU'IL en ſoit, on voit par ces Expériences, combien il importoit que je fiſſe remarquer, que celles dont j’ai donné les Réſultats, (V, VI.) ont été faites ſur des Feuilles qui avoient atteint, ou à-peu-près, l’âge de maturité. 	QUOIQU'IL en soit, on voit par ces Expériences, combien il importait que je fisse remarquer, que celles dont j'ai donné les Résultats, (V, VI.) ont été faites sur des Feuilles qui avaient atteint, ou à-peu-près, l'âge de maturité. 
Ceux qui auroient repété les mêmes Expériences ſur de jeunes Feuilles, auroient été ſurpris de trouver des Réſultats ſi contraires à ceux que j'ai donné dans l'Article précedent. 	Ceux qui auraient repété les mêmes Expériences sur de jeunes Feuilles, auraient été surpris de trouver des Résultats si contraires à ceux que j'ai donné dans l'Article précédent. 
VIIl. 	VIIl. WARNING
LE tiſſu, liſſe, délicat & uniforme des Feuilles des Fleurs, indique aſſez qu’elles n’ont pas préciſément les mêmes fonctions que celles des autres Feuilles de la Plante (II. ). 	LE tissu, lisse, délicat et uniforme des Feuilles des Fleurs, indique assez qu'elles n'ont pas précisément les mêmes fonctions que celles des autres Feuilles de la Plante (II.). 
J'ai vouIu cependant m’aſſurer par une Expérience, s’il n’y avoit point entre les Surfaces de ces premières Feuilles, des différences ſemblables à celles que nous avons obſervées entre les Surfaces des dernères (V, VI.). 	J'ai vouIu WARNING cependant m'assurer par une Expérience, s'il n'y avait point entre les Surfaces de ces premières Feuilles, des différences semblables à celles que nous avons observées entre les Surfaces des dernères (V, VI.). 
DANS cette vuë, j'ai poſé ſur des Vaſes pleins d'Eau (III, IV.), des Pétales (*) de cette grande Eſpèce de Renoncule, qui porte le nom de Pivoine. 	DANS cette vue, j'ai posé sur des Vases pleins d'Eau (III, IV.), des Pétales (*) de cette grande Espèce de Renoncule, qui porte le nom de Pivoine. 
Les unes ont été miſes en Expérience par leur Surface ſupérieure, ou par celle qui regardoit l'intérieur de la Fleur;	Les unes ont été mises en Expérience par leur Surface supérieure, ou par celle qui regardait l'intérieur de la Fleur;
les autres l'ont été par la Surface oppoſée. 	les autres l'ont été par la Surface opposée. 
D'autres Pétales ont été plongées dans l’Eau par leur extrémité inférieure. 	D'autres Pétales ont été plongées dans l'Eau par leur extrémité inférieure. 
D'autres enfin ont été laiſſées ſans nourriture. 	D'autres enfin ont été laissées sans nourriture. 
LE quatrième jour, les Pétales privées de nourriture étoient entièrement fannées. 	LE quatrième jour, les Pétales privées de nourriture étaient entièrement fannées. 
Le neuvième, les Pétales qui étoient humectées dans leur Surface ſupérieure, ainſi que celles qui l'étoient dans leur Surface inférieure, avoient paſſé. 	Le neuvième, les Pétales qui étaient humectées dans leur Surface supérieure, ainsi que celles qui l'étaient dans leur Surface inférieure, avaient passé. 
Le quatorzième, il en fut de même des Pétales qui pompoient l’Eau par leur extrémité inférieure. 	Le quatorzième, il en fut de même des Pétales qui pompoient l'Eau par leur extrémité inférieure. 
IX. 	IX. 
Quoique les Bords des Feuilles, qui ſont humectées dans l’une ou l’autre de leurs Surfaces, ſe deſsèchent ou périſſent ordinairement avant le reſte de la Feuille, parce qu’ils n’ont pas une communication immédiate avec l’Eau du Vaſe (IV.), on voit cependant des Feuilles où ils ſe conſervent très ſains des ſemaines & même des mois. 	Quoique les Bords des Feuilles, qui sont humectées dans l'une ou l'autre de leurs Surfaces, se dessèchent ou périssent ordinairement avant le reste de la Feuille, parce qu'ils n'ont pas une communication immédiate avec l'Eau du Vase (IV.), on voit cependant des Feuilles où ils se conservent très sains des semaines et même des mois. 
C’eſt ce que j’ai obſervé ſur les Feuilles de pluſieurs Eſpèces de Plantes, ſoit Herbacées, ſoit Ligneuſes, & principalement ſur celles du Meurier blanc. 	C'est ce que j'ai observé sur les Feuilles de plusieurs Espèces de Plantes, soit Herbacées, soit Ligneuses, et principalement sur celles du Meurier blanc. 
Des Feuilles de cet Arbre qui pompoient l’Eau par leur Surface inſérieure depuis plus de 5 mois, avoient leurs Bords & leur Pédicule auſſi verds & auſſi ſains, que ſi elles eusſent été détachées de la Plante depuis peu de jours. 	Des Feuilles de cet Arbre qui pompaient l'Eau par leur Surface insérieure depuis plus de 5 mois, avaient leurs Bords et leur Pédicule aussi verts et aussi sains, que si elles eussent été détachées de la Plante depuis peu de jours. 
IL eſt donc une étroite communication entre toutes les parties de la Feuille. 	IL est donc une étroite communication entre toutes les parties de la Feuille. 
Les Vaiſſeaux en s’abouchant les uns avec les autres, ſe communiquent reciproquement les ſucs qu’ils reçoivent des Pores abſorbans les plus voiſins. 	Les Vaisseaux en s'abouchant les uns avec les autres, se communiquent réciproquement les sucs qu'ils reçoivent des Pores absorbants les plus voisins. 
Une médiocre attention ſuffit pour découvrir à l’œil cette communication. 	Une médiocre attention suffit pour découvrir à l'œil cette communication. 
Elle forme ſur les deux côtés de la Feuille une Eſpèce de Rézeau*, qu’on ne ſe laſſe point d’admirer, lorſqu’il eſt devenu plus ſenſible par une longue macération, ou que de petits Inſectes ont conſumé la ſubſtance délicate qui en rempliſſoit les mailles. 	Elle forme sur les deux côtés de la Feuille une Espèce de Réseau*, qu'on ne se lasse point d'admirer, lorsqu'il est devenu plus sensible par une longue macération, ou que de petits Insectes ont consumé la substance délicate qui en remplissoit les mailles. 
DANS les Feuilles dont la Surface ſupérieu¬	DANS les Feuilles dont la Surface supérieu¬
